Number of species	20
Number of genes	504309
Number of genes in orthogroups	439727
Number of unassigned genes	64582
Percentage of genes in orthogroups	87.2
Percentage of unassigned genes	12.8
Number of orthogroups	37612
Number of species-specific orthogroups	4273
Number of genes in species-specific orthogroups	15290
Percentage of genes in species-specific orthogroups	3.0
Mean orthogroup size	11.7
Median orthogroup size	5.0
G50 (assigned genes)	21
G50 (all genes)	19
O50 (assigned genes)	5972
O50 (all genes)	7573
Number of orthogroups with all species present	2496
Number of single-copy orthogroups	314
Date	2022-03-09
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	30128	80.1	189245	43.0
'1	6255	16.6	153431	34.9
'2	687	1.8	32319	7.3
'3	218	0.6	14830	3.4
'4	105	0.3	9381	2.1
'5	57	0.2	6311	1.4
'6	38	0.1	4949	1.1
'7	32	0.1	4774	1.1
'8	22	0.1	3697	0.8
'9	14	0.0	2643	0.6
'10	10	0.0	2060	0.5
11-15	32	0.1	8592	2.0
16-20	7	0.0	2429	0.6
21-50	4	0.0	1718	0.4
51-100	3	0.0	3348	0.8
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	4273
2	8487
3	4454
4	2419
5	1585
6	1184
7	879
8	759
9	650
10	856
11	771
12	951
13	1147
14	1115
15	619
16	625
17	974
18	1411
19	1957
20	2496
