Orthogroup,Enqua_tentacles1,Enqua_tentacles2,Enqua_tentacles3,Enqua_tentacles4,Enqua_tentacles5,Enqua_tentacles6,Mado_tentacle_i1,Mado_tentacle_i2,Mado_tentacle_o1,Mado_tentacle_o2,Stgag_tentacles1,Stgag_tentacles2,Stgag_tentacles3,Stgag_tentacles4,Stmer_tentacles1,Stmer_tentacles2,Stmer_tentacles3,Stmer_tentacles4,Sthad_tentacles1,Sthad_tentacles2,Sthad_tentacles3,Heau_tentacles1,Heau_tentacles2,Heau_tentacles3,Heau_tentacles4,Heau_tentacles5,Hecri_tentacles1,Hecri_tentacles2,Hecri_tentacles3,Hecri_tentacles4,Hemag_tentacles1,Hemag_tentacles2,Hemag_tentacles3,Hemag_tentacles4,Hemag_tentacles5
OG0005610,3097,2022,118,556,640,284,211,106,136,129,1492,826,679,681,444,1284,766,1008,1381,1054,737,8414,2150,3395,3286,1705,1331,792,990,864,1035,675,319,248,267
OG0007081,68,41,12,9,13,9,317,315,458,135,800,171,337,199,221,245,369,148,717,295,288,1315,400,314,746,257,1135,204,383,387,2135,238,300,284,182
OG0005877,1860,829,18,113,207,43,289,138,266,162,2991,1200,1135,906,1082,4135,2319,1652,1360,493,334,4379,1347,1658,1543,927,993,372,518,432,2077,781,522,143,232
OG0006498,2971,11474,542,2438,3494,592,3569,3426,4990,2556,4343,1149,1602,1402,1122,2160,3952,2471,3056,4537,3489,5069,2634,3268,5896,1825,3969,1773,2245,1995,4670,1848,1325,1318,621
OG0006431,2008,1463,243,1223,1766,631,920,821,968,549,3049,1548,1729,1141,846,1956,586,569,2118,2031,2319,2972,1301,1013,1072,999,1895,561,637,758,2104,2331,1090,612,767
OG0006852,870,233,87,346,221,202,740,498,669,313,1898,880,1947,1580,2582,5150,2435,1563,2398,750,637,5352,711,818,813,1468,4513,886,990,2202,2642,1161,465,501,988
OG0005641,1510,1138,61,307,651,123,268,182,258,159,6233,2948,3218,2990,1572,3919,1564,1739,15343,5570,4200,2746,786,724,703,593,1377,1057,847,823,21967,8530,7486,6395,4988
OG0005685,540,1269,44,143,298,43,1881,1523,2333,1330,4780,1202,1781,1204,1054,1584,1158,841,5338,2865,3233,2022,658,632,992,500,1465,447,599,552,2140,970,576,478,430
OG0003653,2923,2509,196,979,972,494,1418,1092,1509,758,4754,2561,3187,2478,1649,2939,1509,939,4782,4888,5155,5728,2162,2378,2191,1865,3351,1167,1609,1764,5355,3274,2109,2217,1822
OG0006497,1642,1183,114,644,837,240,1352,1018,1476,967,2422,1156,1297,1097,435,788,554,402,3043,1380,1063,5507,1659,1966,1785,2188,2176,1145,1275,1059,3432,1136,955,915,846
OG0006562,1113,1081,49,249,330,63,508,314,561,300,2373,590,860,452,770,1495,803,762,2660,1716,1557,1101,514,635,962,386,816,449,563,655,3610,1900,1077,1288,705
OG0004190,449,475,62,156,181,113,1146,948,1440,701,2667,979,1262,668,568,695,407,296,2299,682,399,2967,1236,1358,1317,1083,1049,475,493,413,1398,1348,428,311,437
