Orthogroup,Enqua_tentacles1,Enqua_tentacles2,Enqua_tentacles3,Enqua_tentacles4,Enqua_tentacles5,Enqua_tentacles6,Mado_tentacle_i1,Mado_tentacle_i2,Mado_tentacle_o1,Mado_tentacle_o2,Stgag_tentacles1,Stgag_tentacles2,Stgag_tentacles3,Stgag_tentacles4,Stmer_tentacles1,Stmer_tentacles2,Stmer_tentacles3,Stmer_tentacles4,Sthad_tentacles1,Sthad_tentacles2,Sthad_tentacles3,Heau_tentacles1,Heau_tentacles2,Heau_tentacles3,Heau_tentacles4,Heau_tentacles5,Hecri_tentacles1,Hecri_tentacles2,Hecri_tentacles3,Hecri_tentacles4,Hemag_tentacles1,Hemag_tentacles2,Hemag_tentacles3,Hemag_tentacles4,Hemag_tentacles5
OG0005773,481,445,44,110,169,50,1483,1396,2012,831,3669,1057,1539,1287,442,549,581,369,1914,864,676,2004,430,424,477,843,1430,420,376,854,2192,637,937,817,540
OG0004966,491,387,30,153,120,79,57,22,48,24,671,379,355,246,112,164,89,69,801,423,347,724,230,250,190,288,180,75,126,210,495,323,147,131,146
OG0005102,361,87,17,103,108,115,665,629,889,340,322,175,210,96,173,340,142,108,222,87,96,917,160,161,162,163,276,81,89,121,299,147,103,122,53
OG0004165,920,1147,79,383,426,154,126,85,86,95,2943,1544,1937,838,1387,1677,675,1597,1809,695,574,616,310,298,380,213,35,55,67,34,3102,1172,833,998,507
OG0005641,1510,1138,61,307,651,123,268,182,258,159,6233,2948,3218,2990,1572,3919,1564,1739,15343,5570,4200,2746,786,724,703,593,1377,1057,847,823,21967,8530,7486,6395,4988
OG0000565,1587,665,284,594,737,638,825,453,539,350,437,224,226,206,293,381,191,199,1496,336,313,3037,671,678,342,1082,1536,497,509,693,714,272,350,48,179
OG0004111,1172,933,161,492,404,181,910,587,882,608,1217,388,503,456,282,800,181,127,1408,284,213,748,256,283,339,236,209,126,126,181,1163,688,368,304,329
OG0007044,300,133,12,79,95,49,775,778,1074,386,1036,368,671,269,342,524,97,147,792,217,205,1877,535,643,751,504,825,278,205,310,791,466,263,333,231
OG0006940,138,190,11,40,45,25,200,211,344,132,706,201,318,136,152,170,112,71,1012,242,269,1830,427,320,632,462,1007,352,424,316,995,375,179,199,132
OG0004708,3098,1719,157,618,1491,304,3500,1788,2914,2215,3681,1426,2226,934,2320,3343,796,1542,5122,1503,1021,9526,5319,4516,2350,2333,7976,2441,3574,1660,3911,1658,1073,864,1283
OG0001586,429,622,11,204,205,61,594,371,446,323,1505,807,1064,808,512,939,584,446,2583,913,671,3331,1064,1397,1079,1296,1134,625,646,804,3018,1272,1032,554,563
OG0005430,247,364,17,69,113,24,964,526,872,683,2272,1141,1167,991,1106,1665,1064,766,1285,856,646,3978,1025,1410,1185,1390,1670,1281,1596,1178,2125,653,980,577,423
OG0005900,1052,642,31,125,83,89,260,218,261,109,1174,328,576,348,160,185,69,55,739,225,138,792,210,186,142,197,574,167,148,244,862,195,73,84,67
OG0006542,510,234,68,199,214,70,209,121,167,92,3733,1907,3112,2323,976,1165,896,714,3535,1706,1733,1130,161,208,284,504,1035,388,518,725,3642,1324,600,1241,786
OG0002087,289,309,31,88,141,48,1043,607,872,619,4840,1079,1028,956,1222,1592,921,957,2493,897,558,1788,802,805,756,565,3043,1101,1091,872,2484,755,791,639,568
OG0005026,491,400,20,193,187,104,497,604,826,365,701,218,266,185,281,341,138,153,878,197,187,1718,420,384,456,479,590,179,194,258,1091,361,255,240,180
OG0005517,2287,433,100,680,391,325,1529,1303,1762,783,1984,991,1199,751,671,922,352,348,2340,903,908,4397,832,1079,905,1001,3702,1185,1575,1616,2658,1085,677,540,609
OG0002471,928,776,47,235,259,56,872,406,621,460,958,528,552,261,0,0,0,0,867,344,304,4764,1149,1342,1714,1059,651,567,464,647,500,349,158,105,287
OG0007189,360,966,32,114,147,68,577,435,539,252,6197,1215,1862,915,1037,1941,1566,754,7835,1659,1277,1841,360,396,579,477,947,409,563,424,5916,1529,1045,1173,732
OG0005671,9450,3101,492,1989,2420,717,1630,1367,2319,1097,3959,1299,2963,1199,787,666,669,333,4127,2175,1971,5625,1992,1936,2313,1870,1601,529,704,827,4622,2365,1322,1166,766
OG0003927,8,6,0,5,6,2,120,86,85,48,321,105,110,127,333,249,135,108,531,70,141,780,60,35,54,60,745,88,167,170,1018,166,186,266,114
OG0007237,1463,903,72,177,224,112,833,749,874,420,1498,586,932,230,643,558,1050,422,3551,1117,1037,1764,424,361,396,219,2274,461,438,693,1764,2471,789,595,399
OG0005668,1086,407,75,281,234,165,383,268,368,204,192,67,167,131,167,307,196,113,418,202,138,3021,1001,981,524,982,1384,522,540,901,1178,491,364,455,257
OG0006943,1142,633,59,295,342,141,869,590,672,370,1790,590,877,523,224,300,185,157,1213,436,349,2501,687,725,556,825,927,436,389,781,1451,595,413,808,389
OG0000163,367,801,36,122,417,62,144,61,45,96,1767,1407,1340,1245,472,900,807,611,2788,2682,2254,1384,416,527,559,613,770,1006,837,618,1579,1693,485,236,523
OG0001557,639,148,82,202,92,123,3262,3202,4372,1721,473,146,306,159,327,577,288,92,701,81,68,3096,626,520,463,839,5423,1219,1508,1704,883,319,97,157,109
OG0006878,20,70,7,16,15,6,1135,1070,1233,495,552,219,323,274,231,455,173,134,534,156,94,746,165,201,223,217,1321,660,690,663,1285,331,187,332,303
OG0002345,1169,314,76,159,185,148,242,177,245,98,284,204,255,136,120,212,44,51,248,127,91,1929,234,113,95,264,1664,532,617,921,371,157,77,87,72
OG0006936,832,853,126,227,216,103,283,125,215,141,480,303,263,312,192,464,410,223,1209,714,675,1137,486,571,1354,494,5195,1386,2600,2332,756,300,343,290,264
OG0006084,17,20,1,10,3,2,116,98,144,32,353,91,182,128,113,70,70,77,309,71,51,287,112,76,40,28,233,63,54,110,244,89,58,56,60
OG0004637,11,35,3,16,34,4,4458,2855,3636,2547,13944,4209,4132,4678,2591,5677,3155,3042,13554,4651,3465,10616,2872,3220,3774,3492,4667,2494,2890,3205,10428,4748,4871,1271,2543
OG0007342,318,378,59,133,138,55,182,161,330,116,785,184,363,155,194,215,143,112,715,345,212,1784,297,292,400,356,955,157,156,259,1862,431,404,607,358
OG0003306,10,8,0,5,3,1,958,684,1163,571,4058,359,351,258,322,297,274,202,615,90,118,810,197,235,245,287,391,293,232,310,718,663,430,259,122
