TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0006302	+199.478	-108.276	+2189.72	+48.3003	+1914.87	-504.128	+1049.09	+286.656	-222.344	-92.7864	-18.5555	-174.751	+224.249	+1853.71	-142.276	-555.522	+89.0942	-567.522	-564.599	-490.762	+510.238	-336.569	+129.366	-311.634	-283.624	+169.504	-180.496	+0	-49.2458	+0	+0	-423.576	-29.5719	-47.1967	+147.826	-427.562	-45.2329	-389.06	+88.7691	+32.1954	+485.443	-393.014	+49.2458	+280.218	-228.834	-51.3839	+410.077	+552.163	+271.238	+1410.59	+279.066	-1109.35	+372.872
OG0005617	+955.656	+2455.26	+1507.87	-361.592	+3331.15	-804.847	-23.8545	+301.389*	-57.6111*	+73.3757	-191.644	-350.751	+617.249	-277.079	+593.478	+203.869	+474.504	+69.6559	-263.751	-77.4959	+59.5041	-32.9693	+141.031	-156.969	-505.786*	+1820.09*	-975.909*	+0	-232.701	+889.096	-546.609	-317.538	+442.254	-318.369	-218.42	+33.7566	+586.121	-216.772	-50.9807	+199.107	+244.684	+96.4425	-266.391	-38.1614	+119.527	-191.152	-33.5932	+224.745	-105.218	+105.218	+0	-120.964	+1318.12
OG0002375	+23.0046	+1171.18	+1726.24*	-18.4308	+25.53	-20.47	-16.7481	+150.816	-40.1836	-505.496	-250.786	-285.9	+274.1	+470.71	+746.537	-124.496	+998.1	-412.74	-225.786	-122.304	+127.696	+892.504	-372.7	+1458.3*	-345.014*	+511.26	-338.74	+0	-16.3107	+152.133	-224.054	-179.333	+11.0391	-96.674	-254.263	+28.4355	+955.895	-236.41	+664.29	+226.114	+292.384	-182.827	-345.967	+43.3508	+847.054	-425.16	+199.046	+147.518	-331.147	+287.796	-287.796	-301.685	+1054.73
OG0004342	+58.3888	-41.7127	+125.929	+32.8758	+667.989	-200.011	+552.356	+65.9474	-50.0526	-23.7481*	+6.87579	-48.1242	+48.8758	-66.21	+90.3888	-181.214*	+31.9857	-144.995	+144.193	-31.0143	+24.9857	+44.6992	-1.01425	+8.98575	-138.301	+32.3564	-46.6436	+0	-20.0143	+105.116	+14.3582	-53.9467	-12.1135	-65.0237	+414.07	-214.591	-82.609	-53.2161	+266.376*	+0	+138.246	+29.4013	-38.3977	+219.558	-17.7578	-17.0189	+92.8112	-75.7923	+18.5288	+0	-36.2865	+0	+129.343
OG0002194	+1341.95	-1730.34	+28065.5	+12926	+11035.3	-3594.71	-6337.38	+2685.48	-2074.52	-199.244	-415.683	-1009.14	+1311.86	+3412.56	+27.1904	-3884.81	+7701.73	-2052.62	+1854.48	+368.463	-419.537	-2208.57	-949.217	+2360.78	-1355.33	+846.712	-889.288	+0	-468.401	+3133.69	+1235.15	-6055.48	-3636.29	-2428.35	+12049.1	+5928.14	-3548.87	-1922.19	+125.44	+267.454	+3201	-1252.63	+0	+2342.2	-378.73	-2772.66	+1408.9	-880.983	+0	+6713.56	+686.65	-5211.67	+1347.96
OG0003227	+497.989	-27.1135*	+870.53*	-40.4926	+730.747*	-103.253*	-191.969	+316.504	-229.496	-24.772	-141.634	-80.6436	+111.356	+1139.71	+828.094	-409.969	+1643.4	-310.847	-273.521	+59.2601	-102.74	+1134.5	-211.128	+456.872	-247.786	+31.8693	-69.1307	+0	-104.192	-146.705	+107.356	-79.9774	+63.7607	+667.577	+36.5735	+119.527	+0	-415.624	+37.862	+110.01	+684.894	-292.384	-355.937	+208.11	+506.519	-551.752	+246.674	+175.219	-244.684	+156.1	-317.368	-189.609	+264.344
OG0002832	+1030.02	+684.214	+2869.37*	+1462.67*	+2733.82*	-52.1836*	-1019.68	+898.764	-777.236	+1068.62	-260.909	-273.762	+267.238	-858.683	+392.366	-882.137	+2987.64	-1217.14	-256.236	-213.472	+71.5282	+971.542	+246.863	-247.137	-460.382	+64.7564	+23.7564	+0	-271.238	-810.953	-188.152	-274.306	-137.145	+1425.5	+125.44	+1044.55	-120.22	-225.641	-572.473	+174.853	+245.66	+409.951	-142.497	+446.321	+690.901	-1137.22	+777.099	+176.236	-446.321	+446.321	-446.321	-738.755	+345.861
OG0005168	-4.59695	-75.4114	+622.408	-45.9779	+511.512	-115.488	-122.555	-310.344	+507.656	+348.356	+23.0046	-96.9954	+102.005	-137.071	+230.986	-97.9519	+983.604*	-351.733*	-171.969	-149.496	+123.504	+316.725	-56.8188	+122.181	-85.4308*	+140.989	-103.011	+0	+9.79453	-142.98	+106.18	-93.6136	+42.5106	+292.426	+213.738	+65.7886	-101.045	+147.872	-182.648	+0	-81.7011	+63.9433	-92.0624	+43.1007	+482.343	-291.663	+328.236	+119.527	-169.724	+65.9465	-81.4559	-65.8974	+154.58
OG0003881	+410.986	+211.576	+1737.51*	-10.037*	+2087.18*	-45.8172*	-756.847	-739.553	+1168.45	-174.7	-118.131	-284.496	+358.504	-151.7	+28.2491	-275.555	+662.479	-344.847	+218.094	-18.0795	+21.9205	+178.249	-200.128	+451.872	-254.644	+214.604	-153.396	+0	-105.251	-207.34	-40.9309	-44.4557	+35.7802	+503.58	+234.502	+1395.71	-96.6444	+0	+206.431	+81.3651	+0	+63.0512	-32.1954	+137.414	+409.551	-246.674	+193.059	-147.826	-197.841	+92.6231	-92.6231	-106.484	+267.752
OG0006136	-244.624	-370.644	+833.869	+4968.87*	+829.672	-155.328	-169.751	-72.9693	+95.0307	+82.0307	-189.344	-231.949	+279.051	+1144.17	-230.079	-841.906*	+2670.87	-328.29	+652.022	+124.26	-166.74	-865.9	+457.618	-629.382	-21.2762	+292.724	-221.276	+0	+115.931	-166.912	+342.487	-236.003	-490.8	+215.393	-183.198	+105.218	+177.327	-255.307	-71.6252	+149.605	+268.558	-315.755	+147.826	+653.994	+447.228	-808.838	+207.688	-271.238	-361.61	+361.61	+654.482	-393.014	+0
OG0003723	+231.929	+179.672	+1760.65*	+72.7872	+505.269*	-21.7315*	-44.9707*	-17.5969	+15.4031	-206.496	-175.522	-139.463	+141.537	+976.71	+416.478	-415.496	+1230.21	+19.0942	+29.0942	+35.478	-54.522	+1288.44*	-251.301	+1044.7*	+235.71	-3.83434	+24.1657	+0	-66.0603	-88.6825	-48.9767	-100.139	-18.4814	+96.674	-324.714	+174.626	+859.221	-236.41	+185.026	+160.941	+292.384	-343.768	-185.026	+236.41	+427.881	-427.881	+0	-51.3839	-236.41	-256.94	-296.255	+528.794	-124.455
OG0002808	-305.817	+401.3	+1477.36	-272.952*	+4377.15	-845.847	-245.786	-289.969	+462.031	-126.855	-231.786	-142.969	+126.031	+702.166	-206.906	-377.463	+200528*	-1082.6*	-1100.02	-379.458	+333.542	+644.876*	-121.573*	+1052.43*	-31.1278	+184.872	-141.128	+0	+213.738	-30.8558	-136.056	-257.692	+724.895	+32.1954	-120.964	+226.183	+105.218	-373.114	+146.931	+226.183	+523.865	-167.929	+109.557	+182.827	+7969.89*	-7903.58*	+1175.42	+959.434	-1135.29	-100.871	-130.551	+289.132	+0
