TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0006302	1382	1025	3323	758	2595	176	2283	1093	584	559	722	598	997	3380	991	627	1323	615	1028	1654	2655	2808	3553	3112	341	1167	817	1233.91	1133.28	1133.28	1133.28	709.7	680.128	1182.52	1233.91	806.344	1133.28	651.786	740.555	772.751	1592.6	1133.28	1182.52	1462.74	1233.91	1182.52	1592.6	2144.76	1661.79	3144.57	3281.14	624.624	997.496
OG0005617	1762	3918	2424	237	4372	236	13	372	13	698	382	422	1390	809	1776	1120	1472	876	509	920	1057	845	1019	721	146	3790	994	806.344	573.644	1462.74	916.131	598.592	1040.85	244.611	36.8545	70.6111	841.396	624.624	573.644	772.751	997.496	1133.28	916.131	841.396	955.949	806.344	772.751	997.496	772.751	841.396	877.969	651.786	1969.91
OG0002375	414	1698	2029	105	160	114	7	203	12	492	1411	1602	2162	1997	2090	873	2886	1050	1436	1687	1937	1890	337	2168	63	1974	1124	374.685	359.053	526.817	302.764	123.431	134.47	266.401	23.7481	52.1836	1233.91	997.496	1661.79	1887.9	1462.74	1287.52	1040.85	1086.08	1809.3	1462.74	1661.79	1809.3	772.751	1133.28	841.396	408.014	1462.74
OG0004342	303	288	470	323	946	78	1126	425	309	0	297	242	339	149	335	25	440	246	628	377	433	489	407	417	306	606	527	266.401	244.611	329.713	344.071	290.124	278.011	189.328	573.644	359.053	91.4114	23.7481	290.124	290.124	215.21	244.611	215.21	425.772	408.014	390.995	483.807	408.014	444.301	444.301	408.014	444.301	573.644
OG0002194	12598	12191	43222	22027	16500	1870	14071	29022	24262	2689	2598	2272	4593	11424	6786	2874	16424	3897	9213	6846	6058	13606	15552	18862	2534	6084	4348	11744.8	11256.1	13921.3	15156.5	9101.01	5464.71	9101.01	20408.4	26336.5	5237.29	2888.24	3013.68	3281.14	8011.44	6758.81	6758.81	8722.27	8359.3	5949.62	7358.52	6477.54	9101.01	15814.6	17217.7	3889.33	5237.29
OG0003227	776	0	1005	14	849	15	686	1314	768	401	322	493	685	2666	2062	468	3236	730	1014	1522	1360	2132	469	1137	404	948	847	278.011	173.819	27.1135	134.47	54.4926	118.253	916.131	877.969	997.496	916.131	425.772	463.634	573.644	1526.29	1182.52	916.131	1086.08	1526.29	1040.85	1287.52	1462.74	877.969	1086.08	740.555	651.786	916.131
OG0002832	2764	1336	3333	1652	2786	0	1994	4957	3281	3611	1709	1871	2412	2155	3816	2399	7406	2064	3802	4021	4306	4699	3528	3034	2082	2953	2912	1733.98	1401.83	651.786	463.634	189.328	52.1836	2888.24	3013.68	4058.24	2768.02	2542.38	1969.91	2144.76	3013.68	3423.63	3281.14	3572.32	4234.47	3281.14	4058.24	4234.47	3281.14	3727.46	3281.14	2542.38	2888.24
OG0005168	220	16	820	58	658	31	618	496	1314	922	414	294	493	207	639	218	1825	198	706	848	1121	572	117	296	38	419	175	224.597	224.597	91.4114	197.592	103.978	146.488	504.855	740.555	806.344	408.014	573.644	390.995	390.995	315.952	390.995	315.952	359.053	806.344	549.733	877.969	997.496	206.214	278.011	189.328	123.431	278.011
OG0003881	819	307	1792	0	2133	0	284	1697	3605	535	798	713	1356	558	801	465	1950	696	1452	1068	1108	951	480	1132	319	1056	688	408.014	290.124	95.4235	54.4926	10.037	45.8172	806.344	1040.85	2436.55	709.7	709.7	916.131	997.496	709.7	772.751	772.751	877.969	1233.91	1040.85	1233.91	1086.08	709.7	806.344	740.555	573.644	841.396
OG0006136	380	203	1750	5649	1019	34	603	805	973	960	617	724	1235	2546	856	392	5006	1198	2386	1587	1296	1022	3000	1913	1112	1426	912	624.624	772.751	573.644	916.131	680.128	189.328	997.496	772.751	877.969	1182.52	877.969	806.344	955.949	1462.74	1086.08	1233.91	1733.98	2237.92	1526.29	1733.98	1462.74	1462.74	1733.98	2436.55	1133.28	1133.28
