TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0006302	+148.094	-108.276	+2189.72	+48.3003	+1914.87	-504.128	+1049.09	+286.656	-222.344	-92.7864	-18.5555	-174.751	+224.249	+1787.4	-142.276	-555.522	+89.0942	-567.522	-564.599	-490.762	+510.238	-336.569	+271.863	-169.137	-283.624	+169.504	-180.496	+0	-100.63	+0	+0	-423.576	-29.5719	+49.2458	+51.3839	-427.562	-49.2458	-481.49	+88.7691	+32.1954	+459.322	-459.322	+49.2458	+280.218	-228.834	-51.3839	+410.077	+552.163	+199.046	+1482.78	+136.568	-1037.16	+372.872
OG0005617	+955.656	+2455.26	+1507.87	-361.592	+3331.15	-804.847	-23.8545	+301.389*	-57.6111*	+73.3757	-191.644	-350.751	+617.249	-188.496	+642.724	+203.869	+516.051	+69.6559	-263.751	-77.4959	+59.5041	+3.60418	+141.031	-156.969	-505.786*	+1820.09*	-975.909*	+0	-232.701	+889.096	-546.609	-317.538	+442.254	-329.032	-207.757	+33.7566	+596.785	-216.772	-50.9807	+199.107	+156.1	+135.78	-217.145	-74.7349	+114.553	-149.605	-33.5932	+224.745	-68.6449	+68.6449	+36.5735	-120.964	+1318.12
OG0002375	+39.3154	+1171.18	+1726.24*	-18.4308	+25.53	-20.47	-16.7481	+150.816	-40.1836*	-505.496	-250.786	-285.9	+274.1	+534.26	+802.479	-167.847	+1076.7	-412.74	-225.786	-122.304	+127.696	+756.724	-504.396	+1326.6	-345.014*	+511.26	-338.74	+0	-15.6321	+167.765	-224.054	-179.333	+11.0391	-92.6514	-242.653	+28.4355	+967.505	-236.41	+664.29	+226.114	+228.834	-175.219	-246.674	+45.2329	+723.224	-346.564	+199.046	+147.518	-313.329	+360.525	-291.88	-364.737	+1054.73
OG0004342	+36.5988	-41.7127	+125.929	+32.8758	+667.989	-200.011	+552.356	+65.9474	-50.0526	-23.7481*	+6.87579	-48.1242	+48.8758	-66.21	+90.3888	-190.21*	+31.9857	-144.995	+144.193	-31.0143	+24.9857	+44.6992	-1.01425	+8.98575	-138.301	+32.3564	-46.6436	+0	-21.7899	+85.1014	+14.3582	-53.9467	-12.1135	-55.283	+384.315	-214.591	-97.9168	-67.6632	+266.376*	+0	+123.799	+29.4013	-29.4013	+210.562	-17.7578	-17.0189	+92.8112	-75.7923	+18.5288	+0	-36.2865	+0	+129.343
OG0002194	+853.212	-1730.34	+28065.5	+12926	+11035.3	-3594.71	-6337.38	+2685.48	-2074.52	-199.244	-415.683	-1009.14	+1311.86	+3412.56	+27.1904	-3884.81	+8064.7	-2052.62	+1854.48	+368.463	-419.537	-2208.57	-1665.68	+1644.32	-1355.33	+846.712	-889.288	+0	-488.737	+2665.29	+1235.15	-6055.48	-3636.29	-2155.05	+11307.4	+5928.14	-3863.72	-2349.04	+125.44	+267.454	+2774.15	-1252.63	+0	+1963.47	-362.971	-2409.69	+1408.9	-880.983	+378.73	+6713.56	+1403.11	-5211.67	+1347.96
OG0003227	+497.989	-27.1135*	+870.53*	-40.4926	+730.747*	-103.253*	-191.969	+316.504	-229.496	-24.772	-141.634	-80.6436	+111.356	+1139.71	+879.478	-448.131	+1709.71	-310.847	-273.521	+59.2601	-102.74	+1045.92	-271.555	+396.445	-247.786	+31.8693	-69.1307	+0	-104.192	-146.705	+107.356	-79.9774	+63.7607	+742.312	-38.1614	+119.527	+0	-490.359	+37.862	+110.01	+610.159	-343.768	-266.391	+169.949	+440.21	-485.443	+246.674	+175.219	-208.11	+208.11	-345.524	-226.183	+264.344
OG0002832	+1030.02	+684.214	+2869.37*	+1462.67*	+2733.82*	-52.1836*	-1019.68	+898.764	-777.236	+1068.62	-260.909	-273.762	+267.238	-858.683	+392.366	-882.137	+3171.53	-1217.14	-256.236	-213.472	+71.5282	+971.542	+246.863	-247.137	-460.382	+64.7564	+23.7564	+0	-332.144	-750.048	-188.152	-274.306	-137.145	+1486.41	+125.44	+1044.55	-120.22	-225.641	-572.473	+174.853	+245.66	+409.951	-142.497	+291.182	+662.153	-953.335	+777.099	+176.236	-291.182	+446.321	-446.321	-738.755	+345.861
OG0005168	-4.59695	-75.4114	+622.408	-45.9779	+511.512	-115.488	-122.555	-310.344	+507.656	+348.356	+23.0046	-96.9954	+102.005	-108.952	+248.005	-97.9519	+1018.66*	-351.733*	-171.969	-149.496	+123.504	+293.989	-72.3282	+106.672	-85.4308*	+140.989	-103.011	+0	+0	-133.186	+106.18	-93.6136	+42.5106	+280.258	+235.701	+65.7886	-96.8407	+165.629	-182.648	+0	-92.0624	+75.0435	-75.0435	+43.1007	+447.292	-256.611	+328.236	+119.527	-152.839	+71.7971	-88.6825	-82.7827	+154.58
OG0003881	+410.986	+211.576	+1737.51*	-10.037*	+2087.18*	-45.8172*	-756.847	-739.553	+1168.45	-174.7	-118.131	-284.496	+358.504	-151.7	+28.2491	-307.751	+716.094	-344.847	+218.094	-18.0795	+21.9205	+144.656	-260.555	+391.445	-254.644	+214.604	-153.396	+0	-117.89	-194.701	-40.9309	-44.4557	+35.7802	+516.22	+234.502	+1395.71	-96.6444	+0	+206.431	+81.3651	+0	+63.0512	+0	+105.218	+355.937	-193.059	+193.059	-147.826	-168.27	+96.6444	-65.7886	-136.056	+267.752
OG0006136	-244.624	-370.644	+833.869	+4968.87*	+829.672	-155.328	-169.751	-72.9693	+95.0307	+82.0307	-189.344	-231.949	+279.051	+1083.26	-230.079	-841.906*	+2768.08	-328.29	+652.022	+124.26	-166.74	-711.978	+563.447	-523.553	-21.2762	+292.724	-221.276	+0	+148.127	-199.107	+342.487	-236.003	-490.8	+224.745	-224.745	+105.218	+185.026	-304.553	-71.6252	+149.605	+280.218	-376.66	+147.826	+500.072	+503.945	-711.633	+207.688	-271.238	-271.238	+271.238	+702.575	-329.464	+0
