TranscriptID	hyva<1>	chfle<2>	neno<3>	cyca<4>	sama<5>	chfus<6>	isnoc<7>	pabor<8>	cebra<9>	gafa<10>	gopla<11>	gonor<12>	golob<13>	nema<14>	exadia<15>	enqua<16>	hehe<17>	stmer<18>	hemag<19>	stgag<20>	sthad<21>	acte<22>	ando<23>	oula<24>	macdac<25>	heaur<26>	hecri<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>
OG0006302	[1382-1382]	[1025-1025]	[3323-3323]	[758-758]	[2595-2595]	[176-176]	[2283-2283]	[1093-1093]	[584-584]	[559-559]	[722-722]	[598-598]	[997-997]	[3380-3380]	[991-991]	[627-627]	[1323-1323]	[615-615]	[1028-1028]	[1654-1654]	[2655-2655]	[2808-2808]	[3553-3553]	[3112-3112]	[341-341]	[1167-1167]	[817-817]	[113.291-13342]	[244.611-5464.71]	[166.545-7358.52]	[224.597-5949.62]	[134.47-3727.46]	[118.253-3889.33]	[215.21-6207.97]	[244.611-5949.62]	[197.592-3281.14]	[244.611-5237.29]	[159.573-2652.81]	[329.713-1733.98]	[374.685-1592.6]	[359.053-6758.81]	[315.952-4058.24]	[444.301-3144.57]	[598.592-3572.32]	[549.733-2768.02]	[573.644-2436.55]	[772.751-3281.14]	[997.496-4418.36]	[680.128-4058.24]	[1182.52-8359.3]	[1182.52-9496.18]	[290.124-1343.46]	[526.817-1809.3]
OG0005617	[1762-1762]	[3918-3918]	[2424-2424]	[237-237]	[4372-4372]	[236-236]	[13-13]	[372-372]	[13-13]	[698-698]	[382-382]	[422-422]	[1390-1390]	[809-809]	[1776-1776]	[1120-1120]	[1472-1472]	[876-876]	[509-509]	[920-920]	[1057-1057]	[845-845]	[1019-1019]	[721-721]	[146-146]	[3790-3790]	[994-994]	[73.7202-8722.27]	[123.431-2768.02]	[224.597-9496.18]	[173.819-4810.43]	[113.291-3144.57]	[181.409-5702.01]	[43.8691-1343.46]	[6.52891-181.409]	[16.615-290.124]	[181.409-3889.33]	[152.892-2542.38]	[255.275-1343.46]	[374.685-1592.6]	[234.391-4418.36]	[315.952-3889.33]	[344.071-2335.13]	[344.071-2055.48]	[425.772-2144.76]	[390.995-1661.79]	[374.685-1592.6]	[483.807-2055.48]	[315.952-1887.9]	[329.713-2237.92]	[302.764-2436.55]	[302.764-1401.83]	[1040.85-3572.32]
OG0002375	[414-414]	[1698-1698]	[2029-2029]	[105-105]	[160-160]	[114-114]	[7-7]	[203-203]	[12-12]	[492-492]	[1411-1411]	[1602-1602]	[2162-2162]	[1997-1997]	[2090-2090]	[873-873]	[2886-2886]	[1050-1050]	[1436-1436]	[1687-1687]	[1937-1937]	[1890-1890]	[337-337]	[2168-2168]	[63-63]	[1974-1974]	[1124-1124]	[33.7698-4058.24]	[76.9642-1733.98]	[76.9642-3423.63]	[56.9019-1592.6]	[22.7184-651.786]	[22.7184-772.751]	[47.8498-1401.83]	[3.92217-118.253]	[11.5378-215.21]	[266.401-5702.01]	[244.611-4058.24]	[740.555-3727.46]	[877.969-3889.33]	[329.713-6477.54]	[359.053-4418.36]	[390.995-2652.81]	[444.301-2652.81]	[772.751-3889.33]	[709.7-2888.24]	[806.344-3423.63]	[877.969-3727.46]	[315.952-1809.3]	[444.301-3013.68]	[302.764-2436.55]	[189.328-877.969]	[806.344-2768.02]
OG0004342	[303-303]	[288-288]	[470-470]	[323-323]	[946-946]	[78-78]	[1126-1126]	[425-425]	[309-309]	[0-0]	[297-297]	[242-242]	[339-339]	[149-149]	[335-335]	[25-25]	[440-440]	[246-246]	[628-628]	[377-377]	[433-433]	[489-489]	[407-407]	[417-417]	[306-306]	[606-606]	[527-527]	[23.7481-2768.02]	[49.9707-1133.28]	[47.8498-2144.76]	[64.7757-1809.3]	[54.4926-1526.29]	[47.8498-1592.6]	[33.7698-1040.85]	[118.253-2888.24]	[87.5662-1462.74]	[18.1777-425.772]	[5.08758-99.6098]	[128.833-651.786]	[140.352-598.592]	[47.8498-916.131]	[67.6314-841.396]	[76.9642-549.733]	[173.819-1040.85]	[181.409-916.131]	[189.328-806.344]	[234.391-997.496]	[197.592-841.396]	[181.409-1040.85]	[166.545-1133.28]	[146.488-1182.52]	[206.214-955.949]	[302.764-1040.85]
OG0002194	[12598-12598]	[12191-12191]	[43222-43222]	[22027-22027]	[16500-16500]	[1870-1870]	[14071-14071]	[29022-29022]	[24262-24262]	[2689-2689]	[2598-2598]	[2272-2272]	[4593-4593]	[11424-11424]	[6786-6786]	[2874-2874]	[16424-16424]	[3897-3897]	[9213-9213]	[6846-6846]	[6058-6058]	[13606-13606]	[15552-15552]	[18862-18862]	[2534-2534]	[6084-6084]	[4348-4348]	[1086.08-126911]	[2335.13-51986.1]	[2144.76-94253.1]	[2888.24-79517.9]	[1733.98-49822.9]	[955.949-31217]	[1661.79-47749.7]	[4058.24-102615]	[6477.54-107070]	[1133.28-24190.3]	[709.7-11744.8]	[1287.52-6758.81]	[1526.29-6758.81]	[1809.3-33986.6]	[1887.9-23183.7]	[2436.55-17217.7]	[3572.32-21294.5]	[3572.32-17965.2]	[2888.24-12254.7]	[3572.32-15156.5]	[3144.57-13342]	[3727.46-21294.5]	[5949.62-40284.6]	[5949.62-47749.7]	[1809.3-8359.3]	[2768.02-9496.18]
OG0003227	[776-776]	[0-0]	[1005-1005]	[14-14]	[849-849]	[15-15]	[686-686]	[1314-1314]	[768-768]	[401-401]	[322-322]	[493-493]	[685-685]	[2666-2666]	[2062-2062]	[468-468]	[3236-3236]	[730-730]	[1014-1014]	[1522-1522]	[1360-1360]	[2132-2132]	[469-469]	[1137-1137]	[404-404]	[948-948]	[847-847]	[24.8226-3013.68]	[35.2794-841.396]	[3.33296-189.328]	[24.8226-709.7]	[9.13759-290.124]	[19.8791-680.128]	[166.545-4810.43]	[173.819-4234.47]	[244.611-4058.24]	[197.592-4234.47]	[108.536-1733.98]	[206.214-1040.85]	[278.011-1233.91]	[344.071-6477.54]	[315.952-4058.24]	[329.713-2335.13]	[444.301-2652.81]	[651.786-3281.14]	[526.817-2144.76]	[624.624-2652.81]	[680.128-3013.68]	[374.685-2144.76]	[408.014-2888.24]	[255.275-2055.48]	[302.764-1401.83]	[483.807-1661.79]
OG0002832	[2764-2764]	[1336-1336]	[3333-3333]	[1652-1652]	[2786-2786]	[0-0]	[1994-1994]	[4957-4957]	[3281-3281]	[3611-3611]	[1709-1709]	[1871-1871]	[2412-2412]	[2155-2155]	[3816-3816]	[2399-2399]	[7406-7406]	[2064-2064]	[3802-3802]	[4021-4021]	[4306-4306]	[4699-4699]	[3528-3528]	[3034-3034]	[2082-2082]	[2953-2953]	[2912-2912]	[159.573-18745.3]	[302.764-6758.81]	[99.6098-4418.36]	[87.5662-2436.55]	[35.2794-997.496]	[8.3115-302.764]	[526.817-15814.6]	[624.624-15156.5]	[997.496-16501.2]	[598.592-12786.8]	[624.624-10338.7]	[877.969-4418.36]	[1040.85-4418.36]	[680.128-12786.8]	[955.949-12254.7]	[1233.91-8359.3]	[1462.74-8722.27]	[1809.3-9496.18]	[1592.6-6758.81]	[1969.91-8359.3]	[1969.91-8722.27]	[1343.46-7678.04]	[1401.83-9908.51]	[1133.28-9496.18]	[1182.52-5464.71]	[1592.6-5464.71]
OG0005168	[220-220]	[16-16]	[820-820]	[58-58]	[658-658]	[31-31]	[618-618]	[496-496]	[1314-1314]	[922-922]	[414-414]	[294-294]	[493-493]	[207-207]	[639-639]	[218-218]	[1825-1825]	[198-198]	[706-706]	[848-848]	[1121-1121]	[572-572]	[117-117]	[296-296]	[38-38]	[419-419]	[175-175]	[19.8791-2436.55]	[45.8172-1086.08]	[12.6501-598.592]	[36.8545-1040.85]	[19.0104-549.733]	[24.8226-841.396]	[91.4114-2768.02]	[146.488-3572.32]	[197.592-3281.14]	[87.5662-1887.9]	[140.352-2335.13]	[173.819-877.969]	[181.409-806.344]	[73.7202-1401.83]	[108.536-1401.83]	[118.253-806.344]	[146.488-877.969]	[344.071-1733.98]	[266.401-1133.28]	[425.772-1809.3]	[463.634-2055.48]	[83.881-483.807]	[108.536-740.555]	[64.7757-526.817]	[56.9019-255.275]	[146.488-504.855]
OG0003881	[819-819]	[307-307]	[1792-1792]	[0-0]	[2133-2133]	[0-0]	[284-284]	[1697-1697]	[3605-3605]	[535-535]	[798-798]	[713-713]	[1356-1356]	[558-558]	[801-801]	[465-465]	[1950-1950]	[696-696]	[1452-1452]	[1068-1068]	[1108-1108]	[951-951]	[480-480]	[1132-1132]	[319-319]	[1056-1056]	[688-688]	[36.8545-4418.36]	[62.0388-1401.83]	[13.2428-624.624]	[9.57772-290.124]	[1.10381-56.9019]	[7.19685-266.401]	[152.892-4418.36]	[206.214-5019.33]	[598.592-9908.51]	[152.892-3281.14]	[173.819-2888.24]	[408.014-2055.48]	[483.807-2055.48]	[159.573-3013.68]	[215.21-2768.02]	[290.124-1969.91]	[359.053-2144.76]	[549.733-2768.02]	[504.855-2055.48]	[598.592-2542.38]	[526.817-2237.92]	[290.124-1661.79]	[315.952-2144.76]	[255.275-2144.76]	[266.401-1233.91]	[463.634-1592.6]
OG0006136	[380-380]	[203-203]	[1750-1750]	[5649-5649]	[1019-1019]	[34-34]	[603-603]	[805-805]	[973-973]	[960-960]	[617-617]	[724-724]	[1235-1235]	[2546-2546]	[856-856]	[392-392]	[5006-5006]	[1198-1198]	[2386-2386]	[1587-1587]	[1296-1296]	[1022-1022]	[3000-3000]	[1913-1913]	[1112-1112]	[1426-1426]	[912-912]	[56.9019-6758.81]	[159.573-3572.32]	[83.881-3727.46]	[173.819-4810.43]	[128.833-3572.32]	[32.3231-1086.08]	[181.409-5237.29]	[152.892-3727.46]	[215.21-3572.32]	[255.275-5464.71]	[215.21-3572.32]	[359.053-1809.3]	[463.634-1969.91]	[329.713-6207.97]	[302.764-3889.33]	[463.634-3144.57]	[709.7-4234.47]	[955.949-5019.33]	[740.555-3144.57]	[841.396-3572.32]	[680.128-3013.68]	[624.624-3572.32]	[680.128-4610.23]	[841.396-6758.81]	[526.817-2436.55]	[624.624-2144.76]
