Description	Orthogroup	gafu	acte	ando	chfle	chfus	cyca	enqua	heau	hecri	hehe	hemag	hyva	mado	neno	neva	oula	sama	stgag	sthad	stmer
desc	OG0005760	14	4	8	3	3	3	9	13	11	8	7	22	3	12	18	11	9	10	16	12
desc	OG0004206	4	1	1	1	3	8	1	11	5	6	7	3	4	2	4	1	2	8	8	3
desc	OG0005610	7	2	3	13	3	3	6	18	10	6	4	16	1	4	4	3	12	8	9	14
desc	OG0005773	16	6	2	1	2	4	5	8	10	10	10	20	7	7	8	6	4	18	10	8
desc	OG0007081	0	2	3	3	3	3	2	10	11	4	5	10	3	3	2	2	7	4	5	6
desc	OG0000146	8	0	1	1	2	1	2	5	4	4	4	3	3	2	3	1	2	4	4	6
desc	OG0002477	5	1	1	1	1	2	2	2	2	4	2	0	2	1	6	1	1	2	2	4
desc	OG0000059	28	2	4	4	4	2	6	8	6	11	3	14	0	8	2	4	8	8	7	10
desc	OG0002731	100	61	60	72	33	45	58	65	70	98	98	205	23	178	94	110	69	68	73	86
desc	OG0002657	46	8	5	3	3	4	17	20	24	21	23	18	6	7	6	9	5	25	26	23
desc	OG0004350	11	1	1	1	2	2	3	3	2	8	5	3	0	3	1	1	1	8	8	3
desc	OG0005877	8	1	2	4	5	7	2	11	5	4	4	13	1	22	4	4	5	9	5	13
desc	OG0004378	17	2	2	1	2	3	6	11	8	8	11	12	1	6	4	6	7	7	6	12
desc	OG0006426	20	3	3	1	2	21	4	10	8	17	15	3	5	4	4	7	3	12	7	15
desc	OG0004966	8	2	4	1	2	18	4	4	3	2	3	4	1	3	7	3	3	4	4	2
desc	OG0003187	7	3	1	1	3	1	3	6	7	6	3	3	14	2	3	2	1	4	4	6
desc	OG0004390	23	14	19	5	4	3	21	18	12	8	15	22	4	17	9	17	12	45	38	27
desc	OG0002860	5	8	2	2	4	1	8	14	12	14	7	5	8	5	9	7	2	10	8	9
desc	OG0006498	20	11	14	4	3	1	33	31	20	18	12	7	16	7	9	11	11	13	29	29
desc	OG0006431	8	4	2	1	1	1	13	10	7	4	10	6	4	3	3	4	2	10	15	10
desc	OG0005116	10	3	1	1	2	2	5	6	4	4	3	3	5	4	1	3	8	4	1	2
desc	OG0005102	10	2	1	1	3	4	2	2	3	3	2	5	6	4	4	4	8	2	2	4
desc	OG0003005	19	1	5	1	2	18	4	15	11	6	5	4	1	4	4	3	2	11	8	11
desc	OG0004050	15	3	1	5	2	2	5	9	8	8	8	4	3	3	13	14	2	9	7	10
desc	OG0004165	6	2	1	3	2	2	4	3	2	11	8	11	1	3	5	3	3	12	6	17
desc	OG0005448	16	17	3	1	3	4	7	11	9	12	7	1	8	3	12	19	2	8	10	11
desc	OG0006442	348	3	3	3	3	1	5	8	8	13	7	16	5	11	7	5	3	10	7	12
desc	OG0005391	6	1	1	1	2	1	1	3	2	2	2	0	0	1	2	1	1	3	4	2
desc	OG0004684	17	9	7	2	3	2	12	31	27	10	16	9	20	7	9	9	8	27	13	12
desc	OG0005144	11	2	2	1	2	2	2	3	5	7	5	5	2	2	2	3	1	6	2	5
desc	OG0006676	12	6	10	7	6	21	31	28	28	8	17	33	4	25	5	8	19	24	26	26
desc	OG0006852	34	9	9	6	4	2	5	17	24	18	8	9	4	6	8	6	7	13	13	51
desc	OG0004069	3	2	4	1	2	3	2	6	7	4	3	4	2	11	1	3	2	5	3	2
desc	OG0000344	22	2	2	1	3	2	7	7	4	8	3	19	2	3	4	6	2	4	3	4
desc	OG0005641	22	11	5	2	4	3	8	11	14	24	29	16	2	6	6	13	6	24	39	28
desc	OG0000565	13	3	7	4	2	3	6	6	5	3	3	7	2	6	4	2	2	2	2	2
desc	OG0004111	12	2	1	1	2	2	4	3	2	5	3	2	7	4	2	2	3	4	3	4
desc	OG0007044	36	6	3	2	3	11	2	28	6	8	7	9	10	10	9	9	6	9	5	6
desc	OG0005395	17	2	2	1	2	2	4	9	8	5	4	2	2	2	4	3	6	10	6	7
desc	OG0006940	14	3	2	2	2	14	2	7	9	6	5	9	3	8	8	6	6	4	6	3
desc	OG0006835	29	5	6	3	3	3	18	10	10	10	12	32	2	16	3	12	13	12	10	16
desc	OG0006043	0	6	5	2	2	10	17	18	10	10	13	29	2	7	5	6	4	8	7	8
desc	OG0004708	25	19	6	3	2	5	10	30	26	10	7	30	12	11	8	19	8	10	11	18
desc	OG0005205	266	222	90	3	2	35	159	62	35	125	192	9	206	9	89	182	4	89	71	82
desc	OG0002646	10	10	2	3	3	1	8	13	8	6	8	3	3	1	3	4	1	14	8	8
desc	OG0001586	8	1	1	1	1	3	2	5	3	3	3	1	1	3	2	7	1	4	3	3
desc	OG0005430	11	2	2	2	3	2	1	8	9	6	4	6	2	4	4	5	3	7	4	8
desc	OG0003307	14	2	2	1	2	0	4	8	5	13	5	13	4	4	10	4	3	8	7	10
desc	OG0006656	48	10	21	33	5	12	20	27	23	28	21	218	8	17	12	18	4	39	24	35
desc	OG0005900	12	2	1	1	3	12	4	3	4	4	2	11	2	5	4	5	4	6	3	2
desc	OG0006204	4	3	2	1	2	4	1	2	4	8	4	15	1	4	7	4	2	4	5	2
desc	OG0006413	46	3	1	18	3	3	4	7	7	12	4	18	3	10	5	5	22	6	7	12
