TranscriptID	gafu<1>	neva<2>	enqua<3>	hemag<4>	stgag<5>	sthad<6>	hehe<7>	stmer<8>	heau<9>	hecri<10>	mado<11>	acte<12>	ando<13>	oula<14>	chfle<15>	chfus<16>	sama<17>	cyca<18>	neno<19>	hyva<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>
OG0005760	14	18	9	7	10	16	8	12	13	11	3	4	8	11	3	3	9	3	12	22	9.55131	11.4131	10.6319	8.88729	8.88729	10.6319	10.6319	12.6843	10.2599	7.40435	7.96878	12.2467	7.1356	9.55131	7.96878	4.8782	6.14384	4.33213	5.48019
OG0004206	4	4	1	7	8	8	6	3	11	5	4	1	1	1	1	3	2	8	2	3	2.97987	3.68212	3.68212	3.53239	4.33213	6.14384	7.68198	7.96878	3.99656	2.97987	6.14384	7.68198	0.884665	0.824398	2.38296	2.17006	3.24716	3.99656	2.49471
OG0005610	7	4	6	4	8	9	6	14	18	10	1	2	3	3	13	3	12	3	4	16	7.1356	5.69426	5.48019	5.91539	5.91539	7.96878	6.62361	8.57112	10.2599	4.33213	6.62361	13.6033	2.61015	3.11134	8.88729	6.87545	4.50827	4.8782	6.37983
OG0005773	16	8	5	10	18	10	10	8	8	10	7	6	2	6	1	2	4	4	7	20	7.1356	9.2139	7.68198	7.68198	8.26506	11.0161	12.2467	13.6033	8.88729	6.37983	8.26506	9.2139	4.50827	3.83678	5.27297	2.72941	4.33213	3.24716	2.97987
OG0007081	0	2	2	5	4	5	4	6	10	11	3	2	3	2	3	3	7	3	3	10	3.24716	2.06869	3.38746	3.99656	4.69023	4.8782	4.69023	4.50827	5.27297	4.33213	7.1356	10.6319	2.27478	2.49471	4.8782	3.38746	3.68212	3.99656	4.69023
OG0000146	8	3	2	4	4	4	4	6	5	4	3	0	1	1	1	2	2	1	2	3	2.61015	3.83678	2.85261	2.85261	2.97987	4.50827	3.99656	3.99656	5.27297	1.87557	3.99656	4.50827	0.0163827	0.824398	1.78361	1.29045	1.6946	1.60843	2.06869
OG0002477	5	6	2	2	2	2	4	4	2	2	2	1	1	1	1	1	1	2	1	0	1.44428	3.24716	2.72941	2.06869	1.97056	2.61015	2.06869	2.06869	3.99656	1.44428	2.06869	2.06869	0.884665	0.824398	0.0163827	0.824398	1.21721	1.36612	1.01124
OG0000059	28	2	6	3	8	7	11	10	8	6	0	2	4	4	4	4	8	2	8	14	6.62361	6.87545	3.99656	5.07238	4.8782	7.1356	5.69426	7.68198	10.6319	3.11134	2.97987	7.1356	3.24716	3.99656	6.62361	4.69023	5.07238	3.99656	5.69426
OG0002731	100	94	58	98	68	73	98	86	65	70	23	61	60	110	72	33	69	45	178	205	89.1297	80.7569	73.1619	68.4947	70.7903	83.4576	78.1425	70.7903	92.1071	58.0716	47.6061	68.4947	75.6117	83.4576	98.36	73.1619	73.1619	47.6061	47.6061
OG0002657	46	6	17	23	25	26	21	23	20	24	6	8	5	9	3	3	5	4	7	18	11.0161	17.3339	12.6843	16.1801	16.1801	23.5632	25.2129	26.0788	22.0174	10.6319	14.5841	22.0174	7.40435	6.87545	6.62361	4.16162	4.8782	3.99656	3.99656
OG0004350	11	1	3	5	8	8	8	3	3	2	0	1	1	1	1	2	1	2	3	3	2.61015	3.53239	2.27478	2.97987	2.85261	5.91539	6.87545	7.96878	4.50827	1.14631	1.29045	2.49471	0.884665	0.824398	1.87557	1.52502	2.06869	1.6946	1.44428
OG0005877	8	4	2	4	9	5	4	13	11	5	1	1	2	4	4	5	5	7	22	13	6.37983	4.8782	3.99656	3.99656	4.69023	6.62361	5.69426	6.87545	8.26506	3.11134	4.33213	7.68198	2.17006	2.97987	8.26506	6.87545	8.88729	5.69426	5.07238
OG0004378	17	4	6	11	7	6	8	12	11	8	1	2	2	6	1	2	7	3	6	12	5.69426	7.40435	5.48019	5.91539	5.91539	8.57112	7.96878	6.62361	10.2599	3.99656	5.07238	9.55131	3.11134	3.83678	4.50827	2.72941	4.33213	3.53239	3.99656
OG0006426	20	4	4	15	12	7	17	15	10	8	5	3	3	7	1	2	3	21	4	3	5.27297	8.57112	6.37983	7.68198	8.57112	12.6843	11.0161	9.2139	16.1801	5.69426	7.40435	9.2139	4.16162	4.8782	3.11134	3.11134	5.27297	5.91539	2.49471
OG0004966	8	7	4	3	4	4	2	2	4	3	1	2	4	3	1	2	3	18	3	4	3.83678	4.69023	3.83678	2.97987	2.85261	2.97987	3.68212	3.99656	2.06869	2.61015	2.49471	3.53239	2.85261	3.53239	3.24716	2.85261	4.69023	5.69426	2.49471
OG0003187	7	3	3	3	4	4	6	6	6	7	14	3	1	2	1	3	1	1	2	3	2.85261	4.50827	3.83678	4.16162	4.50827	4.50827	3.68212	3.99656	6.14384	4.50827	8.57112	6.62361	1.97056	1.44428	1.6946	1.29045	1.6946	1.52502	1.87557
OG0004390	23	9	21	15	45	38	8	27	18	12	4	14	19	17	5	4	12	3	17	22	13.1364	16.7476	15.0989	17.9395	17.9395	24.3746	29.8381	41.6808	16.7476	12.6843	9.89986	15.0989	16.7476	17.9395	9.89986	6.62361	7.96878	5.27297	7.1356
OG0002860	5	9	8	7	10	8	14	9	14	12	8	8	2	7	2	4	2	1	5	5	5.07238	7.68198	8.57112	8.57112	8.57112	9.2139	8.26506	9.2139	11.0161	7.96878	11.0161	13.1364	5.27297	4.16162	3.11134	2.49471	2.85261	2.06869	2.97987
OG0006498	20	9	33	12	13	29	18	29	31	20	16	11	14	11	4	3	11	1	7	7	9.55131	17.3339	16.1801	19.8791	17.9395	19.2115	16.7476	19.8791	24.3746	16.1801	22.0174	25.2129	11.8231	12.2467	5.07238	4.33213	4.33213	3.38746	5.91539
OG0006431	8	3	13	10	10	15	4	10	10	7	4	4	2	4	1	1	2	1	3	6	3.99656	6.62361	6.14384	7.68198	6.87545	9.89986	11.4131	12.2467	7.1356	4.8782	6.62361	8.57112	3.38746	2.97987	2.27478	1.29045	1.78361	1.29045	1.44428
OG0005116	10	1	5	3	4	1	4	2	6	4	5	3	1	3	1	2	8	2	4	3	3.11134	3.68212	2.49471	3.24716	2.97987	2.61015	2.49471	2.17006	2.72941	3.53239	5.07238	5.07238	2.27478	1.87557	2.49471	2.27478	3.53239	3.24716	4.33213
OG0005102	10	4	2	2	2	2	3	4	2	3	6	2	1	4	1	3	8	4	4	5	3.68212	3.99656	2.85261	2.49471	2.61015	2.49471	2.06869	2.06869	3.68212	2.85261	3.38746	2.49471	2.17006	2.27478	3.38746	2.72941	4.50827	4.69023	5.07238
OG0003005	19	4	4	5	11	8	6	11	15	11	1	1	5	3	1	2	2	18	4	4	4.8782	7.1356	5.07238	5.48019	5.91539	7.96878	7.68198	9.55131	8.88729	4.16162	6.37983	13.1364	2.61015	3.83678	3.24716	2.85261	4.69023	5.07238	2.06869
OG0004050	15	13	5	8	9	7	8	10	9	8	3	3	1	14	5	2	2	2	3	4	5.69426	9.2139	7.68198	6.37983	6.62361	8.57112	7.96878	7.96878	9.2139	5.27297	6.14384	8.57112	4.16162	5.07238	3.38746	3.11134	2.38296	2.06869	2.06869
OG0004165	6	5	4	8	12	6	11	17	3	2	1	2	1	3	3	2	3	2	3	11	4.69023	5.07238	4.69023	4.69023	4.8782	10.2599	8.57112	8.57112	14.5841	1.97056	1.87557	2.49471	1.97056	1.87557	4.33213	2.72941	2.49471	2.27478	2.49471
OG0005448	16	12	7	7	8	10	12	11	11	9	8	17	3	19	1	3	2	4	3	1	4.69023	11.0161	9.89986	9.2139	9.89986	9.2139	8.26506	9.2139	11.4131	10.2599	9.2139	9.89986	11.0161	8.57112	1.60843	2.06869	2.97987	2.97987	2.49471
