TranscriptID	gafu<1>	neva<2>	enqua<3>	hemag<4>	stgag<5>	sthad<6>	hehe<7>	stmer<8>	heau<9>	hecri<10>	mado<11>	acte<12>	ando<13>	oula<14>	chfle<15>	chfus<16>	sama<17>	cyca<18>	neno<19>	hyva<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>
OG0005760	+2.58693	+7.36812	+0.112711	-3.63188	-2.68431	+3.31569	-2.25993	+1.74007	+0.75328	-1.24672	-4.96878*	-3.1356	-1.55131	+1.44869	-1.8782	-2.48019	+3.51981	-1.33213	+5.85616	+14.0312*	+0	+1.86176	-0.781186	-1.7446	+0	+1.7446	+0	+2.05243	-0.371959	-1.48293	+0.564428	+4.27794	-0.268751	+2.41571	-1.58253	-3.09059	+1.26564	-1.81171	+1.14807
OG0004206	+0.317885	+0.317885	-2.53239*	-0.681983	+0.0312169	+0.0312169	+2.00344	-0.996562	+3.31802	-2.68198	-2.14384	+0.115335	+0.175602	+0.175602	-1.17006	+0.505291	-0.494709	+4.00344	-1.24716	+0.617044	+0	+0.702242	+0	-0.149723	+0.799733	+1.81171	+1.53815	+0.2868	-2.14728	-1.35225	+3.16396	+1.53815	-2.09521	-0.060267	-0.596917	-0.212898	+1.0771	+0.749404	-1.50185
OG0005610	+1.30574	-1.48019	+0.0846056	-2.62361	-0.571118	+0.428882	-4.25993	+3.74007	+4.39666	-3.60334	-5.62361*	-0.610152	-0.111344	-0.111344	+6.12455	-3.37983	+5.62017	-1.8782	-0.508267	+7.11271	+0	-1.44135	-0.214066	+0.435203	+0	+2.05339	-1.34517	+1.94751	+2.29114	-1.58327	+2.29148	+6.97973	-1.72197	+0.501192	+1.75168	-2.01184	-2.36718	+0.36993	+1.50163
OG0005773	+6.7861	+0.318017	-2.68198	-2.24672	+4.39666	-3.60334	+1.11271	-0.887289	-1.2139	+0.786095	-1.26506	+1.49173	-1.83678	+2.16322	-1.72941	-0.979873	+1.02013	+0.752842	+2.66787	+14.727*	+0	+2.0783	-1.53192	+0	+0.583074	+2.75107	+1.23059	+1.35662	-2.12884	-1.88523	+1.88523	+0.948848	-1.87156	-0.671483	-1.86263	-2.54356	+1.60272	-1.08497	-0.267284
OG0007081	-2.06869*	-1.38746	-1.99656*	+0.309774	-0.508267	+0.491733	-1.27297	+0.72703	-0.631885	+0.368115	-4.1356*	-0.274778	+0.505291	-0.494709	-0.387458	-1.69023	+2.30977	-0.996562	-0.682115	+5.1218	+0	-1.17847	+1.31877	+0.609104	+0.693665	+0.18797	-0.18797	-0.181959	+0.394774	-0.3581	+2.80348	+3.49628	-2.05735	+0.219931	+1.63104	-1.49074	+0.294657	+0.314446	+0.693665
OG0000146	+4.16322	+0.147393	-0.852607	+0.00343838	+0.00343838	+0.00343838	-1.27297	+0.72703	+0.491733	-0.508267	-0.996562	-0.0163827*	+0.175602	+0.175602	-0.290454	-0.0686877	-0.0686877	-0.608434	+0.305399	+1.21639	+0	+1.22663	-0.984177	+0	+0.127267	+1.52839	-0.511705	+0	+0.764704	-1.10431	+2.12099	+0.511705	-1.85918	+0.808015	-0.826539	-0.49316	+0.404147	-0.0861667	+0.460254
OG0002477	+1.75284	+3.27059	-0.0686877	-0.0686877	-0.0686877	-0.0686877	+0.00343838	+0.00343838	-0.0686877	-0.0686877	-0.0686877	+0.115335	+0.175602	+0.175602	+0.175602	-0.0112371	-0.0112371	+0.633884	-0.217211	-0.0163827*	+0	+1.80288	-0.517748	-0.660722	-0.0981291	+0.639594	-0.541465	+0	+1.38641	-0.52628	+0.624409	+0	-0.559614	-0.060267	-1.4279	+0.808015	+0.392813	+0.148906	-0.354879
OG0000059	+21.1246*	-1.99656	+0.927624	-2.69426	+0.318017	-0.681983	+0.368115	-0.631885	+0.864396	-1.1356	-2.97987*	-1.24716	+0.00343838	+0.00343838	-0.690226	-1.69426	+2.30574	-1.99656	+2.92762	+7.37639	+0	+0.251838	-2.87889	+1.07581	-0.19418	+2.25741	-1.44135	+1.98773	+3.49628	-1.76685	-0.131471	+4.15573	+0.135814	+0.749404	+0	-1.93338	+0.38215	-1.07581	+1.6977
OG0002731	+19.2431	+20.8381	-10.4947	+19.8575	-2.79035	+2.20965	+5.89294	-6.10706	-3.49467	+1.50533	-24.6061*	-14.6117	-23.4576	+26.5424	-1.16186	-14.6061	+21.3939	-2.60615	+104.838*	+106.64	+0	-8.37284	-7.59502	-4.66719	+2.29568	+12.6673	-5.31513	-7.35215	+8.64943	-12.7188	-10.4654	+20.8885	+17.5401	+7.84592	+9.23031	-25.1982	+0	-25.5557	+0
OG0002657	+28.6661*	-6.68431	+0.81993	-2.21286	-1.07877	-0.0787693	-1.01739	+0.98261	-2.01739	+1.98261	-8.58408*	+0.595645	-1.87545	+2.12455	-1.16162	-0.996562	+1.00344	+0.00343838	+2.1218	+11.3764*	+0	+6.31774	-4.64956	+3.49576	+0	+7.38314	+1.64964	+0.865913	-1.54583	-5.54819	+3.9522	+7.43331	-3.22753	-0.528907	-4.39252	-2.46199	+0.716579	-0.881635	+0
OG0004350	+7.46761*	-1.27478	+0.0201266	-1.87545	+0.0312169	+0.0312169	+3.49173	-1.50827	+0.505291	-0.494709	-1.29045*	+0.115335	+0.175602	+0.175602	-0.525023	+0.555721	-0.444279	+0.305399	+0.931312	+1.12443	+0	+0.92224	-1.25762	+0.705096	-0.127267	+3.06279	+0.960053	+1.09334	-1.40713	-1.7063	+0.144144	+1.20425	-0.261645	-0.060267	-0.734585	-0.350545	+0.543665	-0.374087	-0.250322
OG0005877	+3.1218	+0.00343838	-1.99656*	-1.69426	+2.12455	-1.87545	-4.26506	+4.73494	+3.31802	-2.68198	-3.33213*	-1.17006	-0.979873	+1.02013	-2.87545	-0.0723762	-0.0723762	+1.30574	+13.1127*	+4.73494	+0	-1.50163	-0.881635	+0	+0.693665	+1.93338	-0.929353	+1.18119	+1.64145	-1.57888	+1.22078	+3.34986	-0.941286	+0.809815	+1.88523	-1.38961	+2.01184	-3.19303	-0.621881
OG0004378	+9.59565	-1.48019	+0.0846056	+3.03122	+0.37639	-0.62361	-2.25993	+1.74007	+1.44869	-1.55131	-4.07238*	-1.11134	-1.83678	+2.16322	-1.72941	-1.99656	+3.00344	-0.532393	+1.66787	+7.49173*	+0	+1.7101	-1.92416	+0.435203	+0	+2.65572	-0.602335	-1.34517	+1.68881	-1.91883	+1.07581	+4.47893	-0.885218	+0.72544	-1.18599	-1.77886	+1.60272	-0.799733	+0.464169
OG0006426	+11.4289	-2.37983	-3.68198*	+3.98387	+2.7861	-2.2139	+0.81993	-1.18007	+0.786095	-1.2139	-2.40435	-1.16162	-1.8782	+2.1218	-2.11134	-0.494709	+0.505291	+15.0846*	-1.27297	-0.111344	+0	+3.29815	-2.19129	+1.30216	+0.889134	+4.11319	-1.66818	-1.80223	+3.49576	-2.87686	+1.7101	+1.80955	-1.53264	+0.716579	-2.16163	+0	+2.16163	+0.642424	-3.42069
OG0004966	+3.30977	+3.16322	+1.02013	-0.682115	+0.00343838	+0.00343838	-0.0686877	-0.0686877	+0.467607	-0.532393	-1.49471*	-0.852607	+0.467607	-0.532393	-1.85261	-0.494709	+0.505291	+12.3057*	-1.69023	+0.752842	+0	+0.853442	-0.853442	-0.85691	-0.127267	+0.127267	+0.702242	+0.314446	-0.911186	-0.242454	-0.115444	+1.03768	+0.242454	+0.679786	-0.589626	-0.394551	+1.83762	+1.00403	-3.19955
OG0003187	+2.49173	-0.836784	-1.16162	-0.682115	+0.00343838	+0.00343838	-0.143837	-0.143837	-0.62361	+0.37639	+5.42888	+1.02944	-0.444279	+0.555721	-0.290454	+1.12443	-0.875567	-0.525023	+0.305399	+1.3054	+0	+1.65566	-0.671483	+0.324834	+0.346649	+0	-0.826151	+0.314446	+1.63557	+0	+4.06285	-1.94751	-2.53771	-0.52628	-1.15801	-0.404147	+0.404147	-0.169578	+0.350545
OG0004390	+6.25241	-6.09888	+3.06049	-14.8381*	+3.31916	-3.68084	-8.74759	+10.2524	+2.90112	-3.09888	-5.89986*	-2.74759	+1.06049	-0.939506	-1.62361	-3.1356	+4.8644	-2.27297	+9.03122*	+12.1001	+0	+3.61124	-1.64871	+2.84062	+0	+6.43513	+5.46344	+11.8428	-7.62704	-5.25519	-2.78445	+5.19902	+4.06328	+1.19191	-3.2365	-3.27625	+1.34517	-2.69581	+1.86263
OG0002860	-2.68198	+0.428882	-0.571118	-1.26506	+0.786095	-1.2139	+2.98387	-2.01613	+0.863643	-1.13636	-3.01613	+2.72703	-2.16162	+2.83838	-0.494709	+1.02013	-0.979873	-1.06869	+2.14739	+1.88866	+0	+2.60961	+0.889134	+0	+0	+0.642787	-0.948848	+0.948848	+1.80223	-0.602335	+3.04735	+2.12023	-2.69581	-1.11135	-1.96103	-0.616635	+0.357898	-0.783919	+0.911186
OG0006498	+2.66613	-7.18007	+13.1209*	-4.74759	-6.87913	+9.12087	-6.37463	+4.62537	+5.78714	-5.21286	-6.01739	-0.823123	+1.75328	-1.24672	-0.332126	-2.91539	+5.08461	-2.38746*	+2.66787	+1.92762	+0	+7.78256	-1.1538	+3.69906	-1.93962	+1.27196	-2.46387	+3.13153	+5.16317	-1.75944	+5.83732	+3.19547	-4.35695	+0.423598	-4.47893	-0.74025	+0	-0.944668	+2.52794
