TranscriptID	gafu<1>	neva<2>	enqua<3>	hemag<4>	stgag<5>	sthad<6>	hehe<7>	stmer<8>	heau<9>	hecri<10>	mado<11>	acte<12>	ando<13>	oula<14>	chfle<15>	chfus<16>	sama<17>	cyca<18>	neno<19>	hyva<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>
OG0005760	+2.58693	+7.36812	+0.112711	-3.63188	-2.68431	+3.31569	-1.89986	+2.10014	+0.75328	-1.24672	-4.96878*	-3.1356	-1.55131	+1.44869	-1.8782	-2.48019	+3.51981	-1.33213	+5.85616	+14.0312*	+0	+1.86176	-0.781186	-1.7446	-0.316171	+1.68881	+0.371959	+2.05243	-0.360065	-1.16676	+0.564428	+4.27794	-0.268751	+2.41571	-1.58253	-3.09059	+1.26564	-1.81171	+1.14807
OG0004206	+0.317885	+0.467607	-2.38746*	-0.681983	+0.0312169	+0.0312169	+1.66787	-1.33213	+3.31802	-2.68198	-2.14384	+0.0530773	+0.0530773	+0.0530773	-1.17006	+0.505291	-0.494709	+4.00344*	-1.24716	+0.617044	+0	+0.702242	-0.149723	-0.144935	+0.609104	+2.14728	+1.53815	+0.2868	-1.81171	-1.38641	+3.53368	+1.53815	-1.66323	+0	-0.596917	-0.212898	+1.0771	+0.749404	-1.50185
OG0005610	+1.30574	-1.07238	+0.305743	-2.62361	-0.571118	+0.428882	-3.2139	+4.7861	+4.39666	-3.60334	-5.62361*	-0.72941	-0.111344	-0.111344	+6.12455	-3.37983	+5.62017	-1.8782	-0.508267	+7.11271	+0	-1.44135	-0.621881	+0.621881	-0.214066	+2.20179	-1.05837	+1.94751	+1.53192	-1.31857	+2.46199	+6.97973	-1.43221	+0.381934	+1.75168	-2.01184	-2.36718	+0.36993	+1.50163
OG0005773	+6.44869	+0.318017	-2.40435	-2.24672	+4.39666	-3.60334	+0.786095	-1.2139	-1.2139	+0.786095	-1.26506	+1.66787	-1.68212	+2.31788	-1.72941	-0.979873	+1.02013	+0.752842	+2.66787	+14.727*	+0	+2.41571	-1.86933	-0.277629	+0.564428	+3.04735	+1.23059	+1.35662	-1.80223	-2.05339	+2.34966	+0.948848	-1.58327	-0.650011	-1.86263	-2.54356	+1.60272	-1.08497	-0.267284
OG0007081	-1.87557*	-1.38746	-1.99656*	+0.309774	-0.508267	+0.491733	-1.07238	+0.927624	-0.631885	+0.368115	-4.1356*	-0.382956	+0.505291	-0.494709	-0.387458	-1.69023	+2.30977	-0.996562	-0.682115	+5.1218	+0	-1.23578	+1.51189	+0.609104	+0.335564	+0.546071	-0.18797	-0.181959	+0.19418	-0.335564	+3.13904	+3.49628	-1.61361	+0.111752	+1.76685	-1.49074	+0.294657	+0.314446	+0.693665
OG0000146	+4.16322	+0.27059	-0.610152	+0.00343838	+0.00343838	+0.00343838	-1.07238	+0.927624	+0.491733	-0.508267	-0.996562	-0.361722*	+0.0530773	+0.0530773	-0.366116	-0.0686877	-0.0686877	-0.608434	+0.305399	+1.21639	+0	+1.22663	-1.10737	-0.119257	+0.119257	+1.60272	-0.335564	+0	+0.74025	-1.03481	+2.30196	+0.511705	-1.33288	+0.585201	-0.826539	-0.417497	+0.328484	-0.0861667	+0.460254
OG0002477	+1.75284	+3.27059	+0.0294414	-0.0686877	-0.0686877	-0.0686877	+0.00343838	+0.00343838	-0.0686877	-0.0686877	-0.0686877	+0.0530773	+0.0530773	+0.0530773	+0.115335	-0.0112371	-0.0112371	+0.633884	-0.217211	-0.0163827*	+0	+1.72214	-0.517748	-0.758851	+0	+0.758851	-0.660722	+0	+1.26715	-0.52628	+0.624409	+0	-0.497356	+0	-1.50864	+0.868282	+0.332546	+0.148906	-0.354879
OG0000059	+20.8644*	-1.99656	+1.1218	-2.69426	+0.318017	-0.681983	+0.368115	-0.631885	+0.864396	-1.1356	-2.97987*	-1.24716	+0.00343838	+0.00343838	-0.690226	-1.69426	+2.30574	-1.99656	+2.92762	+7.37639	+0	+0.260157	-3.13904	+0.881635	-0.18797	+2.71413	-1.7101	+1.98773	+3.22753	-1.57888	-0.131471	+4.15573	+0.135814	+0.749404	-0.251838	-1.93338	+0.38215	-1.07581	+1.6977
OG0002731	+19.2431	+18.3883	-10.4947	+19.8575	-2.79035	+2.20965	+5.89294	-6.10706	-3.49467	+1.50533	-24.6061*	-12.1619	-20.7569	+29.2431	-1.16186	-14.6061	+21.3939	-2.60615	+104.838*	+106.64	+0	-8.37284	-5.14517	-7.11705	+2.29568	+12.6673	-5.31513	-7.35215	+8.64943	-10.7674	-12.4168	+20.8885	+13.1389	+7.59502	+9.23031	-25.1982	+0	-25.5557	+0
OG0002657	+28.0605*	-5.82312	+1.90112	-2.21286	-1.07877	-0.0787693	-1.01739	+0.98261	-2.01739	+1.98261	-8.58408*	+0.864396	-1.87545	+2.12455	-1.16162	-0.996562	+1.00344	+0.00343838	+2.1218	+11.3764*	+0	+6.92337	-6.11638	+3.27576	+0	+8.46433	+1.64964	+0.865913	-1.54583	-5.19902	+4.68422	+7.43331	-2.76426	-0.260157	-4.39252	-2.46199	+0.716579	-0.881635	+0
OG0004350	+7.31788*	-1.17006	+0.27059	-1.87545	+0.0312169	+0.0312169	+2.92762	-2.07238	+0.505291	-0.494709	-1.29045*	+0.0530773	+0.0530773	+0.0530773	-0.525023	+0.555721	-0.444279	+0.305399	+0.931312	+1.02944	+0	+0.952705	-1.51206	+0.559351	+0	+3.41443	+0.731611	+1.09334	-1.07146	-1.65173	+0.212778	+1.20425	-0.130753	+0	-0.758851	-0.445536	+0.543665	-0.374087	-0.250322
OG0005877	+3.1218	+0.00343838	-1.83678*	-1.69426	+2.12455	-1.87545	-3.40435	+5.59565	+3.31802	-2.68198	-3.33213*	-1.17006	-0.979873	+1.02013	-2.87545	-0.0723762	-0.0723762	+1.30574	+13.1127*	+4.73494	+0	-1.50163	-0.881635	-0.159778	+0.495342	+2.0477	-0.685569	+1.18119	+1.02453	-1.35225	+1.35225	+3.34986	-0.809815	+0.809815	+1.88523	-1.38961	+2.01184	-3.19303	-0.621881
OG0004378	+9.59565*	-1.27297	+0.305743	+3.03122	+0.37639	-0.62361	-1.89986	+2.10014	+1.44869	-1.55131	-4.07238*	-0.979873	-1.68212	+2.31788	-1.72941	-1.99656	+3.00344	-0.532393	+1.66787	+7.49173*	+0	+1.7101	-2.13138	+0.421287	+0	+2.87686	-0.602335	-1.34517	+1.32874	-1.85747	+1.23559	+4.47893	-0.85691	+0.702242	-1.18599	-1.77886	+1.60272	-0.799733	+0.464169
OG0006426	+11.1127*	-2.37983	-3.40435*	+3.98387	+2.7861	-2.2139	+0.81993	-1.18007	+0.786095	-1.2139	-2.40435	-1.16162	-1.69023	+2.30977	-2.11134	-0.494709	+0.505291	+15.0846*	-1.27297	-0.111344	+0	+3.4071	-2.50746	+1.02453	+0.860702	+4.41925	-1.66818	-1.80223	+3.49576	-2.78487	+1.92416	+1.80955	-1.31857	+0.528609	-2.36885	+0	+2.16163	+0.642424	-3.42069
OG0004966	+3.30977	+3.16322	+1.02013	-0.682115	+0.00343838	+0.00343838	-0.0686877	-0.0686877	+0.467607	-0.532393	-1.49471	-0.979873	+0.467607	-0.532393	-1.85261	-0.494709	+0.505291	+12.3057*	-1.69023	+0.752842	+0	+0.693665	-0.853442	-0.85691	-0.127267	+0.127267	+0.702242	+0.314446	-0.911186	-0.123197	-0.234701	+1.03768	+0.250464	+0.552519	-0.749404	-0.394551	+1.83762	+1.00403	-3.19955
OG0003187	+2.49173	-0.682115	-0.996562	-0.682115	+0.00343838	+0.00343838	-0.143837	-0.143837	-0.62361	+0.37639	+5.42888	+1.12443	-0.444279	+0.555721	-0.290454	+1.12443	-0.875567	-0.525023	+0.305399	+1.3054	+0	+1.65566	-0.826151	+0.314446	+0.165056	+0.346649	-0.826151	+0.314446	+1.63557	-0.165056	+4.57456	-1.94751	-2.12099	-0.431289	-1.15801	-0.404147	+0.404147	-0.169578	+0.350545
OG0004390	+6.25241	-5.58408	+3.66613	-14.8381*	+3.31916	-3.68084	-7.09888	+11.9011	+2.90112	-3.09888	-5.89986*	-2.74759	+1.06049	-0.939506	-1.62361	-3.1356	+4.8644	-2.27297	+9.03122*	+12.1001	+0	+3.61124	-2.16351	+2.74979	-0.586272	+6.03015	+7.06033	+11.8428	-7.67886	-3.61124	-3.2365	+5.19902	+3.61124	+1.19191	-3.2365	-3.27625	+1.34517	-2.69581	+1.86263
OG0002860	-2.40435	+0.428882	-0.265057	-1.26506	+0.786095	-1.2139	+2.58693	-2.41307	+0.863643	-1.13636	-3.01613	+2.92762	-1.99656	+3.00344	-0.494709	+1.02013	-0.979873	-1.06869	+2.14739	+1.88866	+0	+2.52616	+1.16676	-0.306061	+0	+1.28625	-1.28625	+0.948848	+1.86176	-0.860702	+3.61178	+2.12023	-2.33198	-1.07581	-1.76685	-0.616635	+0.357898	-0.783919	+0.911186
OG0006498	+3.25241	-6.63069	+13.7885*	-4.74759	-6.87913	+9.12087	-4.77774	+6.22226	+5.78714	-5.21286	-6.01739	-1.24672	+1.31569	-1.68431	-0.332126	-2.91539	+5.08461	-2.38746*	+2.66787	+1.92762	+0	+7.19628	-1.1169	+3.58077	-1.8776	+1.8776	-2.46387	+3.13153	+3.56628	-1.70317	+6.3867	+3.19547	-3.38397	+0.437591	-4.47893	-0.74025	+0	-0.944668	+2.52794
OG0006431	+1.62017	-2.69426	+5.8644*	-1.41307	-2.24672	+2.75328	-2.37983	+3.62017	+1.42888	-1.57112	-2.62361	+0.752842	-0.979873	+1.02013	-0.366116	-0.444279	+0.555721	-0.290454	+1.21639	+3.61704	+0	+2.38326	-0.685569	+1.44135	-0.755779	+2.83408	+2.19917	+0.83365	-2.83408	-1.87156	+2.11534	+1.94751	-1.26111	-0.267284	-1.61361	-1.01684	+0.417497	-0.49316	+0.153825
OG0005116	+6.16322*	-1.49471	+1.75284	+0.505291	+1.82994	-1.17006	+1.02013	-0.979873	+0.927624	-1.07238	-0.0723762	+0.829942	-0.875567	+1.12443	-1.38296	-2.33213	+3.66787	-1.24716	+0.467607	+0.505291	+0	+0.72544	-1.34208	+0.752449	-0.267284	-0.369721	-0.115444	-0.32465	+0.369721	+0.267284	+1.82522	+0	-1.0771	-0.294491	-0.616635	-0.111752	+1.14944	-0.285235	+1.08497
OG0005102	+5.83838	+1.14739	-0.494709	-0.0686877	-0.0686877	-0.0686877	-0.532393	+0.467607	-0.494709	+0.505291	+2.61254	-0.170058	-1.17006	+1.82994	-1.72941	-2.07238	+2.92762	-0.690226	-0.508267	+1.61254	+0	+0.324834	-1.30901	-0.357898	+0.115444	+0	-0.541465	+0	+0.92224	+0.119257	+0.658048	-0.892749	-0.559351	+0	-0.449326	-0.658048	+1.77886	+0.181959	+0.38215
OG0003005	+11.5956*	-0.878197	-1.27297	-2.68198	+1.44869	-1.55131	-2.26506	+2.73494	+1.86364	-2.13636	-5.37983*	-1.72941*	+1.00344	-0.996562	-1.85261	-0.0686877	-0.0686877	+12.9276*	-0.690226	+0.752842	+0	+2.33198	-2.52616	+0.394774	+0.207221	+2.48859	-0.2868	+1.86933	+0.296274	-1.48363	+2.38326	+6.75653	-1.26715	+1.26715	-1.82522	-0.394551	+1.83762	+0.38215	-3.00369
