TranscriptID	gafu<1>	neva<2>	enqua<3>	hemag<4>	stgag<5>	sthad<6>	hehe<7>	stmer<8>	heau<9>	hecri<10>	mado<11>	acte<12>	ando<13>	oula<14>	chfle<15>	chfus<16>	sama<17>	cyca<18>	neno<19>	hyva<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>
OG0005760	[14-14]	[18-18]	[9-9]	[7-7]	[10-10]	[16-16]	[8-8]	[12-12]	[13-13]	[11-11]	[3-3]	[4-4]	[8-8]	[11-11]	[3-3]	[3-3]	[9-9]	[3-3]	[12-12]	[22-22]	[3.68212-22.7777]	[4.8782-26.0788]	[4.8782-22.0174]	[5.27297-14.0857]	[5.48019-13.6033]	[6.14384-16.7476]	[5.27297-19.8791]	[5.69426-27.8974]	[4.33213-21.2813]	[4.33213-12.6843]	[3.99656-14.5841]	[5.48019-25.2129]	[3.53239-14.0857]	[3.99656-20.5688]	[2.97987-18.5652]	[1.60843-12.2467]	[2.97987-12.2467]	[1.97056-8.88729]	[2.38296-11.0161]
OG0004206	[4-4]	[4-4]	[1-1]	[7-7]	[8-8]	[8-8]	[6-6]	[3-3]	[11-11]	[5-5]	[4-4]	[1-1]	[1-1]	[1-1]	[1-1]	[3-3]	[2-2]	[8-8]	[2-2]	[3-3]	[0.709584-7.96878]	[1.14631-8.88729]	[1.29045-7.96878]	[1.78361-5.69426]	[2.27478-6.37983]	[3.53239-10.2599]	[3.83678-15.0989]	[3.38746-17.9395]	[1.60843-10.2599]	[1.21721-4.69023]	[3.11134-11.8231]	[3.24716-16.1801]	[0.0499578-2.61015]	[0.0499578-3.11134]	[0.453174-6.62361]	[0.361722-6.14384]	[1.29045-6.87545]	[1.78361-7.96878]	[0.884665-5.48019]
OG0005610	[7-7]	[4-4]	[6-6]	[4-4]	[8-8]	[9-9]	[6-6]	[14-14]	[18-18]	[10-10]	[1-1]	[2-2]	[3-3]	[3-3]	[13-13]	[3-3]	[12-12]	[3-3]	[4-4]	[16-16]	[2.61015-17.3339]	[2.06869-13.1364]	[2.06869-11.0161]	[3.24716-9.2139]	[3.38746-8.88729]	[4.50827-12.6843]	[3.24716-13.1364]	[3.68212-18.5652]	[3.99656-20.5688]	[2.17006-7.1356]	[3.24716-12.2467]	[6.37983-27.8974]	[1.01124-5.69426]	[0.946923-7.40435]	[3.53239-20.5688]	[2.49471-16.7476]	[2.06869-9.2139]	[2.17006-9.55131]	[2.85261-12.6843]
OG0005773	[16-16]	[8-8]	[5-5]	[10-10]	[18-18]	[10-10]	[10-10]	[8-8]	[8-8]	[10-10]	[7-7]	[6-6]	[2-2]	[6-6]	[1-1]	[2-2]	[4-4]	[4-4]	[7-7]	[20-20]	[2.61015-17.3339]	[3.83678-21.2813]	[3.38746-15.6307]	[4.33213-11.8231]	[4.8782-12.2467]	[6.37983-17.9395]	[6.37983-23.5632]	[6.14384-28.8519]	[3.83678-19.8791]	[3.38746-9.89986]	[4.33213-15.6307]	[3.99656-19.2115]	[1.87557-8.88729]	[1.21721-8.57112]	[1.87557-13.1364]	[0.550768-7.40435]	[1.87557-8.57112]	[1.36612-6.87545]	[1.07768-6.37983]
OG0007081	[0-0]	[2-2]	[2-2]	[5-5]	[4-4]	[5-5]	[4-4]	[6-6]	[10-10]	[11-11]	[3-3]	[2-2]	[3-3]	[2-2]	[3-3]	[3-3]	[7-7]	[3-3]	[3-3]	[10-10]	[0.766058-7.96878]	[0.318177-5.07238]	[1.14631-7.40435]	[2.17006-6.62361]	[2.61015-7.1356]	[2.61015-8.26506]	[2.17006-9.55131]	[1.6946-10.2599]	[1.87557-11.4131]	[2.17006-6.87545]	[3.68212-13.6033]	[4.8782-22.0174]	[0.824398-5.07238]	[0.654916-6.37983]	[1.6946-11.8231]	[0.946923-8.88729]	[1.52502-7.68198]	[1.78361-8.26506]	[2.06869-9.55131]
OG0000146	[8-8]	[3-3]	[2-2]	[4-4]	[4-4]	[4-4]	[4-4]	[6-6]	[5-5]	[4-4]	[3-3]	[0-0]	[1-1]	[1-1]	[1-1]	[2-2]	[2-2]	[1-1]	[2-2]	[3-3]	[0.501178-7.1356]	[1.21721-9.2139]	[0.884665-6.37983]	[1.29045-4.50827]	[1.44428-4.50827]	[2.38296-7.68198]	[1.78361-8.26506]	[1.44428-9.55131]	[1.87557-11.4131]	[0.654916-3.24716]	[1.87557-7.68198]	[1.78361-9.89986]	[0.0163827-1.87557]	[0.0499578-3.11134]	[0.120472-5.07238]	[0.084642-4.33213]	[0.453174-3.99656]	[0.361722-3.68212]	[0.601995-4.69023]
OG0002477	[5-5]	[6-6]	[2-2]	[2-2]	[2-2]	[2-2]	[4-4]	[4-4]	[2-2]	[2-2]	[2-2]	[1-1]	[1-1]	[1-1]	[1-1]	[1-1]	[1-1]	[2-2]	[1-1]	[0-0]	[0.120472-4.8782]	[1.01124-8.26506]	[0.884665-6.37983]	[0.884665-3.68212]	[0.946923-3.53239]	[1.36612-4.8782]	[0.654916-4.50827]	[0.406705-5.27297]	[1.44428-9.55131]	[0.406705-2.85261]	[0.709584-4.33213]	[0.501178-5.07238]	[0.0499578-2.61015]	[0.0499578-3.11134]	[0.0163827-2.49471]	[0.0499578-3.68212]	[0.120472-3.11134]	[0.195722-3.24716]	[0.0499578-2.72941]
OG0000059	[28-28]	[2-2]	[6-6]	[3-3]	[8-8]	[7-7]	[11-11]	[10-10]	[8-8]	[6-6]	[0-0]	[2-2]	[4-4]	[4-4]	[4-4]	[4-4]	[8-8]	[2-2]	[8-8]	[14-14]	[2.49471-16.7476]	[2.85261-16.1801]	[1.52502-8.88729]	[2.85261-8.26506]	[2.85261-7.68198]	[4.16162-12.2467]	[2.61015-11.0161]	[3.11134-16.7476]	[4.69023-22.7777]	[1.60843-5.69426]	[1.29045-6.14384]	[2.97987-15.0989]	[1.29045-6.87545]	[1.44428-9.55131]	[2.49471-15.6307]	[1.52502-11.8231]	[2.27478-10.2599]	[1.78361-8.26506]	[2.61015-11.8231]
OG0002731	[100-100]	[94-94]	[58-58]	[98-98]	[68-68]	[73-73]	[98-98]	[86-86]	[65-65]	[70-70]	[23-23]	[61-61]	[60-60]	[110-110]	[72-72]	[33-33]	[69-69]	[45-45]	[178-178]	[205-205]	[40.316-202.11]	[37.7159-171.647]	[37.7159-150.601]	[44.5472-108.536]	[46.0518-108.536]	[52.584-136.517]	[43.0907-145.753]	[34.1193-145.753]	[44.5472-189.328]	[37.7159-98.36]	[26.9733-83.4576]	[34.1193-136.517]	[40.316-136.517]	[38.9948-171.647]	[44.5472-222.911]	[31.9091-166.126]	[38.9948-132.12]	[25.2129-86.2476]	[25.2129-89.1297]
OG0002657	[46-46]	[6-6]	[17-17]	[23-23]	[25-25]	[26-26]	[21-21]	[23-23]	[20-20]	[24-24]	[6-6]	[8-8]	[5-5]	[9-9]	[3-3]	[3-3]	[5-5]	[4-4]	[7-7]	[18-18]	[4.33213-26.0788]	[7.68198-38.9948]	[5.69426-24.3746]	[9.55131-24.3746]	[9.55131-22.7777]	[14.5841-37.7159]	[13.1364-46.0518]	[11.8231-54.3541]	[10.2599-47.6061]	[5.91539-16.1801]	[7.96878-26.0788]	[10.6319-44.5472]	[3.53239-14.0857]	[2.72941-15.0989]	[2.49471-15.6307]	[1.29045-10.6319]	[2.17006-9.55131]	[1.78361-7.96878]	[1.6946-8.26506]
