GOBPID,FDR,Term,Size
GO:0006006,3.928105962156412e-20,glucose metabolic process,45
GO:0006082,5.601582554422365e-16,organic acid metabolic process,472
GO:0019752,5.601582554422365e-16,carboxylic acid metabolic process,472
GO:0043436,5.601582554422365e-16,oxoacid metabolic process,472
GO:0051130,8.435660006671206e-15,positive regulation of cellular component organization,128
GO:0009185,2.6328256208349592e-14,ribonucleoside diphosphate metabolic process,36
GO:0009179,2.6328256208349592e-14,purine ribonucleoside diphosphate metabolic process,36
GO:0009135,2.6328256208349592e-14,purine nucleoside diphosphate metabolic process,36
GO:0031334,2.6328256208349592e-14,positive regulation of protein-containing complex assembly,41
GO:0044281,2.6328256208349592e-14,small molecule metabolic process,816
GO:0009117,1.1630825298245254e-13,nucleotide metabolic process,197
GO:0009150,1.309281540447466e-13,purine ribonucleotide metabolic process,161
GO:0009259,1.309281540447466e-13,ribonucleotide metabolic process,161
GO:0006163,1.309281540447466e-13,purine nucleotide metabolic process,161
GO:0019693,1.309281540447466e-13,ribose phosphate metabolic process,161
GO:0034314,4.4981158440203643e-13,Arp2/3 complex-mediated actin nucleation,34
GO:0045010,4.4981158440203643e-13,actin nucleation,34
GO:0006753,1.0515189966710395e-12,nucleoside phosphate metabolic process,206
GO:0034315,1.487601117085468e-12,regulation of Arp2/3 complex-mediated actin nucleation,16
GO:0051125,1.487601117085468e-12,regulation of actin nucleation,16
GO:0072521,1.919631129734876e-12,purine-containing compound metabolic process,170
GO:0032273,2.872527524458449e-12,positive regulation of protein polymerization,36
GO:0030838,2.872527524458449e-12,positive regulation of actin filament polymerization,36
GO:1901135,5.0330680829433554e-12,carbohydrate derivative metabolic process,470
GO:0007006,8.301056062709238e-12,mitochondrial membrane organization,15
GO:0001894,8.301056062709238e-12,tissue homeostasis,15
GO:0006690,1.4173401087592971e-11,icosanoid metabolic process,30
GO:0019318,1.5179523667761045e-11,hexose metabolic process,72
GO:0010942,1.5179523667761045e-11,positive regulation of cell death,17
GO:1902905,8.391233295465791e-11,positive regulation of supramolecular fiber organization,40
GO:0000165,9.081528006915044e-11,MAPK cascade,121
GO:0043068,9.39674683425434e-11,positive regulation of programmed cell death,16
GO:0010638,1.5641429245125306e-10,positive regulation of organelle organization,107
GO:0033875,1.5641429245125306e-10,ribonucleoside bisphosphate metabolic process,47
GO:0006637,1.5641429245125306e-10,acyl-CoA metabolic process,47
GO:0034032,1.5641429245125306e-10,purine nucleoside bisphosphate metabolic process,47
GO:0051094,1.6033329203724615e-10,positive regulation of developmental process,30
GO:0019370,2.833789865043146e-10,leukotriene biosynthetic process,13
GO:0006691,2.833789865043146e-10,leukotriene metabolic process,13
GO:0046456,2.833789865043146e-10,icosanoid biosynthetic process,13
GO:0005996,5.476461086091661e-10,monosaccharide metabolic process,80
GO:0070371,3.2174908045872534e-9,ERK1 and ERK2 cascade,14
GO:0070372,3.2174908045872534e-9,regulation of ERK1 and ERK2 cascade,14
GO:0043408,6.040227344619852e-9,regulation of MAPK cascade,82
GO:0033865,9.097806480201433e-9,nucleoside bisphosphate metabolic process,54
GO:0035383,9.097806480201433e-9,thioester metabolic process,54
GO:0055086,1.1960803834908022e-8,nucleobase-containing small molecule metabolic process,249
GO:0031346,1.2369810299925436e-8,positive regulation of cell projection organization,11
GO:0032787,1.2723078874266335e-8,monocarboxylic acid metabolic process,160
GO:0009161,1.346170911410807e-8,ribonucleoside monophosphate metabolic process,27
GO:0009167,1.346170911410807e-8,purine ribonucleoside monophosphate metabolic process,27
GO:0009126,1.346170911410807e-8,purine nucleoside monophosphate metabolic process,27
GO:0006096,1.346170911410807e-8,glycolytic process,27
GO:0006757,1.346170911410807e-8,ATP generation from ADP,27
GO:0046031,1.346170911410807e-8,ADP metabolic process,27
GO:0009068,1.346170911410807e-8,aspartate family amino acid catabolic process,27
GO:0048284,1.6944035618979564e-8,organelle fusion,22
GO:0051495,1.9212731321473235e-8,positive regulation of cytoskeleton organization,49
GO:0034453,2.4694558290708618e-8,microtubule anchoring,25
GO:0006090,6.924244885686466e-8,pyruvate metabolic process,29
GO:0042255,6.924244885686466e-8,ribosome assembly,10
GO:0042256,6.924244885686466e-8,mature ribosome assembly,10
GO:0006091,7.92061704354614e-8,generation of precursor metabolites and energy,216
GO:0043065,9.722334177967848e-8,positive regulation of apoptotic process,12
GO:0006952,1.9338818312701485e-7,defense response,61
GO:0007005,1.9338818312701485e-7,mitochondrion organization,118
GO:0097502,2.4618867196640764e-7,mannosylation,63
GO:0002250,2.4618867196640764e-7,adaptive immune response,9
