GOBPID,FDR,Term,Size
GO:0006367,3.478689318117026e-18,transcription initiation from RNA polymerase II promoter,28
GO:0019405,1.5277931200289732e-12,alditol catabolic process,9
GO:0044275,1.5277931200289732e-12,cellular carbohydrate catabolic process,9
GO:0019563,1.5277931200289732e-12,glycerol catabolic process,9
GO:0006878,1.5277931200289732e-12,cellular copper ion homeostasis,9
GO:1901616,1.5277931200289732e-12,organic hydroxy compound catabolic process,9
GO:0055070,1.5277931200289732e-12,copper ion homeostasis,9
GO:0046164,1.5277931200289732e-12,alcohol catabolic process,9
GO:0046174,1.5277931200289732e-12,polyol catabolic process,9
GO:0006352,1.7342056583093276e-12,"DNA-templated transcription, initiation",55
GO:0051276,2.5733331847404737e-11,chromosome organization,325
GO:1990504,2.5733331847404737e-11,dense core granule exocytosis,8
GO:0016079,2.5733331847404737e-11,synaptic vesicle exocytosis,8
GO:0090481,2.5733331847404737e-11,pyrimidine nucleotide-sugar transmembrane transport,8
GO:0007269,2.5733331847404737e-11,neurotransmitter secretion,8
GO:0008643,2.5733331847404737e-11,carbohydrate transport,8
GO:0015780,2.5733331847404737e-11,nucleotide-sugar transmembrane transport,8
GO:0019400,1.4612327499404525e-10,alditol metabolic process,12
GO:0006071,1.4612327499404525e-10,glycerol metabolic process,12
GO:0099504,1.9135993340054187e-10,synaptic vesicle cycle,9
GO:0017156,8.857855182842703e-10,calcium-ion regulated exocytosis,10
GO:0035821,1.0478970711046251e-9,modulation of process of other organism,24
GO:0099003,2.882648242797008e-9,vesicle-mediated transport in synapse,11
GO:0032392,3.9084722671548335e-9,DNA geometric change,49
GO:0032508,3.9084722671548335e-9,DNA duplex unwinding,49
GO:0019474,1.5664136787135675e-8,L-lysine catabolic process to acetyl-CoA,18
GO:0019477,1.5664136787135675e-8,L-lysine catabolic process,18
GO:0033512,1.5664136787135675e-8,L-lysine catabolic process to acetyl-CoA via saccharopine,18
GO:0006825,1.5664136787135675e-8,copper ion transport,18
GO:0006553,1.5664136787135675e-8,lysine metabolic process,18
GO:0006554,1.5664136787135675e-8,lysine catabolic process,18
GO:0046440,1.5664136787135675e-8,L-lysine metabolic process,18
GO:0035434,1.5664136787135675e-8,copper ion transmembrane transport,18
GO:0006351,1.9525629592757736e-8,"transcription, DNA-templated",899
GO:0032774,1.9525629592757736e-8,RNA biosynthetic process,899
GO:0097659,1.9525629592757736e-8,nucleic acid-templated transcription,899
GO:0007267,6.550080810080987e-8,cell-cell signaling,216
GO:0006857,7.548812148945682e-8,oligopeptide transport,21
GO:0046916,1.123315843147204e-7,cellular transition metal ion homeostasis,22
GO:0031163,1.123315843147204e-7,metallo-sulfur cluster assembly,22
GO:0016226,1.123315843147204e-7,iron-sulfur cluster assembly,22
GO:0055076,1.123315843147204e-7,transition metal ion homeostasis,22
GO:0009791,1.7120271003455098e-7,post-embryonic development,23
GO:0090263,1.7120271003455098e-7,positive regulation of canonical Wnt signaling pathway,23
GO:0071560,3.7847598354299727e-7,cellular response to transforming growth factor beta stimulus,25
GO:0071559,3.7847598354299727e-7,response to transforming growth factor beta,25
GO:0007179,3.7847598354299727e-7,transforming growth factor beta receptor signaling pathway,25
GO:0099643,4.942899954225595e-7,signal release from synapse,19
GO:0006836,4.942899954225595e-7,neurotransmitter transport,19
GO:0009068,7.709492257303907e-7,aspartate family amino acid catabolic process,27
GO:0006325,8.296890154103284e-7,chromatin organization,184
GO:1901264,1.16276672648085e-6,carbohydrate derivative transport,21
GO:0045055,1.16276672648085e-6,regulated exocytosis,21
GO:0071103,1.924510753453441e-6,DNA conformation change,81
