Orthogroup,Gafu_body1,Gafu_body2,Gafu_body3,Gafu_tentacle_c1,Gafu_tentacle_c2,Gafu_tentacle_c3,Gafu_tentacle_sw1,Gafu_tentacle_sw2,Gafu_tentacle_sw3,Acte_tentacles1,Acte_tentacles2,Acte_tentacles3,Acte_mesentries1,Acte_mesentries2,Acte_mesentries3,Acte_tentacles4,Acte_tentacles5,Acte_tentacles6,Ando_tentacles,Chfle_tentacles,Chfus_tentacles,Cyca_tentacles,Enqua_tentacles1,Enqua_tentacles2,Enqua_tentacles3,Enqua_tentacles4,Enqua_tentacles5,Enqua_tentacles6,Heau_tentacles1,Heau_tentacles2,Heau_tentacles3,Heau_tentacles4,Heau_tentacles5,Hecri_tentacles1,Hecri_tentacles2,Hecri_tentacles3,Hecri_tentacles4,Hehe_body,Hehe_nematosomes,Hehe_tentalce_exo1,Hehe_tentalce_exo2,Hemag_tentacles1,Hemag_tentacles2,Hemag_tentacles3,Hemag_tentacles4,Hemag_tentacles5,Hyva_body1,Hyva_body2,Hyva_body3,Hyva_tentacle_1,Hyva_tentacle_2,Hyva_tentacle_3,Mado_tentacle_i1,Mado_tentacle_i2,Mado_tentacle_o1,Mado_tentacle_o2,Neno_tentacles,Neva_mesentries1,Neva_mesentries2,Neva_mesentries3,Neva_nematosomes1,Neva_nematosomes2,Neva_nematosomes3,Neva_tentacles1,Neva_tentacles2,Neva_tentacles3,Oula_tentacles1,Oula_tentacles2,Oula_tentacles3,Sama_tentacles,Stgag_tentacles1,Stgag_tentacles2,Stgag_tentacles3,Stgag_tentacles4,Sthad_tentacles1,Sthad_tentacles2,Sthad_tentacles3,Stmer_tentacles1,Stmer_tentacles2,Stmer_tentacles3,Stmer_tentacles4
OG0005760,784,718,803,347,363,481,666,758,737,2070,2036,1964,1441,1476,1385,2885,2657,2881.16,3553,1025,176,758,871,1928,55,282,501,127,2734.5,584.942,617.896,916.201,984.377,1396.54,496.179,538.527,836.986,2348,1230,1779,867,2480.01,1076.45,682.87,382.235,516.72,1036,1163,4047,943,1186,2018,465.233,279.713,389.148,229.399,3323,2941,2453,2583,2530,2564,1499,2610,3575,3955,3832,2392,3112,2595,3230.05,1057.29,1270,1061.13,3765,2142.42,2059.46,498,692,786,484
OG0004206,218.235,209.551,160,71.1618,123,82.1567,158.169,147.877,249.256,137.248,167.82,155.514,87.8322,99.1268,111.633,177.693,165.623,218.626,340,261,NA,1313,119,145,10,30,29,22,2513,736,769,1094,691,674.121,281,387.079,546.249,3081,1337,2941,1201,3373.82,877.024,999.841,1068.44,646.613,270,454,385,200,176,266,861.324,633.372,924.186,521.273,1279,3970.67,2434.94,1408,1559.62,1906,1042.95,1403.82,2421.83,2513.76,287.586,320.168,400.435,360,5417.05,1082.72,1310.86,963.333,5134,947,946,252.198,347.151,202.686,182.681
OG0005610,874,1077,861,355,460,497,989,1025,865,442,277,294,228,239,197,728,942,865,1019,3918,236,237,3097,2021.66,118,555.88,639.678,284.49,8413.55,2149.72,3395.27,3285.91,1704.84,1331,792,990,864,1982,1141,2222,723,1035,675,319.354,248,267,314.681,403.03,1573.02,820.034,1090.03,3377.04,211,106,136,129,2424,749,515,287,2165,2427,1409,663,1134,629,728,613.374,823,4372,1491.71,825.817,679.036,680.768,1380.88,1053.5,736.917,443.881,1284.5,765.592,1007.95
OG0005773,959.032,756,744.993,289.735,462.027,527.581,850.955,715.871,780.949,948.431,911.784,802.464,565.059,618.395,442.483,1083.58,1166.57,1317.56,767,97,35,1362,481.482,444.716,44,109.798,168.64,50.3156,2004.04,430.013,424.465,477.068,843.36,1430,420,376,854,2567,1345,2855,1258,2192,637,937,817,540,1166.42,1594.21,2822.07,861.106,1076.39,1993.05,1483.16,1396.02,2011.89,830.701,1682,1264,882,652,1638,1838,782,911,2283,1911,1062,824,1088,1339,3669,1057,1539,1287,1914,864,676,442,549,581,369
OG0007081,12,0,0,0,0,0,0,0,0,161,155,187,25,41,34,523,443,500,407.412,288,78,323,68,41,12,9,13,9,1315,400,314,746,257,1135.13,204.427,382.544,387.087,562,408,562,317,2135.23,237.815,299.946,283.816,182.373,332.281,606.61,346.476,271.421,410.933,227.497,317,315,458,135,470,457,247,117,121,119,79,159,153,135,310,420,521,946,800,171,337,199,717,295,288,221,245,369,148
OG0000146,581,500,409,211,266,330,702,693,695,263,197,181,239,350,395,259,169,173,43,331,61,26,514,431,45,271,94,193,789.726,618.874,825.78,610.357,470.683,631,470,476,325,1680,1032,2557,1108,1511,762,486,410,454,4,1,6,132,145,409,681.479,540,851,574,1032,371,237,129,1750,1170,816,370,1128,889,212,236,309,902,1367.65,628.252,715.659,452.838,2030.51,484.582,534.83,578,1120,228,528
OG0002477,579.76,375.897,427.042,249.618,292,132,464.089,239.402,389.864,139,181,216,954,818,708,181,207,264,209,NA,51,NA,931,127,30,69,99,84,786,184,81,192,286,546,171,158,332,986,396,917,500,616,210,208,196,192,8,17,124,15,13,48,455,349,526,235,NA,2296.27,1056.78,89.9081,935.657,829.165,207.603,238.017,1045.7,1866.12,164,360,365,388,405,162,216,372,611.098,190.036,141.041,401,454,216,205
OG0000059,3574,2505,2351,1690,1722,1849,2334,1982,1948,678,588,620,592,747,630,1192,1217,1426,1627,2244,352,107,555,1513,62,285,421,171,1639.17,646.275,926.306,902.367,559.197,649,529.581,620.675,680.121,4155,1993,3273,1978,880.276,475.839,232.468,136.855,230.049,131.006,187.014,2340.26,297.018,447.069,5297.1,54,18,33,25,3771,874.841,343.352,228.362,1010.03,1543.7,809.283,234.587,145.439,104,1567,1580,1640,3111,1174,765,681,754,1212.55,1064.83,919.733,611.05,1396,866.599,658.803
OG0002731,4576.95,4174.63,5004.39,1636.12,2021.59,2297.59,3713.98,3476,2985.85,11723,13211,11875,9215,10838,9999,12296,13298,15223,15552,12191,1870,22027,5305,4147,1088,2419,3308,974,15862,3054,3592,5482,2431,7393,3256,4295,2447,19904,11139,23053,9795,20852.8,9293.09,5273.21,8087.33,2558.77,13181,16686,31629,9239,13242,15314,2308,2377,3656,1793,43222,32939.2,20030.6,13529,11285.6,12777.6,9490,12496,10528.9,11245.9,18582.4,18000.8,20002,16500,12315,4822.83,7968.62,2278.88,6555,6602,5017,4521.17,4813.14,3443.59,2811.08
OG0002657,4954,3874,3637,1839,2346,3126,4385,4672,5296,3104,3723,3322,2606,2740,2481,4048,4797,5252,3528,1336,NA,1652,5621,5059,430,1100,1654,529,6820.05,1575.86,1536.91,1566.15,3264.46,4041.81,1871.76,1949.37,3782.72,9408,4637,10431,4381,8335.41,3617.21,2598.35,1826.34,2635.91,1574.04,1886.05,6600.25,1242.62,1755.95,5292.59,2181,1984,2716,1445,3333,4681,3099,2087,3609,4088,2808,2103,2134,2228,2916.4,2763.16,3424,2786,6262,2652,3459,3712,6315,3778,2824,1961.05,2820.64,1987.2,1488.26
OG0004350,1714,2372,1551,661,822,891,1071,1003,1084,533.679,486.672,554.203,339.172,421.969,346.52,532.794,577.749,605.502,117,14,31,58,679,193,44,166,143,86,903.836,213.253,261.647,290.554,426.582,318.803,133.239,166.625,79.5594,2722,1214,2507,1143,1735.9,516.491,428.769,405.181,445.399,552.163,733.283,1583.53,189.205,207.177,263.433,8,7,7,5,820,948,508,216,231,355,200,252,173,196,273.404,302,312,658,1755.32,491.734,737.781,408.416,2622.39,386.758,353.408,270,294,126,103
OG0005877,673,640,576,323,356,349,594,615,544,293,149,201,221,296,397,366,411,419,848,545,262,1963,1860.49,829.125,18,113.064,207.083,43.1362,4379,1347,1658,1543,927,993,372,518,432,1356,609,972,382,2076.9,781,522,143,232,928.195,1534.72,4904.45,557.011,671.648,2331.65,289,138,266,162,9684,11925,5097,771,1845,3254,1432,832,430,224,758,891,1179,1201,2991.25,1199.7,1134.62,906,1360.49,492.787,334.382,1081.88,4134.87,2319.28,1651.51
OG0004378,608,739,539,690,372,366,659.677,583,536.647,630,535,615,153,217,205,1012,855,986,480,307,NA,NA,1089.01,949,71,220.133,236,223,2160,799,729,917,673,1296,456,443,557,4047,1532,2585,1316,3637.94,1102.79,1086,790,645,550,882,2657,524,608,1326,65,33,36,39,1792,585,545,175,378,478,191,241,841,591,861,958,1578,2133,2444.74,495.157,728.187,603.318,2309.9,621,392.767,472,1010,827,473
OG0006426,1518.01,1208.73,1173.64,593.3,808.795,691.459,1241.79,938.824,1482.97,1201,1185,1252,505,659,675,1013,979,1074,3000.26,203,34,5649,767.239,778.653,52.4265,266.246,321.334,169.13,3028,921,841,1498,840,1264,703,838,841,6780,3539,6729,3283,6232,1847,2135,790,928,219,314,1328,267,294,579,1277,1023,1542,604,1750,11881,4606.52,2699.74,4042.64,4531.88,2841.51,2453.07,2519.81,2663.7,1940.32,1819.16,1981.11,1019,2729.27,918.866,1367.04,1334,2594,716,579,1337,1839,926,688
