Orthogroup,Gafu_body1,Gafu_body2,Gafu_body3,Gafu_tentacle_c1,Gafu_tentacle_c2,Gafu_tentacle_c3,Gafu_tentacle_sw1,Gafu_tentacle_sw2,Gafu_tentacle_sw3,Acte_tentacles1,Acte_tentacles2,Acte_tentacles3,Acte_mesentries1,Acte_mesentries2,Acte_mesentries3,Acte_tentacles4,Acte_tentacles5,Acte_tentacles6,Ando_tentacles,Chfle_tentacles,Chfus_tentacles,Cyca_tentacles,Enqua_tentacles1,Enqua_tentacles2,Enqua_tentacles3,Enqua_tentacles4,Enqua_tentacles5,Enqua_tentacles6,Heau_tentacles1,Heau_tentacles2,Heau_tentacles3,Heau_tentacles4,Heau_tentacles5,Hecri_tentacles1,Hecri_tentacles2,Hecri_tentacles3,Hecri_tentacles4,Hehe_body,Hehe_nematosomes,Hehe_tentalce_exo1,Hehe_tentalce_exo2,Hemag_tentacles1,Hemag_tentacles2,Hemag_tentacles3,Hemag_tentacles4,Hemag_tentacles5,Hyva_body1,Hyva_body2,Hyva_body3,Hyva_tentacle_1,Hyva_tentacle_2,Hyva_tentacle_3,Mado_tentacle_i1,Mado_tentacle_i2,Mado_tentacle_o1,Mado_tentacle_o2,Neno_tentacles,Neva_mesentries1,Neva_mesentries2,Neva_mesentries3,Neva_nematosomes1,Neva_nematosomes2,Neva_nematosomes3,Neva_tentacles1,Neva_tentacles2,Neva_tentacles3,Oula_tentacles1,Oula_tentacles2,Oula_tentacles3,Sama_tentacles,Stgag_tentacles1,Stgag_tentacles2,Stgag_tentacles3,Stgag_tentacles4,Sthad_tentacles1,Sthad_tentacles2,Sthad_tentacles3,Stmer_tentacles1,Stmer_tentacles2,Stmer_tentacles3,Stmer_tentacles4
OG0005760,14.9828778,16.09344996,16.14183084,9.36717048,10.67446724,14.09050584,14.14455952,18.42266112,18.66339044,3.893380172,3.640648341,4.009942475,2.26044808,2.181489255,2.435598891,5.365342246,4.881139175,4.352528389,7.672237575,3.154209114,3.43084799,3.309931328,6.005201664,24.59321407,2.47274631,6.554513224,11.31808586,4.014248168,12.6204897,10.51022918,10.46114378,14.20829155,15.18407764,8.845053056,9.668646624,9.897564712,13.59313049,9.56208969,9.63422775,7.78463865,7.58293083,7.857167732,9.08398243,6.830437122,3.557039887,7.461057028,20.52645708,16.74305392,30.52804117,23.59147904,23.73758762,17.80583791,3.633584064,2.092495838,2.10368806,2.612918012,11.8569645,12.64345195,10.93240383,12.80289241,11.47277135,10.80994011,14.43608916,20.71810187,15.13584374,17.18782533,12.60834556,8.593228085,11.30886205,8.957729723,8.807138995,9.528671315,10.09149248,10.37021029,12.19440391,18.56665013,17.7569824,9.427737702,11.43801256,15.31548071,11.88640869
OG0004206,4.11042984,4.62928844,3.169968744,1.893313208,3.564811832,2.372016488,3.310743328,3.542274608,6.22075196,0.467701206,0.54236128,0.574474735,0.249007518,0.265168111,0.355359226,0.597488318,0.551208908,0.597782956,1.047163775,1.262154306,2.75415761,7.5190412,0.663342988,1.501419035,0.363749266,0.561874729,0.52872764,0.564271534,9.35171874,10.6712293,10.45389181,13.6338657,8.547098196,3.190567296,4.129727224,5.377157688,6.5885302,5.92140051,4.94222607,6.07346235,4.95722079,7.603861023,5.24745246,7.150818915,7.107708275,6.632730459,3.999841583,4.901434283,2.189342328,3.739306571,2.64192782,1.773092988,5.231252016,3.686700536,3.882843916,4.608015432,2.47735395,6.24145844,3.950182684,2.61866799,2.592888402,2.924952786,3.771306084,4.180613122,3.735530764,3.98360858,1.008238023,1.225482921,1.550491995,1.519317981,11.48641171,7.614566758,8.137385703,7.298669267,12.26612842,6.07468146,6.041109708,3.345452933,4.006103686,2.754286946,3.097922444
OG0005610,6.93050028,10.03040184,7.190274,3.98111026,5.61611252,6.04582712,8.72039024,10.3502262,9.0809372,1.195544715,0.7113692,0.862594957,0.513656302,0.507706305,0.497968403,1.944845947,2.488548997,1.878200459,2.60589895,13.40709178,2.82404772,3.133130572,8.824954488,10.79050952,2.197343926,5.285601776,5.939716888,3.758379576,16.97670811,16.92515261,24.8292954,22.0637923,11.3156731,5.753239632,10.65565508,12.59716993,9.50233088,6.18481737,6.84802134,7.45030926,4.84533711,3.758613828,6.540296175,3.652105188,2.638846653,4.422168995,4.123789514,3.852946573,7.935223501,13.56034743,14.4894373,19.98376007,1.321325656,0.636128136,0.58917546,1.176032975,4.108891275,3.214252314,2.291118238,1.420117346,9.800221746,10.21401405,13.54621813,5.25389942,4.79255798,2.72866909,3.33868197,3.070071615,4.16829738,12.28192331,5.773069635,10.49573226,7.593316593,9.498596654,6.204822156,12.60244782,8.762695404,6.776413129,17.08086252,11.99295559,19.7727978
OG0005773,18.54952924,17.14964428,15.156506,7.91570356,13.75062408,15.641733,18.29097112,17.60869536,20.01590752,5.019831146,4.563014599,4.596293889,2.480578925,2.566087623,2.185347109,5.644655115,6.029444256,5.588525459,2.03619795,0.68680362,2.26860974,3.943357352,4.813078704,8.1480924,2.863418645,3.7295272,5.547192,2.286329259,8.717218692,7.283766672,6.764569812,6.965883288,12.24066371,9.30878452,8.40328076,7.093809408,14.2648814,8.7673455,8.83530234,10.47746448,9.22754403,9.279787153,7.211047015,12.45003584,10.10196412,10.43569119,22.40876356,22.26203707,20.66178025,20.88737503,20.89717739,17.07276721,7.422567348,6.69806662,6.962555844,6.04355144,6.70676895,4.989696012,3.607380364,2.977280866,6.822887484,7.111386072,6.938730106,6.662032034,8.87134493,7.623240128,5.82418239,4.930535935,6.58925761,4.452350795,16.34286926,15.41123608,19.72216459,20.73036325,9.783189726,11.728111,9.117338832,7.722088092,8.366494563,10.43488319,8.331368551
OG0007081,4.75656176,0,0,0,0,0,0,0,0,0.876760913,0.797918671,1.101883651,0.112892466,0.175032744,0.172757246,2.802603749,2.355813383,2.181849604,3.017618075,2.99543692,2.831371025,2.797018092,2.040825892,2.15029397,2.346095892,0.97866771,1.336311575,1.17656989,9.068986836,10.71866796,8.029548072,17.43608412,6.008306304,12.82995582,6.911804088,12.12046259,11.43922931,3.1688361,4.42466793,3.40493085,3.83872041,9.065121525,2.699917946,3.996483124,3.519032786,3.534501898,11.80392688,15.51346123,4.568687594,12.19270714,14.60582983,3.48643931,3.443701372,3.274339824,3.44722922,2.146270676,3.320754525,5.202852844,2.949568342,1.440146186,1.44302156,1.344441865,1.886416605,3.135600006,1.731792468,1.564681677,1.601595606,2.367776398,2.97258247,6.736225439,4.341944019,3.021387391,5.224458505,3.925375899,4.366568106,4.75254294,4.606853574,4.758645525,4.613675798,8.19586966,4.162282567
OG0000146,7.33274232,7.4072586,5.4335294,3.764231012,5.16759664,6.3871676,9.849399,11.13161388,11.61712452,0.675942654,0.480824269,0.504662415,0.511729495,0.706532045,0.948803156,0.657571214,0.42422404,0.356961719,0.70210817,1.011067992,1.62010771,0.670042714,2.124400096,3.323563454,1.21459781,3.749622688,1.268210199,3.685010112,2.060272578,6.296580108,7.829216304,5.310501924,4.053789012,2.179250914,5.077964024,4.869757424,2.846379172,3.08228004,3.64165038,5.04082116,4.36579443,3.541697571,4.743184768,3.613083719,2.835237808,4.84392419,0.0671504,0.012219923,0.038539296,2.79722646,2.463544474,3.076874676,3.444049188,2.616346484,2.97407524,4.217318688,1.92235275,1.041982893,0.688367883,0.423641194,5.192040154,3.214652784,5.208539518,1.945787617,3.113814438,2.5202912,0.670623974,0.815145994,1.079571662,2.149551811,2.955667606,4.502147553,4.52644736,3.497517615,5.078095308,3.252280194,3.573151242,5.360373292,9.012909091,2.15888306,6.196294453
OG0002477,8.0598332,6.13302616,6.248184,4.9045408,6.24806244,2.813943816,7.17187792,4.23519092,7.17888788,0.426701969,0.52723934,0.719012839,2.437782182,1.971647434,2.030689558,0.54851053,0.620616365,0.650417227,1.004331845,0.676760112,1.405575952,1.533534935,4.640592432,1.178010764,0.976096464,1.153857802,1.612694311,1.92968319,2.614586083,2.385518772,0.982468032,2.135721588,3.15453815,2.006756035,1.963595665,1.717453354,3.096997534,3.57400593,2.76078267,3.57155487,3.89235537,1.588402021,1.439251886,1.698904735,1.489184151,2.254391671,0.199255638,0.306735318,1.166144153,0.471965522,0.3260676,0.526898077,2.586831812,1.901850435,2.068422002,1.943759778,0.8944695,12.95055905,6.192360818,0.577370948,5.558870674,4.596300982,2.589524454,2.44807578,5.818508724,10.65335634,0.594649842,1.425067761,1.461668013,1.05439759,1.101978404,1.456998909,1.712837918,3.62777626,2.034648799,1.692350681,1.249557997,4.772252359,4.69615599,2.630320896,3.107932758
OG0000059,39.15625888,32.22113932,27.11728064,26.17668988,29.04254792,31.06976352,28.42935876,27.64201464,28.2618896,1.487232393,1.225614779,1.475902596,1.082492635,1.287327725,1.291844806,2.584253452,2.607379379,2.511865697,4.13133715,4.379728976,3.849806195,1.747474256,2.79778385,14.19086844,2.040089755,4.820684288,6.936362384,3.972208128,5.07194688,7.795458216,10.43976788,9.328727772,5.729152884,2.82580181,7.175781984,7.953616888,7.535581704,11.66805486,10.76443074,9.87599358,11.92933305,2.779067179,4.001237974,2.317225429,1.269145543,3.309977881,1.632587771,1.700811094,11.23859174,4.670418708,5.653547969,29.84861664,0.927796696,0.295303237,0.393658149,0.63318909,7.536336975,6.477495458,2.649036965,1.894337901,7.864376464,11.26719675,13.03444416,3.117044896,1.064924484,0.780825727,3.67500861,4.04707238,4.24816041,7.855826709,4.254542577,9.117099417,7.144078372,9.838891281,3.9105741,9.189197094,7.896784956,6.551930339,13.0004907,9.498649088,8.971848821
OG0002731,128.401802,137.206798,147.529268,64.7724356,87.2241624,98.7403516,115.7360604,123.8866584,111.0738292,57.910204,61.74092584,63.5019726,37.77771734,41.98468593,46.10008348,59.81093899,64.14996489,60.27812087,59.92856425,72.45032424,33.415235,44.66319792,42.61429648,61.41927736,56.9564044,65.69689504,87.2043004,35.7567112,76.77716592,57.53885592,63.84617148,89.23440708,39.38137476,57.48903944,77.2594648,95.93785824,49.06719944,84.9753666,91.4651487,105.7519449,89.8090011,104.9297128,125.4088518,82.91444032,118.3564582,58.84634059,254.1724639,233.867529,232.4089711,224.9431656,258.0313368,131.652476,21.67216652,21.36755424,23.77389439,24.59792018,177.823935,209.6481808,132.6161745,97.39350306,75.61354164,80.02965782,132.675177,144.0837664,66.17846844,72.50482652,101.5254526,107.3059455,120.6821545,69.11155641,56.56826366,72.45754734,105.1986985,37.88077123,38.4821223,102.6178782,77.44006734,96.90163778,90.21390884,76.12604029,78.67237645
OG0002657,46.9861816,43.1461012,36.3225332,24.66314632,34.25572956,45.4784324,46.2422344,56.4172116,66.5087176,6.922664639,7.889459809,8.039958509,4.844553153,4.800781348,5.172385955,8.922410816,10.44925192,9.405787204,5.426556625,3.152227386,2.847150835,4.262803996,19.85308618,33.3988755,9.921309888,12.98660446,19.05394165,8.645804608,20.11649531,18.12213967,16.50073807,15.42595782,31.85389116,15.59862013,22.54492257,22.22052577,37.07855424,19.22238999,18.22233348,22.90046985,19.22412015,22.24864053,25.67035738,21.95742182,14.35685749,32.04166619,15.22225522,13.3331236,24.71122347,15.15911564,17.26156803,23.27903925,7.229504624,6.308587232,6.222130112,6.94973634,6.555872025,10.38835199,7.105512512,5.446178416,8.46566882,8.866619384,14.24442422,8.787753492,4.651165372,4.988067434,8.19752544,8.48148288,10.62985658,5.384827658,16.35046093,22.90277898,26.34332668,34.71855202,20.89440306,33.4372978,24.86553338,21.51162531,26.87703373,22.28766441,20.74772446
