Orthogroup	Stichodactyla_haddoni_longest_pep	Hydra_vulgaris_longest_pep
OG0000000	Shad_tr3487_c2_g1_i7.p1	Hyva_DN16508_c0_g2_i1.p1
OG0000000	Shad_tr27300_c0_g2_i4.p1, Shad_tr62331_c0_g1_i1.p1, Shad_tr22431_c0_g4_i1.p1	Hyva_DN22903_c0_g1_i2.p1
OG0000000	Shad_tr85677_c0_g1_i1.p1, Shad_tr4055_c2_g1_i6.p1, Shad_tr114826_c0_g1_i1.p1	Hyva_DN23722_c0_g4_i1.p1
OG0000000	Shad_tr71370_c0_g1_i1.p1	Hyva_DN23002_c1_g1_i2.p1
OG0000000	Shad_tr12981_c1_g2_i1.p1, Shad_tr90754_c0_g1_i1.p1, Shad_tr11061_c0_g3_i1.p1, Shad_tr98444_c0_g1_i1.p1, Shad_tr4468_c0_g1_i2.p1, Shad_tr2522_c0_g1_i28.p1, Shad_tr65545_c0_g1_i1.p1, Shad_tr20995_c0_g1_i10.p1, Shad_tr44491_c1_g1_i1.p1, Shad_tr31637_c0_g1_i2.p1, Shad_tr61_c2_g1_i1.p2, Shad_tr39952_c0_g2_i1.p1, Shad_tr15666_c2_g1_i15.p1, Shad_tr105198_c0_g1_i1.p1, Shad_tr73798_c0_g1_i1.p1, Shad_tr49221_c0_g2_i1.p1, Shad_tr98431_c0_g1_i1.p1	Hyva_DN24321_c0_g1_i1.p1
OG0000000	Shad_tr13726_c0_g1_i1.p1, Shad_tr11278_c0_g1_i4.p1, Shad_tr13465_c1_g1_i12.p1, Shad_tr3985_c0_g3_i1.p1	Hyva_DN12664_c0_g1_i2.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Hyva_DN5655_c0_g2_i1.p1, Hyva_DN29317_c0_g1_i4.p1, Hyva_DN12841_c0_g1_i4.p1
OG0000000	Shad_tr61450_c0_g1_i1.p1, Shad_tr47449_c0_g1_i2.p1, Shad_tr34516_c0_g1_i2.p1, Shad_tr15581_c0_g1_i1.p1, Shad_tr110354_c0_g1_i1.p1	Hyva_DN13220_c0_g1_i1.p1
OG0000000	Shad_tr14213_c2_g2_i2.p1, Shad_tr50515_c0_g1_i7.p1, Shad_tr9580_c0_g2_i1.p1, Shad_tr8879_c1_g1_i4.p1, Shad_tr14411_c0_g1_i2.p1, Shad_tr16568_c0_g2_i2.p1, Shad_tr28490_c1_g1_i4.p1	Hyva_DN5134_c0_g2_i1.p1, Hyva_DN12521_c0_g1_i1.p1, Hyva_DN17334_c0_g1_i1.p1, Hyva_DN10688_c0_g2_i1.p1, Hyva_DN15476_c0_g1_i1.p1, Hyva_DN21099_c0_g1_i1.p1
OG0000001	Shad_tr19219_c0_g1_i3.p1	Hyva_DN9024_c0_g1_i3.p1
OG0000002	Shad_tr111782_c0_g1_i1.p2, Shad_tr26509_c1_g3_i1.p1, Shad_tr8207_c0_g1_i3.p1, Shad_tr37739_c0_g1_i1.p1, Shad_tr86756_c0_g1_i1.p1, Shad_tr41945_c0_g1_i3.p1	Hyva_DN30864_c0_g2_i1.p1
OG0000002	Shad_tr88468_c0_g1_i1.p1, Shad_tr47726_c0_g2_i1.p1, Shad_tr12531_c1_g1_i2.p1, Shad_tr8741_c0_g1_i2.p1, Shad_tr95979_c0_g1_i1.p1, Shad_tr3107_c0_g1_i15.p1, Shad_tr50306_c0_g1_i2.p1, Shad_tr20877_c0_g1_i2.p1, Shad_tr12484_c0_g1_i21.p1, Shad_tr8304_c0_g1_i14.p1, Shad_tr12774_c0_g2_i2.p1, Shad_tr72127_c0_g1_i1.p1, Shad_tr39260_c0_g2_i1.p1, Shad_tr5174_c0_g1_i1.p1	Hyva_DN37241_c0_g1_i1.p1
OG0000002	Shad_tr34051_c0_g1_i3.p1	Hyva_DN8802_c0_g2_i5.p1
OG0000002	Shad_tr12274_c0_g2_i3.p1	Hyva_DN9758_c0_g1_i1.p1
