Orthogroup	Stichodactyla_haddoni_longest_pep	Nematostella_vectensis_longest_pep
OG0000000	Shad_tr2522_c0_g1_i28.p1, Shad_tr65545_c0_g1_i1.p1, Shad_tr20995_c0_g1_i10.p1, Shad_tr44491_c1_g1_i1.p1, Shad_tr31637_c0_g1_i2.p1	Neva_DN117_c15_g1_i1.p1
OG0000000	Shad_tr61_c2_g1_i1.p2, Shad_tr39952_c0_g2_i1.p1, Shad_tr15666_c2_g1_i15.p1, Shad_tr105198_c0_g1_i1.p1, Shad_tr73798_c0_g1_i1.p1, Shad_tr49221_c0_g2_i1.p1	Neva_DN6737_c0_g1_i3.p1, Neva_DN21008_c1_g1_i1.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Neva_DN80319_c0_g1_i6.p1
OG0000000	Shad_tr8439_c0_g1_i5.p1	Neva_DN7493_c0_g1_i15.p1, Neva_DN857_c1_g1_i10.p1
OG0000000	Shad_tr61450_c0_g1_i1.p1	Neva_DN568_c0_g2_i1.p1
OG0000000	Shad_tr110354_c0_g1_i1.p1	Neva_DN68068_c0_g1_i2.p1
OG0000000	Shad_tr9207_c0_g1_i10.p1	Neva_DN968_c0_g1_i8.p1
OG0000000	Shad_tr9580_c0_g2_i1.p1	Neva_DN5862_c0_g1_i3.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Neva_DN115462_c0_g1_i2.p1, Neva_DN23498_c0_g2_i1.p1
OG0000000	Shad_tr27031_c0_g2_i4.p1, Shad_tr7566_c1_g1_i2.p1, Shad_tr43628_c5_g1_i1.p1, Shad_tr8644_c2_g1_i1.p1, Shad_tr94573_c0_g1_i1.p1, Shad_tr24579_c6_g1_i1.p1	Neva_DN1279_c24_g1_i4.p2
OG0000001	Shad_tr19219_c0_g1_i3.p1	Neva_DN5544_c0_g1_i1.p1
OG0000001	Shad_tr36534_c0_g3_i1.p1	Neva_DN1509_c0_g1_i1.p1
OG0000001	Shad_tr20453_c0_g1_i2.p1	Neva_DN29026_c0_g1_i1.p1
OG0000001	Shad_tr9780_c0_g1_i12.p1, Shad_tr25874_c0_g1_i4.p1, Shad_tr38314_c0_g2_i3.p1, Shad_tr23770_c0_g1_i2.p1	Neva_DN2580_c0_g1_i2.p1
OG0000001	Shad_tr24857_c0_g1_i2.p1, Shad_tr5843_c2_g2_i1.p1	Neva_DN91741_c0_g1_i2.p2
OG0000001	Shad_tr37417_c0_g2_i1.p1	Neva_DN38837_c0_g3_i2.p2, Neva_DN14083_c0_g1_i2.p1
OG0000001	Shad_tr49780_c0_g1_i1.p1, Shad_tr44734_c4_g1_i1.p1	Neva_DN44396_c0_g1_i3.p1
OG0000001	Shad_tr67018_c0_g1_i1.p1	Neva_DN45166_c0_g1_i1.p1
OG0000001	Shad_tr80875_c0_g1_i1.p1	Neva_DN113051_c0_g1_i1.p1
OG0000001	Shad_tr42064_c0_g1_i1.p1	Neva_DN18792_c0_g2_i1.p1
OG0000001	Shad_tr8639_c1_g1_i2.p1	Neva_DN26293_c0_g1_i11.p1
OG0000001	Shad_tr50579_c0_g1_i1.p1, Shad_tr66985_c0_g1_i1.p1, Shad_tr59851_c0_g1_i1.p1	Neva_DN35888_c0_g3_i1.p1
OG0000001	Shad_tr12332_c0_g1_i14.p1, Shad_tr27881_c0_g1_i1.p1, Shad_tr3453_c0_g1_i10.p1	Neva_DN93515_c0_g1_i1.p1, Neva_DN24999_c0_g2_i1.p1, Neva_DN24999_c0_g1_i1.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Neva_DN5492_c0_g1_i8.p1, Neva_DN27012_c0_g1_i2.p1
OG0000001	Shad_tr15042_c0_g1_i1.p1	Neva_DN3187_c0_g1_i1.p1
OG0000001	Shad_tr34781_c0_g1_i1.p1	Neva_DN1827_c0_g1_i4.p1
OG0000001	Shad_tr86078_c0_g1_i1.p1, Shad_tr43722_c1_g1_i1.p1	Neva_DN152368_c0_g1_i1.p1
