Orthogroup	Stichodactyla_haddoni_longest_pep	Heteractic_macgnifica_longest_pep
OG0000000	Shad_tr27300_c0_g2_i4.p1, Shad_tr62331_c0_g1_i1.p1	Hmag_tr3017_c1_g1_i4.p1
OG0000000	Shad_tr22431_c0_g4_i1.p1	Hmag_tr7277_c0_g2_i10.p1
OG0000000	Shad_tr85677_c0_g1_i1.p1	Hmag_tr8148_c0_g1_i2.p1
OG0000000	Shad_tr4055_c2_g1_i6.p1	Hmag_tr92444_c0_g1_i1.p1
OG0000000	Shad_tr71370_c0_g1_i1.p1	Hmag_tr49574_c4_g1_i1.p1
OG0000000	Shad_tr12981_c1_g2_i1.p1	Hmag_tr68702_c0_g1_i1.p1
OG0000000	Shad_tr90754_c0_g1_i1.p1	Hmag_tr34190_c0_g2_i1.p1
OG0000000	Shad_tr2522_c0_g1_i28.p1, Shad_tr65545_c0_g1_i1.p1, Shad_tr20995_c0_g1_i10.p1, Shad_tr44491_c1_g1_i1.p1, Shad_tr31637_c0_g1_i2.p1	Hmag_tr79246_c0_g1_i3.p1
OG0000000	Shad_tr61_c2_g1_i1.p2	Hmag_tr40254_c0_g1_i1.p1
OG0000000	Shad_tr15666_c2_g1_i15.p1	Hmag_tr644_c4_g1_i2.p1
OG0000000	Shad_tr105198_c0_g1_i1.p1	Hmag_tr15930_c1_g1_i3.p2
OG0000000	Shad_tr73798_c0_g1_i1.p1	Hmag_tr84647_c0_g1_i1.p1
OG0000000	Shad_tr98431_c0_g1_i1.p1	Hmag_tr92113_c0_g1_i1.p1
OG0000000	Shad_tr11278_c0_g1_i4.p1	Hmag_tr15687_c2_g1_i1.p2
OG0000000	Shad_tr3985_c0_g3_i1.p1	Hmag_tr55940_c0_g1_i1.p1
OG0000000	Shad_tr10964_c1_g1_i1.p1	Hmag_tr8339_c0_g1_i5.p1
OG0000000	Shad_tr10964_c0_g2_i1.p1	Hmag_tr11081_c2_g1_i22.p1
OG0000000	Shad_tr13994_c0_g1_i3.p1	Hmag_tr9402_c3_g1_i1.p1, Hmag_tr9402_c0_g1_i3.p1
OG0000000	Shad_tr39176_c0_g1_i2.p1, Shad_tr27752_c0_g1_i2.p1	Hmag_tr8729_c0_g3_i1.p1
OG0000000	Shad_tr44773_c0_g1_i14.p2	Hmag_tr3189_c1_g1_i3.p1
OG0000000	Shad_tr8439_c0_g1_i5.p1	Hmag_tr5187_c0_g1_i7.p1
OG0000000	Shad_tr61450_c0_g1_i1.p1	Hmag_tr11078_c0_g1_i1.p1
