Orthogroup	Stichodactyla_haddoni_longest_pep	Sanderia_malayensis_longest_pep
OG0000000	Shad_tr50515_c0_g1_i7.p1	Sama_DN9198_c0_g1_i1.p1
OG0000000	Shad_tr9580_c0_g2_i1.p1, Shad_tr8879_c1_g1_i4.p1, Shad_tr14411_c0_g1_i2.p1, Shad_tr16568_c0_g2_i2.p1, Shad_tr28490_c1_g1_i4.p1	Sama_DN2681_c0_g2_i1.p1
OG0000001	Shad_tr19219_c0_g1_i3.p1	Sama_DN6630_c0_g2_i1.p1
OG0000002	Shad_tr44395_c0_g1_i1.p1	Sama_DN13027_c0_g1_i1.p1
OG0000002	Shad_tr12312_c1_g1_i1.p1, Shad_tr20250_c0_g1_i1.p1, Shad_tr5681_c0_g1_i7.p1, Shad_tr9740_c0_g2_i2.p1, Shad_tr16063_c0_g1_i12.p1, Shad_tr149_c1_g1_i1.p1	Sama_DN8307_c0_g1_i1.p1
OG0000003	Shad_tr22800_c0_g1_i2.p1	Sama_DN8402_c0_g1_i1.p1, Sama_DN9425_c0_g2_i1.p1
OG0000003	Shad_tr1184_c0_g1_i5.p1, Shad_tr8902_c1_g1_i4.p1, Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1, Shad_tr25371_c0_g1_i5.p1	Sama_DN2561_c0_g1_i5.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Sama_DN6076_c0_g1_i1.p1
OG0000003	Shad_tr17006_c0_g1_i19.p1, Shad_tr1233_c10_g1_i4.p1	Sama_DN5657_c0_g1_i1.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Sama_DN6294_c0_g2_i1.p1
OG0000005	Shad_tr7756_c0_g2_i4.p1, Shad_tr54580_c0_g1_i1.p1	Sama_DN3641_c0_g2_i1.p1
OG0000005	Shad_tr10187_c0_g2_i1.p1	Sama_DN4059_c0_g1_i2.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Sama_DN8565_c0_g1_i1.p1, Sama_DN10293_c0_g1_i1.p1, Sama_DN7171_c0_g2_i1.p1, Sama_DN9284_c0_g1_i1.p1
OG0000008	Shad_tr7219_c0_g1_i3.p1	Sama_DN8573_c0_g2_i1.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Sama_DN12003_c0_g1_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Sama_DN8413_c0_g2_i1.p1
OG0000009	Shad_tr18647_c0_g1_i1.p1	Sama_DN9082_c0_g1_i1.p1, Sama_DN1760_c0_g1_i2.p1
OG0000009	Shad_tr43110_c0_g1_i1.p1, Shad_tr35278_c0_g1_i1.p1, Shad_tr39336_c0_g1_i1.p1, Shad_tr58337_c0_g2_i1.p1, Shad_tr40574_c0_g1_i1.p1, Shad_tr81732_c0_g1_i1.p1, Shad_tr43110_c0_g3_i1.p1, Shad_tr80732_c0_g1_i1.p1, Shad_tr40574_c0_g2_i1.p1, Shad_tr58337_c0_g1_i1.p1, Shad_tr72157_c0_g1_i1.p1, Shad_tr39651_c0_g2_i1.p1, Shad_tr43110_c0_g2_i1.p1, Shad_tr39651_c0_g1_i1.p1, Shad_tr36816_c0_g1_i1.p1, Shad_tr4005_c0_g1_i11.p1, Shad_tr57812_c0_g1_i1.p1, Shad_tr75205_c0_g1_i1.p1, Shad_tr46736_c0_g1_i1.p1, Shad_tr19460_c1_g1_i4.p1, Shad_tr15412_c2_g1_i1.p1, Shad_tr27825_c0_g2_i2.p1, Shad_tr27825_c0_g1_i1.p1, Shad_tr42149_c0_g2_i2.p1, Shad_tr42259_c0_g1_i1.p1, Shad_tr42149_c3_g1_i1.p1, Shad_tr42149_c0_g1_i9.p1	Sama_DN5667_c0_g1_i1.p1
OG0000010	Shad_tr30253_c0_g1_i1.p1, Shad_tr50345_c0_g1_i2.p1	Sama_DN2535_c0_g1_i1.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Sama_DN11764_c0_g1_i1.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Sama_DN5021_c0_g1_i1.p1
