Orthogroup	Stichodactyla_haddoni_longest_pep	Heteractis_crispa_longest_pep
OG0000000	Shad_tr3487_c2_g1_i7.p1	Hcri_tr876_c0_g1_i13.p1
OG0000000	Shad_tr71370_c0_g1_i1.p1	Hcri_tr3982_c1_g2_i2.p1
OG0000000	Shad_tr12981_c1_g2_i1.p1	Hcri_tr37604_c0_g2_i1.p1, Hcri_tr35412_c3_g1_i11.p2
OG0000000	Shad_tr11061_c0_g3_i1.p1	Hcri_tr56209_c0_g1_i1.p1
OG0000000	Shad_tr98444_c0_g1_i1.p1	Hcri_tr92134_c0_g1_i1.p1
OG0000000	Shad_tr61_c2_g1_i1.p2	Hcri_tr34421_c0_g1_i1.p1
OG0000000	Shad_tr39952_c0_g2_i1.p1	Hcri_tr19199_c0_g3_i1.p1
OG0000000	Shad_tr105198_c0_g1_i1.p1	Hcri_tr26258_c0_g1_i1.p2
OG0000000	Shad_tr98431_c0_g1_i1.p1	Hcri_tr43447_c0_g2_i1.p1, Hcri_tr45174_c0_g1_i1.p1, Hcri_tr3982_c1_g1_i1.p1
OG0000000	Shad_tr11278_c0_g1_i4.p1	Hcri_tr70888_c0_g1_i1.p1
OG0000000	Shad_tr13465_c1_g1_i12.p1	Hcri_tr64806_c0_g1_i1.p1
OG0000000	Shad_tr3985_c0_g3_i1.p1	Hcri_tr65211_c0_g1_i1.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Hcri_tr31157_c0_g2_i1.p1, Hcri_tr36976_c1_g1_i1.p1, Hcri_tr36976_c1_g2_i1.p1, Hcri_tr42214_c0_g1_i3.p1
OG0000000	Shad_tr29962_c0_g1_i2.p1	Hcri_tr87058_c0_g1_i1.p1, Hcri_tr7048_c1_g1_i1.p1
OG0000000	Shad_tr39176_c0_g1_i2.p1, Shad_tr27752_c0_g1_i2.p1, Shad_tr44773_c0_g1_i14.p2	Hcri_tr39241_c1_g1_i1.p1
OG0000000	Shad_tr34516_c0_g1_i2.p1	Hcri_tr43189_c0_g1_i1.p1
OG0000000	Shad_tr9207_c0_g1_i10.p1	Hcri_tr61355_c0_g1_i1.p1
OG0000000	Shad_tr3849_c0_g1_i12.p1	Hcri_tr83538_c0_g1_i1.p1
OG0000000	Shad_tr19238_c1_g1_i4.p1	Hcri_tr57089_c0_g1_i1.p1
OG0000000	Shad_tr29519_c0_g2_i1.p1	Hcri_tr80166_c0_g1_i1.p1
OG0000000	Shad_tr9580_c0_g2_i1.p1	Hcri_tr44216_c0_g1_i3.p1
OG0000000	Shad_tr8879_c1_g1_i4.p1	Hcri_tr5548_c0_g1_i1.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Hcri_tr89488_c0_g1_i3.p1, Hcri_tr3161_c2_g1_i1.p1, Hcri_tr18122_c0_g1_i4.p1, Hcri_tr13190_c0_g1_i4.p1
OG0000000	Shad_tr27031_c0_g2_i4.p1	Hcri_tr11779_c0_g1_i1.p1
OG0000000	Shad_tr43628_c5_g1_i1.p1	Hcri_tr95516_c0_g1_i1.p1, Hcri_tr19199_c0_g1_i1.p1
OG0000000	Shad_tr24579_c6_g1_i1.p1	Hcri_tr5672_c2_g1_i1.p1
OG0000001	Shad_tr35115_c2_g1_i1.p1	Hcri_tr73230_c0_g1_i1.p1
OG0000001	Shad_tr85081_c0_g1_i1.p1	Hcri_tr47340_c0_g1_i1.p1
OG0000001	Shad_tr20453_c0_g1_i2.p1	Hcri_tr46759_c0_g2_i2.p1
OG0000001	Shad_tr9780_c0_g1_i12.p1	Hcri_tr84793_c0_g1_i1.p1
OG0000001	Shad_tr38314_c0_g2_i3.p1	Hcri_tr83768_c0_g1_i1.p1
OG0000001	Shad_tr23770_c0_g1_i2.p1	Hcri_tr66136_c0_g1_i1.p1
OG0000001	Shad_tr24857_c0_g1_i2.p1	Hcri_tr88751_c0_g1_i1.p1
OG0000001	Shad_tr5843_c2_g2_i1.p1	Hcri_tr36491_c4_g2_i1.p1
OG0000001	Shad_tr37417_c0_g2_i1.p1	Hcri_tr45034_c0_g1_i1.p1, Hcri_tr31849_c0_g1_i1.p1, Hcri_tr69032_c0_g1_i1.p1, Hcri_tr82062_c0_g1_i1.p1, Hcri_tr58640_c0_g1_i1.p1
OG0000001	Shad_tr76627_c0_g1_i1.p1	Hcri_tr81717_c0_g1_i1.p1, Hcri_tr64060_c0_g1_i1.p1
OG0000001	Shad_tr84822_c0_g1_i1.p1	Hcri_tr87517_c0_g1_i1.p1
OG0000001	Shad_tr64127_c0_g1_i1.p1	Hcri_tr65202_c0_g1_i1.p1
OG0000001	Shad_tr49780_c0_g1_i1.p1	Hcri_tr46556_c0_g1_i1.p1
OG0000001	Shad_tr44734_c4_g1_i1.p1	Hcri_tr53244_c0_g1_i1.p1
OG0000001	Shad_tr67018_c0_g1_i1.p1	Hcri_tr83914_c0_g1_i1.p1, Hcri_tr36491_c4_g1_i1.p1
OG0000001	Shad_tr80875_c0_g1_i1.p1, Shad_tr14305_c0_g1_i11.p1	Hcri_tr55843_c0_g1_i1.p1
OG0000001	Shad_tr62708_c0_g1_i1.p1	Hcri_tr14375_c0_g1_i1.p1
OG0000001	Shad_tr42064_c0_g1_i1.p1	Hcri_tr35369_c0_g1_i1.p1
OG0000001	Shad_tr34383_c0_g1_i3.p1, Shad_tr34383_c0_g2_i1.p1	Hcri_tr90355_c0_g1_i1.p1
OG0000001	Shad_tr8639_c1_g1_i2.p1	Hcri_tr35142_c0_g1_i1.p1
OG0000001	Shad_tr107275_c0_g1_i1.p1	Hcri_tr80358_c0_g1_i1.p1
OG0000001	Shad_tr91148_c0_g1_i1.p1, Shad_tr93625_c0_g1_i1.p1	Hcri_tr39709_c0_g1_i1.p1
OG0000001	Shad_tr50579_c0_g1_i1.p1	Hcri_tr93798_c0_g1_i1.p1
OG0000001	Shad_tr66985_c0_g1_i1.p1	Hcri_tr77208_c0_g1_i1.p1
OG0000001	Shad_tr16866_c2_g1_i16.p1	Hcri_tr41482_c0_g1_i1.p1, Hcri_tr83674_c0_g1_i1.p1
OG0000001	Shad_tr3453_c0_g1_i10.p1	Hcri_tr90669_c0_g1_i1.p1
OG0000001	Shad_tr40605_c0_g2_i1.p1	Hcri_tr86648_c0_g1_i1.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Hcri_tr20712_c0_g1_i1.p1, Hcri_tr53856_c0_g1_i1.p1
OG0000001	Shad_tr54231_c0_g1_i1.p1	Hcri_tr4305_c2_g1_i2.p1
OG0000001	Shad_tr4472_c1_g1_i3.p1	Hcri_tr14375_c0_g3_i1.p1
OG0000001	Shad_tr42064_c0_g2_i1.p1, Shad_tr727_c0_g1_i1.p1, Shad_tr62603_c0_g1_i1.p1, Shad_tr108137_c0_g1_i1.p1	Hcri_tr63754_c0_g1_i1.p1
OG0000001	Shad_tr16900_c0_g2_i2.p1, Shad_tr45810_c0_g1_i1.p1	Hcri_tr38139_c0_g1_i1.p1
OG0000001	Shad_tr6848_c1_g1_i1.p1, Shad_tr89240_c0_g1_i1.p1	Hcri_tr21537_c0_g1_i1.p1
OG0000001	Shad_tr24245_c0_g1_i1.p1	Hcri_tr58603_c0_g1_i1.p1
OG0000001	Shad_tr86078_c0_g1_i1.p1, Shad_tr43722_c1_g1_i1.p1	Hcri_tr79037_c0_g1_i1.p1
OG0000001	Shad_tr4501_c6_g1_i1.p1	Hcri_tr44398_c0_g1_i1.p1, Hcri_tr92072_c0_g1_i1.p1
OG0000001	Shad_tr37216_c0_g1_i1.p2	Hcri_tr19374_c0_g1_i1.p1
OG0000001	Shad_tr30555_c0_g1_i1.p1, Shad_tr4709_c0_g1_i24.p1	Hcri_tr46369_c0_g1_i1.p1
OG0000001	Shad_tr35615_c0_g1_i2.p1	Hcri_tr38841_c0_g1_i1.p1
OG0000001	Shad_tr37417_c0_g1_i1.p1	Hcri_tr23132_c0_g1_i2.p1
OG0000001	Shad_tr9232_c0_g1_i4.p1	Hcri_tr17372_c0_g1_i9.p1
OG0000001	Shad_tr13620_c0_g1_i13.p1	Hcri_tr75661_c0_g1_i1.p1
OG0000001	Shad_tr91562_c0_g1_i1.p1	Hcri_tr46495_c0_g1_i1.p1
OG0000001	Shad_tr93128_c0_g1_i1.p2	Hcri_tr61297_c0_g1_i1.p1
OG0000001	Shad_tr87163_c0_g1_i1.p1	Hcri_tr54894_c0_g1_i1.p1, Hcri_tr81612_c0_g1_i1.p1
OG0000002	Shad_tr111782_c0_g1_i1.p2	Hcri_tr73009_c0_g1_i1.p1, Hcri_tr25748_c0_g1_i1.p2, Hcri_tr84679_c0_g1_i1.p1
OG0000002	Shad_tr86756_c0_g1_i1.p1, Shad_tr41945_c0_g1_i3.p1	Hcri_tr60046_c0_g1_i1.p1
OG0000002	Shad_tr33413_c0_g1_i1.p1	Hcri_tr28326_c0_g1_i1.p1
OG0000002	Shad_tr11002_c0_g1_i1.p1	Hcri_tr14276_c0_g1_i8.p1
OG0000002	Shad_tr47644_c0_g1_i1.p2	Hcri_tr65206_c0_g1_i1.p1
OG0000002	Shad_tr12224_c0_g1_i5.p1, Shad_tr17959_c1_g1_i7.p1	Hcri_tr25407_c0_g2_i1.p1
OG0000002	Shad_tr4496_c1_g1_i1.p1	Hcri_tr21423_c0_g1_i3.p1
OG0000002	Shad_tr16090_c0_g2_i1.p1	Hcri_tr31366_c0_g1_i2.p1
OG0000002	Shad_tr88468_c0_g1_i1.p1	Hcri_tr43654_c0_g2_i1.p1
OG0000002	Shad_tr12531_c1_g1_i2.p1	Hcri_tr28326_c0_g2_i1.p1, Hcri_tr18237_c1_g1_i4.p1
OG0000002	Shad_tr50306_c0_g1_i2.p1	Hcri_tr17341_c0_g1_i1.p1
OG0000002	Shad_tr8304_c0_g1_i14.p1	Hcri_tr42440_c0_g1_i2.p1
OG0000002	Shad_tr72127_c0_g1_i1.p1	Hcri_tr19614_c0_g1_i3.p1
OG0000002	Shad_tr100500_c0_g1_i3.p1	Hcri_tr56685_c0_g1_i2.p1
OG0000002	Shad_tr19797_c0_g1_i13.p1	Hcri_tr27831_c3_g1_i2.p1, Hcri_tr86610_c0_g1_i1.p1
OG0000002	Shad_tr25036_c0_g1_i5.p1	Hcri_tr37651_c0_g1_i2.p1
OG0000002	Shad_tr23414_c2_g2_i2.p1, Shad_tr23414_c2_g1_i2.p1	Hcri_tr76215_c0_g1_i1.p1
OG0000002	Shad_tr3482_c0_g2_i5.p1	Hcri_tr39573_c0_g1_i1.p1
OG0000002	Shad_tr7064_c0_g1_i4.p1	Hcri_tr33242_c0_g1_i1.p1
OG0000002	Shad_tr30264_c1_g2_i6.p1	Hcri_tr18311_c1_g1_i1.p1
OG0000002	Shad_tr34248_c0_g2_i1.p1	Hcri_tr31559_c0_g1_i1.p1
OG0000002	Shad_tr47726_c0_g1_i1.p1	Hcri_tr43859_c0_g1_i1.p1
OG0000002	Shad_tr15359_c0_g2_i1.p1	Hcri_tr15832_c0_g1_i1.p1
OG0000002	Shad_tr51628_c1_g1_i1.p1, Shad_tr79701_c0_g1_i1.p1	Hcri_tr25407_c0_g1_i1.p1
OG0000002	Shad_tr34416_c2_g1_i1.p1	Hcri_tr19752_c0_g1_i1.p1
OG0000002	Shad_tr24968_c2_g1_i4.p1	Hcri_tr30565_c0_g1_i1.p1
OG0000002	Shad_tr34474_c1_g1_i2.p1	Hcri_tr43461_c0_g1_i1.p1
OG0000002	Shad_tr32952_c3_g1_i6.p1	Hcri_tr19217_c0_g1_i2.p1
OG0000002	Shad_tr20124_c0_g1_i3.p1	Hcri_tr9056_c0_g1_i10.p1
OG0000002	Shad_tr48112_c0_g1_i3.p1	Hcri_tr37327_c0_g1_i1.p1
OG0000002	Shad_tr44395_c0_g1_i1.p1	Hcri_tr14607_c0_g1_i1.p1
OG0000002	Shad_tr20250_c0_g1_i1.p1, Shad_tr5681_c0_g1_i7.p1	Hcri_tr18657_c0_g1_i2.p1, Hcri_tr9833_c0_g1_i5.p1
OG0000002	Shad_tr9740_c0_g2_i2.p1	Hcri_tr22844_c0_g1_i2.p1
OG0000003	Shad_tr8436_c2_g1_i2.p1	Hcri_tr7902_c0_g1_i7.p1
OG0000003	Shad_tr16415_c2_g1_i2.p1	Hcri_tr21063_c0_g2_i8.p1
OG0000003	Shad_tr1184_c0_g1_i5.p1, Shad_tr8902_c1_g1_i4.p1	Hcri_tr7247_c0_g1_i32.p1
OG0000003	Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1	Hcri_tr5009_c0_g1_i7.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Hcri_tr8604_c1_g1_i2.p1
OG0000003	Shad_tr19223_c0_g1_i7.p1	Hcri_tr39671_c0_g1_i2.p1
OG0000003	Shad_tr59766_c0_g1_i3.p1	Hcri_tr10493_c0_g1_i2.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Hcri_tr60624_c0_g1_i1.p1
OG0000003	Shad_tr49878_c0_g1_i1.p1	Hcri_tr30447_c0_g1_i2.p1
OG0000003	Shad_tr9802_c0_g1_i7.p1	Hcri_tr18632_c1_g1_i4.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Hcri_tr44572_c0_g1_i1.p1, Hcri_tr84547_c0_g1_i1.p1
OG0000003	Shad_tr10811_c0_g1_i12.p1	Hcri_tr23277_c0_g1_i1.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Hcri_tr31796_c0_g1_i1.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1	Hcri_tr23471_c0_g1_i4.p1
OG0000003	Shad_tr40464_c0_g1_i2.p1	Hcri_tr72979_c0_g1_i2.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Hcri_tr21145_c1_g1_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Hcri_tr13567_c1_g1_i1.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Hcri_tr6429_c2_g1_i6.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Hcri_tr26608_c0_g1_i1.p1
OG0000004	Shad_tr97815_c0_g1_i1.p1	Hcri_tr95336_c0_g1_i1.p1
OG0000004	Shad_tr35099_c0_g2_i1.p1, Shad_tr37267_c0_g1_i1.p1	Hcri_tr90813_c0_g1_i1.p1
OG0000004	Shad_tr103801_c0_g1_i1.p1, Shad_tr58881_c0_g1_i1.p1	Hcri_tr82848_c0_g1_i1.p1
OG0000004	Shad_tr65099_c0_g1_i1.p1	Hcri_tr88843_c0_g1_i1.p1
OG0000004	Shad_tr29184_c0_g1_i4.p1	Hcri_tr26528_c0_g1_i11.p1
OG0000004	Shad_tr13145_c0_g1_i5.p1	Hcri_tr25724_c3_g1_i1.p1
