Orthogroup	Stichodactyla_haddoni_longest_pep	Stichidactyla_gigantea_longest_pep
OG0000000	Shad_tr3487_c2_g1_i7.p1	Sgig_tr96821_c0_g1_i1.p1
OG0000000	Shad_tr4055_c2_g1_i6.p1	Sgig_tr36910_c1_g1_i1.p1
OG0000000	Shad_tr71370_c0_g1_i1.p1	Sgig_tr57236_c0_g1_i1.p1
OG0000000	Shad_tr65545_c0_g1_i1.p1, Shad_tr20995_c0_g1_i10.p1	Sgig_tr25442_c0_g1_i1.p1
OG0000000	Shad_tr44491_c1_g1_i1.p1	Sgig_tr14207_c1_g2_i6.p1, Sgig_tr71016_c0_g1_i1.p1
OG0000000	Shad_tr15666_c2_g1_i15.p1	Sgig_tr39408_c0_g1_i3.p1
OG0000000	Shad_tr105198_c0_g1_i1.p1	Sgig_tr42454_c0_g1_i1.p1
OG0000000	Shad_tr98431_c0_g1_i1.p1	Sgig_tr25148_c0_g1_i3.p1
OG0000000	Shad_tr11278_c0_g1_i4.p1	Sgig_tr7537_c0_g1_i13.p1, Sgig_tr68828_c0_g1_i1.p1
OG0000000	Shad_tr3985_c0_g3_i1.p1	Sgig_tr87436_c0_g1_i1.p1
OG0000000	Shad_tr10964_c1_g1_i1.p1	Sgig_tr10699_c0_g1_i1.p1, Sgig_tr23307_c0_g2_i7.p1
OG0000000	Shad_tr13994_c0_g1_i3.p1	Sgig_tr5703_c1_g1_i8.p1
OG0000000	Shad_tr39176_c0_g1_i2.p1, Shad_tr27752_c0_g1_i2.p1	Sgig_tr2001_c0_g2_i4.p1
OG0000000	Shad_tr44773_c0_g1_i14.p2	Sgig_tr587_c0_g1_i11.p1
OG0000000	Shad_tr8439_c0_g1_i5.p1	Sgig_tr3478_c0_g1_i9.p1
OG0000000	Shad_tr47449_c0_g1_i2.p1	Sgig_tr30645_c1_g1_i7.p1
OG0000000	Shad_tr34516_c0_g1_i2.p1	Sgig_tr27050_c0_g3_i1.p1
OG0000000	Shad_tr110354_c0_g1_i1.p1	Sgig_tr93055_c0_g1_i1.p1
OG0000000	Shad_tr9207_c0_g1_i10.p1	Sgig_tr12232_c1_g1_i7.p1, Sgig_tr110_c0_g1_i10.p1
OG0000000	Shad_tr158_c5_g1_i2.p1	Sgig_tr6433_c1_g1_i2.p1, Sgig_tr10065_c2_g1_i5.p1
OG0000000	Shad_tr11002_c1_g3_i1.p1, Shad_tr15362_c3_g1_i1.p1	Sgig_tr45094_c0_g1_i1.p1, Sgig_tr11057_c1_g1_i1.p1
OG0000000	Shad_tr98077_c0_g1_i1.p1	Sgig_tr45372_c1_g1_i2.p2, Sgig_tr3908_c0_g1_i12.p1
OG0000000	Shad_tr11061_c0_g1_i2.p1	Sgig_tr5807_c1_g1_i3.p1
OG0000000	Shad_tr74833_c0_g1_i1.p1, Shad_tr80135_c0_g1_i1.p1	Sgig_tr95336_c0_g1_i1.p1
