Orthogroup	Stichodactyla_haddoni_longest_pep	Oulactis_longest_pep
OG0000000	Shad_tr12981_c1_g2_i1.p1	Oula_DN10262_c0_g2_i1.p1
OG0000000	Shad_tr2522_c0_g1_i28.p1, Shad_tr65545_c0_g1_i1.p1, Shad_tr20995_c0_g1_i10.p1, Shad_tr44491_c1_g1_i1.p1, Shad_tr31637_c0_g1_i2.p1	Oula_DN4307_c0_g1_i1.p1
OG0000000	Shad_tr39952_c0_g2_i1.p1	Oula_DN3457_c0_g8_i1.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Oula_DN23298_c0_g4_i1.p1
OG0000000	Shad_tr44773_c0_g1_i14.p2	Oula_DN8574_c0_g1_i3.p1, Oula_DN12749_c0_g1_i10.p1
OG0000000	Shad_tr61450_c0_g1_i1.p1	Oula_DN10262_c0_g1_i4.p1, Oula_DN40570_c0_g1_i2.p1
OG0000000	Shad_tr15581_c0_g1_i1.p1	Oula_DN28551_c0_g2_i6.p1
OG0000000	Shad_tr9207_c0_g1_i10.p1	Oula_DN427_c0_g1_i4.p1
OG0000000	Shad_tr11002_c1_g3_i1.p1, Shad_tr15362_c3_g1_i1.p1	Oula_DN9589_c0_g1_i5.p1
OG0000000	Shad_tr29519_c0_g2_i1.p1	Oula_DN31523_c0_g1_i1.p1
OG0000000	Shad_tr11061_c0_g1_i2.p1	Oula_DN32722_c0_g1_i2.p1
OG0000000	Shad_tr74833_c0_g1_i1.p1, Shad_tr80135_c0_g1_i1.p1	Oula_DN36808_c0_g2_i1.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Oula_DN10243_c0_g1_i1.p1, Oula_DN24341_c0_g1_i3.p1
OG0000000	Shad_tr27031_c0_g2_i4.p1	Oula_DN16642_c0_g1_i2.p1
OG0000001	Shad_tr19219_c0_g1_i3.p1	Oula_DN17855_c0_g1_i1.p1
OG0000001	Shad_tr20453_c0_g2_i1.p1	Oula_DN44478_c0_g1_i2.p1
OG0000001	Shad_tr105103_c0_g1_i1.p1	Oula_DN15953_c0_g4_i1.p1
OG0000001	Shad_tr80875_c0_g1_i1.p1	Oula_DN14989_c0_g1_i1.p1
OG0000001	Shad_tr62708_c0_g1_i1.p1	Oula_DN28196_c0_g3_i1.p1
OG0000001	Shad_tr42064_c0_g1_i1.p1	Oula_DN13329_c0_g1_i9.p1, Oula_DN36609_c0_g2_i1.p1
OG0000001	Shad_tr34383_c0_g1_i3.p1, Shad_tr34383_c0_g2_i1.p1	Oula_DN47443_c0_g1_i1.p1
OG0000001	Shad_tr59851_c0_g1_i1.p1	Oula_DN47471_c0_g1_i1.p1
OG0000001	Shad_tr16866_c2_g1_i16.p1	Oula_DN32251_c0_g2_i1.p1
OG0000001	Shad_tr40605_c0_g2_i1.p1	Oula_DN32420_c0_g2_i1.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Oula_DN34633_c0_g1_i1.p1, Oula_DN46890_c0_g1_i1.p1, Oula_DN36873_c0_g1_i1.p1
OG0000001	Shad_tr54231_c0_g1_i1.p1	Oula_DN1103_c0_g2_i1.p1
OG0000001	Shad_tr4472_c1_g1_i3.p1	Oula_DN22283_c0_g1_i1.p1
OG0000001	Shad_tr42064_c0_g2_i1.p1, Shad_tr727_c0_g1_i1.p1	Oula_DN34235_c0_g1_i1.p1
OG0000001	Shad_tr17040_c1_g1_i3.p1	Oula_DN36609_c0_g1_i1.p1
OG0000001	Shad_tr37216_c0_g1_i1.p2	Oula_DN46282_c0_g1_i1.p1
OG0000001	Shad_tr35615_c0_g1_i2.p1	Oula_DN19732_c0_g1_i1.p1
OG0000001	Shad_tr39187_c1_g2_i1.p1	Oula_DN37627_c0_g1_i1.p1
OG0000001	Shad_tr47262_c0_g1_i2.p1	Oula_DN36040_c0_g1_i1.p1
OG0000001	Shad_tr71816_c0_g1_i1.p1	Oula_DN48968_c0_g1_i1.p1
OG0000001	Shad_tr37417_c0_g1_i1.p1	Oula_DN27919_c0_g1_i3.p1
OG0000001	Shad_tr93128_c0_g1_i1.p2	Oula_DN27919_c1_g1_i1.p1
OG0000001	Shad_tr87163_c0_g1_i1.p1	Oula_DN14989_c0_g2_i1.p1
OG0000001	Shad_tr115137_c0_g1_i1.p1	Oula_DN31316_c0_g1_i1.p1
OG0000002	Shad_tr8207_c0_g1_i3.p1	Oula_DN24520_c0_g1_i3.p1
OG0000002	Shad_tr12224_c1_g1_i3.p1	Oula_DN47255_c0_g1_i1.p1
OG0000002	Shad_tr14609_c0_g4_i1.p1, Shad_tr23414_c0_g1_i5.p1, Shad_tr44303_c0_g1_i1.p1, Shad_tr9985_c1_g1_i1.p1, Shad_tr5174_c1_g1_i1.p1, Shad_tr37065_c1_g1_i10.p1, Shad_tr33413_c0_g1_i1.p1, Shad_tr11002_c0_g1_i1.p1	Oula_DN41285_c0_g1_i1.p2
OG0000002	Shad_tr47644_c0_g1_i1.p2	Oula_DN34387_c0_g1_i1.p1, Oula_DN40686_c0_g1_i1.p1, Oula_DN47281_c0_g1_i1.p1
OG0000002	Shad_tr3107_c0_g1_i15.p1	Oula_DN4654_c0_g1_i2.p1
OG0000002	Shad_tr50306_c0_g1_i2.p1, Shad_tr20877_c0_g1_i2.p1	Oula_DN7229_c0_g1_i8.p1
OG0000002	Shad_tr19797_c0_g1_i13.p1	Oula_DN14972_c0_g2_i1.p1
