Orthogroup	Stichodactyla_haddoni_longest_pep	Galaxea_fascicularis_longest_pep
OG0000000	Shad_tr3487_c2_g1_i7.p1	Gafa_DN6871_c0_g2_i1.p1
OG0000000	Shad_tr85677_c0_g1_i1.p1, Shad_tr4055_c2_g1_i6.p1	Gafa_DN107625_c0_g1_i1.p1
OG0000000	Shad_tr4468_c0_g1_i2.p1	Gafa_DN8662_c0_g3_i1.p1
OG0000000	Shad_tr61_c2_g1_i1.p2	Gafa_DN6906_c0_g2_i2.p2
OG0000000	Shad_tr39952_c0_g2_i1.p1	Gafa_DN107223_c0_g1_i2.p1, Gafa_DN9908_c0_g3_i1.p1
OG0000000	Shad_tr105198_c0_g1_i1.p1, Shad_tr73798_c0_g1_i1.p1	Gafa_DN31942_c0_g1_i3.p1
OG0000000	Shad_tr98431_c0_g1_i1.p1	Gafa_DN34387_c0_g3_i1.p1
OG0000000	Shad_tr11278_c0_g1_i4.p1	Gafa_DN83448_c1_g1_i1.p1
OG0000000	Shad_tr13465_c1_g1_i12.p1	Gafa_DN33027_c0_g1_i2.p1
OG0000000	Shad_tr3985_c0_g3_i1.p1	Gafa_DN23095_c0_g1_i6.p1, Gafa_DN56448_c0_g1_i1.p2
OG0000000	Shad_tr73236_c0_g1_i1.p1	Gafa_DN25937_c0_g1_i4.p1, Gafa_DN3471_c1_g1_i6.p1
OG0000000	Shad_tr61450_c0_g1_i1.p1	Gafa_DN19648_c0_g1_i10.p1, Gafa_DN22446_c0_g1_i2.p1, Gafa_DN38869_c0_g1_i3.p1
OG0000000	Shad_tr15581_c0_g1_i1.p1	Gafa_DN62862_c0_g1_i4.p1
OG0000000	Shad_tr9207_c0_g1_i10.p1	Gafa_DN5227_c0_g1_i8.p1, Gafa_DN6056_c0_g1_i1.p1, Gafa_DN36129_c0_g1_i1.p1, Gafa_DN2933_c0_g3_i1.p1, Gafa_DN51708_c0_g2_i3.p1, Gafa_DN10557_c0_g1_i11.p1, Gafa_DN5803_c0_g1_i10.p1, Gafa_DN22520_c0_g1_i3.p1
OG0000000	Shad_tr11002_c1_g3_i1.p1, Shad_tr15362_c3_g1_i1.p1, Shad_tr98077_c0_g1_i1.p1	Gafa_DN11450_c0_g2_i5.p1, Gafa_DN3403_c0_g1_i1.p3, Gafa_DN5842_c0_g1_i3.p1
OG0000000	Shad_tr29519_c0_g2_i1.p1	Gafa_DN29584_c0_g2_i1.p1, Gafa_DN56234_c0_g2_i1.p1
OG0000000	Shad_tr74833_c0_g1_i1.p1, Shad_tr80135_c0_g1_i1.p1	Gafa_DN16197_c2_g1_i7.p1
OG0000000	Shad_tr14213_c2_g2_i2.p1	Gafa_DN52967_c0_g1_i1.p1, Gafa_DN33846_c0_g1_i1.p1, Gafa_DN68503_c0_g2_i1.p1, Gafa_DN23815_c0_g4_i1.p1
OG0000000	Shad_tr9580_c0_g2_i1.p1	Gafa_DN29100_c1_g1_i3.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Gafa_DN113_c0_g1_i2.p1, Gafa_DN30297_c0_g1_i5.p1, Gafa_DN4851_c0_g1_i3.p1, Gafa_DN27604_c0_g1_i4.p1, Gafa_DN2015_c0_g2_i1.p1, Gafa_DN54639_c0_g2_i1.p1
OG0000000	Shad_tr24579_c6_g1_i1.p1	Gafa_DN21532_c0_g1_i7.p1
OG0000001	Shad_tr35115_c2_g1_i1.p1	Gafa_DN29258_c1_g3_i1.p1, Gafa_DN14774_c0_g1_i2.p1
OG0000001	Shad_tr19219_c0_g1_i3.p1	Gafa_DN24494_c0_g1_i1.p1, Gafa_DN9920_c0_g1_i2.p1, Gafa_DN27144_c0_g1_i8.p1
OG0000001	Shad_tr36534_c0_g3_i1.p1	Gafa_DN42242_c0_g1_i1.p1
OG0000001	Shad_tr20453_c0_g2_i1.p1	Gafa_DN13967_c0_g1_i2.p1
OG0000001	Shad_tr25874_c0_g1_i4.p1	Gafa_DN101866_c0_g2_i1.p1
OG0000001	Shad_tr38314_c0_g2_i3.p1	Gafa_DN15017_c0_g3_i3.p1
OG0000001	Shad_tr23770_c0_g1_i2.p1	Gafa_DN68328_c0_g3_i1.p1
OG0000001	Shad_tr24857_c0_g1_i2.p1	Gafa_DN79675_c0_g1_i1.p1
OG0000001	Shad_tr5843_c2_g2_i1.p1	Gafa_DN81659_c0_g1_i1.p1
OG0000001	Shad_tr100697_c0_g1_i1.p1	Gafa_DN140105_c0_g1_i1.p1
OG0000001	Shad_tr37417_c0_g2_i1.p1	Gafa_DN81659_c0_g2_i1.p1, Gafa_DN101033_c0_g1_i1.p1, Gafa_DN31011_c0_g3_i1.p1
OG0000001	Shad_tr76627_c0_g1_i1.p1, Shad_tr84822_c0_g1_i1.p1, Shad_tr64127_c0_g1_i1.p1	Gafa_DN44258_c0_g1_i1.p1
OG0000001	Shad_tr49780_c0_g1_i1.p1	Gafa_DN68199_c0_g1_i1.p1
OG0000001	Shad_tr67018_c0_g1_i1.p1	Gafa_DN61590_c0_g1_i2.p1, Gafa_DN43241_c0_g1_i4.p1
OG0000001	Shad_tr80875_c0_g1_i1.p1	Gafa_DN45720_c0_g1_i1.p1, Gafa_DN55455_c0_g1_i1.p1
OG0000001	Shad_tr14305_c0_g1_i11.p1	Gafa_DN107707_c0_g1_i1.p1, Gafa_DN19284_c0_g1_i1.p1
