Orthogroup	Stichodactyla_haddoni_longest_pep	Anthopleura_dowii_longest_pep
OG0000000	Shad_tr61_c2_g1_i1.p2	Ando_DN25577_c0_g1_i1.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Ando_DN22290_c0_g1_i1.p1
OG0000000	Shad_tr29962_c0_g1_i2.p1, Shad_tr10964_c1_g1_i1.p1, Shad_tr10964_c0_g2_i1.p1, Shad_tr13994_c0_g1_i3.p1, Shad_tr39176_c0_g1_i2.p1, Shad_tr27752_c0_g1_i2.p1, Shad_tr44773_c0_g1_i14.p2, Shad_tr8439_c0_g1_i5.p1	Ando_DN20666_c0_g2_i1.p1
OG0000000	Shad_tr29519_c0_g2_i1.p1	Ando_DN26174_c0_g1_i1.p1
OG0000000	Shad_tr9580_c0_g2_i1.p1	Ando_DN27135_c0_g1_i1.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Ando_DN4922_c0_g1_i6.p1
OG0000001	Shad_tr36534_c0_g3_i1.p1	Ando_DN13310_c0_g2_i1.p1
OG0000001	Shad_tr20453_c0_g1_i2.p1	Ando_DN22683_c0_g1_i1.p1
OG0000002	Shad_tr12224_c1_g1_i3.p1	Ando_DN16737_c0_g1_i1.p1
OG0000003	Shad_tr8902_c1_g1_i4.p1	Ando_DN17141_c0_g1_i1.p1
OG0000003	Shad_tr31539_c0_g1_i4.p1	Ando_DN12805_c0_g1_i1.p1
OG0000003	Shad_tr25371_c0_g1_i5.p1	Ando_DN15240_c0_g3_i1.p1
OG0000003	Shad_tr5763_c0_g1_i1.p1	Ando_DN13104_c0_g1_i1.p1
OG0000003	Shad_tr49878_c0_g1_i1.p1	Ando_DN12924_c1_g1_i1.p1
OG0000003	Shad_tr18779_c1_g1_i1.p1	Ando_DN12924_c1_g3_i2.p1
OG0000003	Shad_tr33650_c0_g1_i3.p1	Ando_DN12924_c1_g7_i1.p1
OG0000003	Shad_tr9802_c0_g1_i7.p1	Ando_DN2732_c0_g2_i1.p1
OG0000003	Shad_tr45996_c0_g1_i3.p1	Ando_DN26421_c0_g1_i1.p1, Ando_DN5014_c2_g1_i1.p1, Ando_DN17946_c0_g1_i1.p1
OG0000003	Shad_tr6906_c2_g1_i6.p1	Ando_DN12924_c1_g2_i1.p1
OG0000003	Shad_tr55304_c0_g1_i6.p1	Ando_DN11099_c0_g1_i1.p1
OG0000003	Shad_tr8779_c0_g1_i2.p1	Ando_DN11887_c0_g4_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Ando_DN25708_c0_g1_i1.p1
OG0000003	Shad_tr1233_c10_g1_i4.p1	Ando_DN9783_c0_g1_i1.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1	Ando_DN13116_c1_g3_i1.p1
OG0000004	Shad_tr110442_c0_g1_i1.p1	Ando_DN25603_c0_g1_i1.p1
OG0000004	Shad_tr13166_c0_g1_i13.p1	Ando_DN26094_c0_g1_i1.p1
OG0000004	Shad_tr45077_c0_g1_i1.p1	Ando_DN26749_c0_g1_i1.p1
OG0000005	Shad_tr26927_c0_g1_i1.p1	Ando_DN1557_c0_g1_i1.p1
OG0000005	Shad_tr1418_c0_g1_i1.p1	Ando_DN1289_c0_g1_i3.p1
OG0000005	Shad_tr32859_c0_g1_i6.p1	Ando_DN6684_c0_g1_i2.p1
OG0000005	Shad_tr7756_c0_g2_i4.p1	Ando_DN14921_c0_g2_i2.p1, Ando_DN8369_c0_g1_i1.p1, Ando_DN155_c2_g1_i1.p1
OG0000005	Shad_tr8716_c1_g1_i2.p1	Ando_DN6127_c0_g1_i3.p1, Ando_DN6127_c0_g3_i1.p1
OG0000005	Shad_tr22240_c0_g2_i1.p1	Ando_DN5731_c0_g4_i1.p1, Ando_DN10510_c0_g1_i9.p1
OG0000005	Shad_tr10349_c0_g2_i7.p1, Shad_tr6063_c0_g1_i2.p1, Shad_tr58663_c0_g2_i1.p1, Shad_tr101198_c0_g1_i1.p1	Ando_DN2884_c0_g1_i12.p1
OG0000007	Shad_tr114196_c0_g1_i1.p1	Ando_DN27126_c0_g1_i1.p1
OG0000007	Shad_tr112002_c0_g1_i1.p1	Ando_DN8796_c0_g1_i1.p1
OG0000007	Shad_tr16025_c0_g1_i1.p1	Ando_DN9512_c0_g2_i1.p1
OG0000007	Shad_tr9482_c0_g1_i10.p1	Ando_DN19859_c0_g1_i1.p1
OG0000007	Shad_tr2749_c1_g1_i1.p1	Ando_DN25546_c0_g1_i1.p1
OG0000007	Shad_tr35237_c0_g2_i1.p1	Ando_DN21167_c0_g1_i1.p1
OG0000007	Shad_tr8688_c0_g2_i3.p1	Ando_DN19961_c1_g1_i1.p1
OG0000007	Shad_tr11126_c0_g1_i4.p1	Ando_DN11130_c0_g1_i1.p1
OG0000007	Shad_tr9775_c0_g1_i1.p1	Ando_DN8817_c0_g1_i1.p1
OG0000007	Shad_tr64130_c0_g1_i1.p1	Ando_DN8817_c0_g4_i1.p1
OG0000007	Shad_tr38195_c0_g1_i1.p1	Ando_DN19859_c0_g2_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Ando_DN25587_c0_g1_i1.p1
OG0000009	Shad_tr27825_c0_g1_i1.p1	Ando_DN4496_c0_g1_i3.p1
OG0000009	Shad_tr42149_c0_g2_i2.p1	Ando_DN8415_c0_g1_i1.p1
OG0000009	Shad_tr42259_c0_g1_i1.p1	Ando_DN26084_c0_g1_i1.p1
OG0000009	Shad_tr42149_c3_g1_i1.p1	Ando_DN13633_c0_g1_i7.p1
OG0000009	Shad_tr42149_c0_g1_i9.p1	Ando_DN1791_c0_g1_i9.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Ando_DN19314_c0_g1_i1.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Ando_DN6306_c0_g1_i1.p1
OG0000010	Shad_tr23640_c0_g1_i1.p1	Ando_DN16559_c0_g1_i1.p1
OG0000010	Shad_tr15980_c0_g4_i1.p1	Ando_DN26071_c0_g1_i1.p1
OG0000010	Shad_tr8024_c0_g2_i6.p1	Ando_DN1883_c1_g1_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Ando_DN16281_c0_g3_i1.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Ando_DN7690_c0_g1_i1.p1
OG0000010	Shad_tr73_c19_g1_i3.p1	Ando_DN19369_c0_g1_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Ando_DN22403_c0_g1_i1.p1, Ando_DN22403_c0_g2_i1.p1
OG0000011	Shad_tr1132_c0_g1_i13.p1	Ando_DN2165_c0_g1_i13.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Ando_DN16961_c0_g1_i1.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Ando_DN25465_c0_g1_i1.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Ando_DN7094_c0_g2_i1.p1
OG0000011	Shad_tr2056_c1_g1_i5.p1	Ando_DN14876_c0_g1_i1.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Ando_DN7459_c0_g2_i2.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1	Ando_DN17594_c0_g1_i1.p1
OG0000011	Shad_tr2992_c1_g5_i1.p1	Ando_DN798_c1_g2_i1.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1	Ando_DN12082_c0_g1_i1.p1
OG0000011	Shad_tr3847_c0_g1_i2.p1	Ando_DN1901_c0_g2_i1.p1
OG0000011	Shad_tr12213_c0_g1_i1.p1	Ando_DN7052_c0_g2_i1.p1
OG0000011	Shad_tr11801_c0_g1_i5.p1	Ando_DN2777_c0_g1_i1.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1	Ando_DN4135_c0_g1_i11.p1
