Orthogroup	Stichodactyla_haddoni_longest_pep	Nemopilema_nomurai_longest_pep
OG0000001	Shad_tr96939_c0_g1_i1.p1, Shad_tr35115_c2_g1_i1.p1, Shad_tr34745_c1_g1_i1.p1, Shad_tr40070_c0_g1_i3.p1, Shad_tr92094_c0_g1_i1.p1	Neno_DN10657_c0_g2_i1.p1, Neno_DN5977_c0_g1_i10.p1
OG0000001	Shad_tr19219_c0_g1_i3.p1	Neno_DN9105_c0_g1_i1.p1, Neno_DN4435_c0_g1_i11.p1
OG0000002	Shad_tr86756_c0_g1_i1.p1, Shad_tr41945_c0_g1_i3.p1	Neno_DN12525_c0_g1_i1.p1
OG0000002	Shad_tr34416_c2_g1_i1.p1, Shad_tr32976_c0_g1_i4.p1, Shad_tr2725_c1_g1_i2.p1, Shad_tr24968_c2_g1_i4.p1, Shad_tr28069_c0_g1_i5.p1	Neno_DN12707_c0_g1_i1.p1
OG0000002	Shad_tr44395_c0_g1_i1.p1	Neno_DN20853_c0_g1_i1.p1
OG0000003	Shad_tr36243_c0_g1_i1.p1	Neno_DN3351_c0_g1_i2.p1
OG0000003	Shad_tr1184_c0_g1_i5.p1, Shad_tr8902_c1_g1_i4.p1, Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1, Shad_tr25371_c0_g1_i5.p1	Neno_DN16639_c0_g1_i2.p1, Neno_DN8664_c0_g1_i4.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Neno_DN3579_c0_g1_i1.p1
OG0000003	Shad_tr17006_c0_g1_i19.p1, Shad_tr1233_c10_g1_i4.p1	Neno_DN8347_c0_g1_i7.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Neno_DN5294_c0_g1_i1.p1
OG0000005	Shad_tr10187_c0_g2_i1.p1	Neno_DN20266_c0_g1_i1.p1, Neno_DN3956_c0_g1_i2.p1
