Orthogroup	Stichodactyla_haddoni_longest_pep	Chironex_fleckeri_longest_pep
OG0000000	Shad_tr4468_c0_g1_i2.p1	Chfl_DN20433_c0_g3_i1.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Chfl_DN2672_c0_g1_i1.p1
OG0000001	Shad_tr19219_c0_g1_i3.p1	Chfl_DN3321_c0_g1_i2.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Chfl_DN3378_c0_g1_i4.p1
OG0000002	Shad_tr86756_c0_g1_i1.p1, Shad_tr41945_c0_g1_i3.p1	Chfl_DN19599_c0_g1_i1.p1
OG0000002	Shad_tr12224_c1_g1_i3.p1	Chfl_DN7634_c0_g3_i3.p1
OG0000002	Shad_tr33251_c1_g1_i2.p1, Shad_tr9407_c0_g1_i12.p1, Shad_tr32353_c0_g1_i1.p1	Chfl_DN8409_c0_g1_i4.p1
OG0000002	Shad_tr34051_c0_g1_i3.p1	Chfl_DN20760_c0_g3_i1.p1
OG0000002	Shad_tr50422_c0_g1_i2.p1	Chfl_DN4924_c0_g2_i1.p1
OG0000002	Shad_tr51628_c1_g1_i1.p1, Shad_tr79701_c0_g1_i1.p1	Chfl_DN813_c0_g3_i1.p1
OG0000002	Shad_tr34474_c1_g1_i2.p1	Chfl_DN4924_c0_g1_i1.p1
OG0000002	Shad_tr44395_c0_g1_i1.p1	Chfl_DN6388_c0_g1_i1.p1
OG0000003	Shad_tr22800_c0_g1_i2.p1, Shad_tr36243_c0_g1_i1.p1	Chfl_DN11078_c0_g2_i1.p1
OG0000003	Shad_tr83431_c0_g1_i1.p1	Chfl_DN28113_c0_g1_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Chfl_DN4877_c0_g2_i1.p1
OG0000003	Shad_tr5139_c0_g1_i6.p1	Chfl_DN8215_c0_g1_i1.p1
OG0000007	Shad_tr114196_c0_g1_i1.p1, Shad_tr112002_c0_g1_i1.p1, Shad_tr16025_c0_g1_i1.p1, Shad_tr9482_c0_g1_i10.p1, Shad_tr57168_c0_g1_i1.p1, Shad_tr86959_c0_g1_i1.p1, Shad_tr27395_c0_g1_i1.p1, Shad_tr2749_c1_g2_i1.p1, Shad_tr2749_c1_g1_i1.p1, Shad_tr35237_c0_g2_i1.p1, Shad_tr87403_c0_g1_i1.p1, Shad_tr8688_c0_g2_i3.p1, Shad_tr51167_c0_g1_i1.p1, Shad_tr28462_c2_g1_i1.p1, Shad_tr11126_c0_g1_i4.p1, Shad_tr36106_c0_g2_i2.p1, Shad_tr36106_c5_g1_i1.p1, Shad_tr29986_c3_g1_i1.p1, Shad_tr100866_c0_g1_i1.p1, Shad_tr79679_c0_g1_i1.p1, Shad_tr17542_c0_g1_i1.p1, Shad_tr18436_c0_g1_i2.p1, Shad_tr36106_c0_g1_i2.p1, Shad_tr4677_c2_g1_i1.p1, Shad_tr36106_c2_g1_i2.p1, Shad_tr36106_c0_g3_i1.p1, Shad_tr85359_c0_g1_i1.p1, Shad_tr54756_c0_g1_i1.p1, Shad_tr69242_c0_g1_i1.p1, Shad_tr9775_c0_g1_i1.p1, Shad_tr64130_c0_g1_i1.p1, Shad_tr15166_c2_g1_i2.p1, Shad_tr87301_c0_g1_i1.p1, Shad_tr38195_c0_g1_i1.p1, Shad_tr36595_c0_g1_i1.p1, Shad_tr17402_c0_g1_i2.p1	Chfl_DN8761_c0_g2_i1.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Chfl_DN10355_c0_g1_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Chfl_DN5939_c0_g2_i1.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Chfl_DN22652_c0_g1_i1.p1
OG0000008	Shad_tr46476_c0_g2_i1.p1	Chfl_DN9864_c0_g3_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Chfl_DN5510_c0_g1_i1.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Chfl_DN4165_c0_g1_i2.p1, Chfl_DN373_c0_g1_i5.p1, Chfl_DN5277_c0_g4_i1.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1, Shad_tr1427_c5_g1_i2.p1	Chfl_DN13862_c0_g1_i1.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Chfl_DN2806_c0_g1_i1.p1, Chfl_DN25447_c0_g1_i1.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Chfl_DN3472_c0_g1_i17.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Chfl_DN2879_c2_g1_i1.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1, Shad_tr2992_c1_g5_i1.p1	Chfl_DN4283_c0_g1_i2.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1, Shad_tr3847_c0_g1_i2.p1, Shad_tr12213_c0_g1_i1.p1, Shad_tr11801_c0_g1_i5.p1	Chfl_DN5758_c0_g1_i1.p1, Chfl_DN6067_c0_g2_i1.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1, Shad_tr216_c0_g1_i7.p1, Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1, Shad_tr1481_c2_g1_i1.p1	Chfl_DN9385_c0_g1_i1.p1
OG0000012	Shad_tr31893_c5_g1_i1.p1	Chfl_DN14088_c0_g1_i1.p1
