Orthogroup	Stichodactyla_haddoni_longest_pep	Heterodactyla_longest_pep
OG0000000	Shad_tr27300_c0_g2_i4.p1, Shad_tr62331_c0_g1_i1.p1, Shad_tr22431_c0_g4_i1.p1	Hetdac_DN78454_c0_g1_i1.p1
OG0000000	Shad_tr105198_c0_g1_i1.p1	Hetdac_DN37536_c0_g1_i1.p1
OG0000000	Shad_tr73798_c0_g1_i1.p1	Hetdac_DN40434_c0_g1_i1.p1
OG0000000	Shad_tr10964_c0_g2_i1.p1	Hetdac_DN1896_c2_g1_i12.p1
OG0000000	Shad_tr13994_c0_g1_i3.p1	Hetdac_DN53825_c0_g1_i3.p1
OG0000000	Shad_tr8439_c0_g1_i5.p1	Hetdac_DN7254_c0_g1_i4.p1
OG0000000	Shad_tr11002_c1_g3_i1.p1, Shad_tr15362_c3_g1_i1.p1	Hetdac_DN40424_c0_g1_i2.p1
OG0000000	Shad_tr19238_c1_g1_i4.p1	Hetdac_DN53795_c0_g1_i1.p1
OG0000000	Shad_tr29519_c0_g2_i1.p1	Hetdac_DN24794_c0_g1_i2.p1
OG0000000	Shad_tr14213_c2_g2_i2.p1	Hetdac_DN26632_c0_g1_i1.p1
OG0000000	Shad_tr9580_c0_g2_i1.p1, Shad_tr8879_c1_g1_i4.p1, Shad_tr14411_c0_g1_i2.p1, Shad_tr16568_c0_g2_i2.p1, Shad_tr28490_c1_g1_i4.p1	Hetdac_DN9975_c0_g1_i3.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Hetdac_DN27165_c0_g1_i1.p1
OG0000000	Shad_tr43628_c5_g1_i1.p1	Hetdac_DN45015_c0_g1_i1.p1
OG0000000	Shad_tr24579_c6_g1_i1.p1	Hetdac_DN63080_c0_g1_i1.p1
OG0000001	Shad_tr34745_c1_g1_i1.p1	Hetdac_DN11896_c0_g1_i1.p1
OG0000001	Shad_tr85081_c0_g1_i1.p1	Hetdac_DN36308_c0_g1_i1.p1
OG0000001	Shad_tr76209_c0_g1_i1.p1, Shad_tr35209_c0_g1_i19.p1, Shad_tr35209_c1_g1_i1.p1, Shad_tr56097_c0_g1_i1.p1	Hetdac_DN14149_c0_g1_i2.p1
OG0000001	Shad_tr19219_c0_g1_i3.p1	Hetdac_DN6503_c0_g1_i13.p1
OG0000001	Shad_tr20453_c0_g2_i1.p1	Hetdac_DN50026_c0_g1_i3.p1
OG0000001	Shad_tr20453_c0_g1_i2.p1	Hetdac_DN54911_c0_g1_i1.p1
OG0000001	Shad_tr9780_c0_g1_i12.p1	Hetdac_DN33275_c1_g1_i2.p1
OG0000001	Shad_tr25874_c0_g1_i4.p1	Hetdac_DN22855_c0_g1_i1.p1
OG0000001	Shad_tr38314_c0_g2_i3.p1, Shad_tr23770_c0_g1_i2.p1	Hetdac_DN32652_c0_g1_i1.p1
OG0000001	Shad_tr24857_c0_g1_i2.p1	Hetdac_DN19372_c0_g1_i1.p1
OG0000001	Shad_tr5843_c2_g2_i1.p1	Hetdac_DN83511_c0_g1_i1.p1
OG0000001	Shad_tr100697_c0_g1_i1.p1	Hetdac_DN42575_c0_g1_i1.p1
OG0000001	Shad_tr37417_c0_g2_i1.p1	Hetdac_DN88859_c0_g1_i1.p1, Hetdac_DN49894_c0_g1_i1.p1, Hetdac_DN75883_c0_g1_i1.p1
OG0000001	Shad_tr64127_c0_g1_i1.p1	Hetdac_DN16302_c0_g1_i3.p1, Hetdac_DN36512_c0_g1_i1.p1
OG0000001	Shad_tr49780_c0_g1_i1.p1, Shad_tr44734_c4_g1_i1.p1, Shad_tr105103_c0_g1_i1.p1	Hetdac_DN30637_c0_g1_i1.p2
OG0000001	Shad_tr14305_c0_g1_i11.p1	Hetdac_DN21039_c0_g1_i5.p1, Hetdac_DN34060_c0_g1_i3.p1
OG0000001	Shad_tr42064_c0_g1_i1.p1	Hetdac_DN4376_c0_g1_i5.p1, Hetdac_DN25724_c0_g1_i2.p1, Hetdac_DN16178_c0_g1_i3.p1
OG0000001	Shad_tr34383_c0_g1_i3.p1, Shad_tr34383_c0_g2_i1.p1	Hetdac_DN65590_c0_g1_i1.p1
OG0000001	Shad_tr6850_c1_g1_i17.p1	Hetdac_DN15401_c0_g1_i2.p1
OG0000001	Shad_tr16600_c0_g1_i2.p1	Hetdac_DN29672_c0_g1_i1.p1
OG0000001	Shad_tr4273_c0_g1_i6.p1	Hetdac_DN11984_c0_g1_i1.p1
OG0000001	Shad_tr66985_c0_g1_i1.p1	Hetdac_DN42691_c0_g1_i1.p1
OG0000001	Shad_tr12332_c0_g1_i14.p1	Hetdac_DN25212_c0_g1_i1.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Hetdac_DN12428_c1_g1_i10.p1, Hetdac_DN5012_c0_g1_i3.p1, Hetdac_DN29413_c0_g1_i1.p1
OG0000001	Shad_tr4472_c1_g1_i3.p1	Hetdac_DN13983_c0_g1_i3.p1
OG0000001	Shad_tr17040_c1_g1_i3.p1	Hetdac_DN753_c0_g1_i4.p1
OG0000001	Shad_tr16900_c0_g2_i2.p1, Shad_tr45810_c0_g1_i1.p1	Hetdac_DN10326_c0_g2_i1.p1
OG0000001	Shad_tr6848_c1_g1_i1.p1	Hetdac_DN11898_c0_g1_i3.p1
OG0000001	Shad_tr89240_c0_g1_i1.p1	Hetdac_DN5386_c0_g2_i5.p1
OG0000001	Shad_tr15042_c0_g1_i1.p1	Hetdac_DN14836_c0_g1_i10.p1
OG0000001	Shad_tr76721_c0_g1_i1.p1	Hetdac_DN54367_c0_g1_i1.p1
OG0000001	Shad_tr7344_c0_g1_i12.p1	Hetdac_DN3153_c0_g1_i2.p1
