Orthogroup	Stichodactyla_haddoni_longest_pep	Heteractis_aurelias_longest_pep
OG0000000	Shad_tr27300_c0_g2_i4.p1, Shad_tr62331_c0_g1_i1.p1, Shad_tr22431_c0_g4_i1.p1	Haur_tr102850_c0_g1_i1.p1
OG0000000	Shad_tr85677_c0_g1_i1.p1, Shad_tr4055_c2_g1_i6.p1	Haur_tr96713_c0_g1_i1.p1
OG0000000	Shad_tr71370_c0_g1_i1.p1	Haur_tr64560_c0_g1_i1.p1
OG0000000	Shad_tr44491_c1_g1_i1.p1	Haur_tr9312_c0_g1_i1.p1
OG0000000	Shad_tr61_c2_g1_i1.p2	Haur_tr65751_c0_g1_i1.p1
OG0000000	Shad_tr39952_c0_g2_i1.p1	Haur_tr1243_c1_g2_i2.p1
OG0000000	Shad_tr98431_c0_g1_i1.p1	Haur_tr32197_c0_g1_i1.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Haur_tr1238_c3_g1_i2.p1
OG0000000	Shad_tr39176_c0_g1_i2.p1, Shad_tr27752_c0_g1_i2.p1, Shad_tr44773_c0_g1_i14.p2	Haur_tr8389_c0_g2_i2.p1
OG0000000	Shad_tr8439_c0_g1_i5.p1	Haur_tr8705_c0_g2_i8.p1
OG0000000	Shad_tr47449_c0_g1_i2.p1	Haur_tr23900_c0_g1_i2.p1
OG0000000	Shad_tr3849_c0_g1_i12.p1	Haur_tr23427_c0_g1_i1.p1
OG0000000	Shad_tr19238_c1_g1_i4.p1	Haur_tr107866_c0_g1_i1.p1
OG0000000	Shad_tr29519_c0_g2_i1.p1	Haur_tr31894_c0_g1_i1.p1
OG0000000	Shad_tr74833_c0_g1_i1.p1, Shad_tr80135_c0_g1_i1.p1	Haur_tr4767_c2_g1_i8.p1
OG0000000	Shad_tr9580_c0_g2_i1.p1	Haur_tr52108_c0_g1_i1.p1
OG0000000	Shad_tr14411_c0_g1_i2.p1	Haur_tr11498_c0_g2_i4.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Haur_tr108302_c0_g1_i1.p1, Haur_tr20387_c1_g1_i1.p1, Haur_tr19467_c0_g3_i1.p1, Haur_tr43425_c0_g1_i4.p1, Haur_tr82888_c0_g1_i1.p1, Haur_tr84291_c0_g1_i1.p1
OG0000000	Shad_tr43628_c5_g1_i1.p1	Haur_tr1287_c0_g1_i1.p1
OG0000000	Shad_tr94573_c0_g1_i1.p1	Haur_tr17251_c1_g1_i4.p1
OG0000000	Shad_tr24579_c6_g1_i1.p1	Haur_tr103807_c0_g1_i1.p1
OG0000001	Shad_tr36534_c0_g3_i1.p1	Haur_tr39005_c0_g1_i1.p1
OG0000001	Shad_tr20453_c0_g1_i2.p1	Haur_tr62167_c0_g1_i1.p1
OG0000001	Shad_tr38314_c0_g2_i3.p1	Haur_tr13775_c0_g1_i6.p1
OG0000001	Shad_tr37417_c0_g2_i1.p1	Haur_tr59539_c0_g1_i1.p1
OG0000001	Shad_tr105103_c0_g1_i1.p1	Haur_tr81819_c0_g1_i1.p1
OG0000001	Shad_tr14305_c0_g1_i11.p1	Haur_tr59052_c0_g2_i1.p1
OG0000001	Shad_tr42064_c0_g1_i1.p1	Haur_tr56847_c0_g1_i1.p1
OG0000001	Shad_tr34383_c0_g1_i3.p1, Shad_tr34383_c0_g2_i1.p1	Haur_tr17677_c0_g1_i1.p1
OG0000001	Shad_tr8639_c1_g1_i2.p1	Haur_tr33322_c0_g1_i1.p1
OG0000001	Shad_tr50579_c0_g1_i1.p1	Haur_tr96961_c0_g1_i1.p1
OG0000001	Shad_tr66985_c0_g1_i1.p1	Haur_tr42443_c0_g1_i1.p1
