Orthogroup,Stichodactyla_haddoni_longest_pep,Stichidactyla_gigantea_longest_pep,Heteractic_macgnifica_longest_pep,Heteractis_crispa_longest_pep,Stichodactyla_mertensi_longest_pep,Heteractis_aurelias_longest_pep,Entacmea_quadricolor_longest_pep,Heterodactyla_longest_pep,Macrodactyla_doreensis_longest_pep,Oulactis_longest_pep,Actinia_tenebrosa_longest_pep,Galaxea_fascicularis_longest_pep,Anthopleura_dowii_longest_pep,Nematostella_vectensis_longest_pep,Nemopilema_nomurai_longest_pep,Hydra_vulgaris_longest_pep,Sanderia_malayensis_longest_pep,Cyanea_capillata_longest_pep,Chironex_fleckeri_longest_pep,Chrysaora_fuscescens_longest_pep
OG0000011,Shad_tr2031_c0_g1_i6.p1,Sgig_tr3706_c2_g1_i2.p1,Hmag_tr4527_c0_g2_i4.p1,Hcri_tr10698_c0_g1_i14.p1,Smer_tr20399_c0_g1_i3.p1,Haur_tr1274_c0_g2_i1.p1,Equa_tr6994_c0_g1_i11.p1,Hetdac_DN11599_c0_g1_i2.p1,Macdac_DN9783_c0_g1_i16.p1,Oula_DN1153_c0_g1_i3.p1,Acte_DN1689_c0_g1_i5.p1,Gafa_DN12354_c0_g2_i7.p1,Ando_DN7459_c0_g2_i2.p1,Neva_DN1156_c0_g1_i1.p1,Neno_DN879_c0_g1_i2.p1,Hyva_DN11423_c0_g1_i2.p1,Sama_DN979_c0_g1_i1.p1,Cyca_DN15139_c0_g2_i4.p1,Chfl_DN2879_c2_g1_i1.p1,Chfu_DN10480_c0_g1_i2.p1
OG0000038,Shad_tr7481_c0_g1_i1.p1,Sgig_tr71746_c0_g1_i1.p1,Hmag_tr25744_c0_g1_i1.p1,Hcri_tr1132_c1_g1_i1.p1,Smer_tr15609_c0_g1_i1.p1,Haur_tr2237_c0_g2_i1.p1,Equa_tr49131_c0_g1_i1.p1,Hetdac_DN12990_c0_g1_i1.p1,"Macdac_DN44894_c0_g1_i1.p1, Macdac_DN6456_c1_g1_i1.p1",Oula_DN528_c1_g1_i4.p1,Acte_DN1352_c0_g1_i2.p2,Gafa_DN71700_c0_g1_i2.p1,Ando_DN10949_c0_g1_i1.p1,Neva_DN15558_c0_g1_i3.p1,Neno_DN8496_c0_g1_i3.p1,"Hyva_DN10078_c0_g2_i1.p1, Hyva_DN10078_c0_g1_i3.p1","Sama_DN1629_c0_g1_i2.p1, Sama_DN946_c1_g2_i1.p1, Sama_DN946_c1_g1_i1.p1","Cyca_DN19527_c0_g1_i1.p1, Cyca_DN4594_c0_g2_i1.p1, Cyca_DN19666_c0_g1_i1.p1","Chfl_DN3427_c0_g1_i1.p1, Chfl_DN6911_c0_g1_i1.p1",Chfu_DN197_c0_g1_i1.p1
OG0000059,Shad_tr11544_c0_g1_i7.p1,Sgig_tr3991_c1_g1_i8.p1,Hmag_tr12243_c1_g1_i5.p1,Hcri_tr23861_c2_g2_i2.p1,Smer_tr16373_c0_g4_i2.p1,Haur_tr12383_c0_g1_i2.p1,Equa_tr10173_c0_g1_i2.p1,Hetdac_DN440_c0_g1_i4.p1,Macdac_DN23063_c0_g3_i1.p1,Oula_DN2907_c1_g2_i1.p1,Acte_DN9064_c0_g2_i5.p1,Gafa_DN10099_c0_g1_i2.p1,Ando_DN578_c0_g2_i2.p1,Neva_DN9371_c3_g2_i2.p1,Neno_DN1375_c0_g1_i2.p1,Hyva_DN5921_c0_g1_i1.p1,Sama_DN624_c1_g1_i1.p1,Cyca_DN13283_c0_g1_i2.p1,Chfl_DN541_c0_g1_i1.p1,Chfu_DN1492_c0_g1_i1.p1
OG0000072,Shad_tr3797_c1_g1_i2.p1,Sgig_tr4483_c0_g2_i7.p1,Hmag_tr541_c2_g1_i1.p1,Hcri_tr4929_c3_g1_i22.p1,Smer_tr817_c5_g1_i2.p1,Haur_tr17234_c0_g1_i1.p1,Equa_tr24827_c1_g1_i4.p1,Hetdac_DN59103_c0_g1_i2.p1,Macdac_DN6645_c0_g1_i3.p1,Oula_DN17383_c0_g1_i1.p1,Acte_DN2504_c1_g3_i1.p1,"Gafa_DN48143_c0_g1_i9.p1, Gafa_DN19878_c0_g1_i2.p1",Ando_DN7147_c0_g1_i2.p1,Neva_DN21960_c0_g1_i2.p1,"Neno_DN2152_c0_g1_i4.p1, Neno_DN9511_c0_g1_i1.p1","Hyva_DN14560_c0_g1_i4.p1, Hyva_DN16466_c0_g1_i1.p1","Sama_DN5410_c0_g1_i1.p1, Sama_DN1027_c0_g1_i8.p1, Sama_DN4748_c0_g1_i1.p1, Sama_DN1027_c1_g1_i1.p1, Sama_DN1027_c0_g3_i1.p1, Sama_DN474_c0_g1_i2.p1",Cyca_DN19142_c0_g1_i1.p1,"Chfl_DN6354_c0_g2_i1.p1, Chfl_DN9145_c0_g1_i2.p1, Chfl_DN3126_c0_g1_i3.p1","Chfu_DN17055_c0_g1_i1.p1, Chfu_DN17262_c0_g1_i1.p1"
OG0000089,Shad_tr8598_c2_g1_i2.p1,Sgig_tr11274_c0_g1_i12.p1,Hmag_tr19769_c0_g1_i4.p1,Hcri_tr8804_c0_g1_i6.p1,Smer_tr6336_c0_g1_i1.p1,Haur_tr4960_c0_g1_i2.p1,Equa_tr4676_c1_g1_i1.p1,Hetdac_DN18116_c0_g1_i1.p1,Macdac_DN44087_c1_g1_i2.p1,Oula_DN131_c0_g1_i1.p1,Acte_DN1500_c1_g1_i2.p1,Gafa_DN7405_c0_g1_i7.p1,Ando_DN3373_c0_g1_i1.p1,Neva_DN17152_c0_g1_i7.p1,Neno_DN845_c0_g1_i1.p1,Hyva_DN8885_c0_g1_i5.p1,Sama_DN1611_c0_g1_i2.p1,Cyca_DN18495_c0_g1_i1.p1,Chfl_DN910_c0_g6_i1.p1,Chfu_DN1455_c0_g1_i2.p1
OG0000107,Shad_tr8733_c0_g1_i1.p1,Sgig_tr5837_c1_g2_i3.p1,Hmag_tr6421_c0_g1_i4.p1,Hcri_tr4253_c0_g1_i1.p1,Smer_tr5565_c0_g1_i1.p1,Haur_tr18481_c1_g1_i1.p1,Equa_tr6033_c0_g1_i1.p1,Hetdac_DN785_c0_g1_i1.p1,Macdac_DN12446_c0_g1_i1.p1,Oula_DN666_c2_g1_i2.p1,Acte_DN7959_c0_g1_i7.p1,"Gafa_DN3631_c0_g3_i1.p1, Gafa_DN47163_c0_g1_i1.p1",Ando_DN3902_c0_g1_i1.p1,Neva_DN49292_c0_g1_i1.p1,Neno_DN46_c0_g3_i1.p1,Hyva_DN9361_c0_g1_i1.p1,Sama_DN11717_c0_g1_i1.p1,Cyca_DN140_c0_g1_i3.p1,Chfl_DN911_c0_g4_i1.p1,Chfu_DN804_c0_g1_i1.p1
OG0000110,Shad_tr244_c10_g1_i1.p1,Sgig_tr28527_c3_g1_i1.p1,Hmag_tr2913_c0_g1_i5.p1,Hcri_tr2307_c0_g2_i2.p1,Smer_tr34568_c0_g1_i3.p1,Haur_tr8146_c1_g1_i2.p1,Equa_tr9204_c0_g1_i1.p1,"Hetdac_DN2958_c1_g1_i1.p1, Hetdac_DN67932_c0_g1_i1.p1",Macdac_DN286_c1_g3_i1.p1,Oula_DN226_c0_g1_i2.p1,Acte_DN7444_c0_g1_i1.p1,Gafa_DN18626_c0_g3_i3.p1,Ando_DN1133_c0_g1_i1.p1,Neva_DN1228_c35_g2_i3.p1,Neno_DN1119_c0_g1_i1.p1,Hyva_DN1548_c0_g1_i1.p1,Sama_DN12285_c0_g1_i1.p1,Cyca_DN1754_c0_g1_i1.p1,Chfl_DN1903_c0_g1_i1.p1,Chfu_DN15135_c0_g1_i1.p1
OG0000138,Shad_tr681_c0_g1_i2.p1,Sgig_tr1337_c0_g1_i6.p1,Hmag_tr636_c1_g1_i2.p1,Hcri_tr4791_c0_g2_i1.p1,Smer_tr11270_c1_g1_i8.p1,Haur_tr1745_c0_g1_i2.p1,Equa_tr1753_c0_g2_i7.p1,Hetdac_DN1845_c0_g1_i1.p1,Macdac_DN9094_c0_g1_i2.p1,Oula_DN1830_c0_g1_i2.p1,Acte_DN1044_c0_g3_i4.p1,"Gafa_DN34780_c0_g1_i1.p1, Gafa_DN94486_c0_g2_i1.p1, Gafa_DN6644_c0_g1_i1.p1",Ando_DN7183_c0_g1_i1.p1,Neva_DN1272_c3_g1_i5.p1,Neno_DN351_c0_g1_i5.p1,Hyva_DN1464_c0_g1_i3.p1,Sama_DN54_c0_g1_i1.p1,Cyca_DN3671_c0_g1_i1.p1,Chfl_DN442_c0_g1_i2.p1,Chfu_DN1009_c0_g1_i1.p1
OG0000146,Shad_tr7772_c0_g1_i2.p1,Sgig_tr15889_c0_g1_i1.p1,Hmag_tr9094_c0_g1_i1.p1,Hcri_tr863_c3_g1_i3.p1,Smer_tr16384_c0_g1_i11.p1,Haur_tr2246_c0_g1_i2.p1,Equa_tr11358_c0_g2_i3.p1,Hetdac_DN5173_c0_g1_i1.p1,Macdac_DN13508_c0_g1_i5.p1,Oula_DN14317_c0_g2_i1.p1,Acte_DN21371_c0_g1_i4.p1,Gafa_DN1008_c0_g1_i7.p1,Ando_DN26466_c0_g1_i1.p1,Neva_DN1222_c2_g1_i3.p1,Neno_DN13285_c0_g1_i6.p1,"Hyva_DN9930_c0_g1_i3.p1, Hyva_DN9930_c0_g2_i2.p1",Sama_DN4968_c0_g1_i1.p1,Cyca_DN30665_c0_g1_i1.p1,Chfl_DN8456_c0_g1_i2.p1,Chfu_DN12052_c0_g1_i1.p1
OG0000147,Shad_tr1000_c0_g1_i4.p1,Sgig_tr502_c0_g1_i1.p1,Hmag_tr167_c0_g2_i11.p1,Hcri_tr8455_c0_g1_i7.p1,Smer_tr775_c0_g1_i8.p1,"Haur_tr220_c0_g3_i1.p1, Haur_tr101947_c0_g1_i1.p1",Equa_tr7796_c0_g2_i1.p1,Hetdac_DN1320_c0_g1_i4.p1,Macdac_DN1080_c0_g1_i3.p1,Oula_DN154_c0_g2_i7.p1,Acte_DN2_c0_g1_i3.p1,Gafa_DN3040_c0_g2_i1.p1,Ando_DN7812_c0_g3_i1.p1,Neva_DN7869_c0_g1_i11.p1,Neno_DN4886_c0_g1_i1.p1,Hyva_DN7415_c0_g1_i1.p1,Sama_DN836_c0_g1_i1.p1,Cyca_DN394_c0_g1_i2.p1,Chfl_DN1588_c0_g1_i4.p1,Chfu_DN1294_c0_g1_i1.p1
