Orthogroup	Stichodactyla_haddoni_longest_pep	Stichodactyla_mertensi_longest_pep
OG0000000	Shad_tr27300_c0_g2_i4.p1, Shad_tr62331_c0_g1_i1.p1	Smer_tr25729_c0_g1_i4.p2
OG0000000	Shad_tr22431_c0_g4_i1.p1	Smer_tr50239_c0_g1_i1.p1
OG0000000	Shad_tr85677_c0_g1_i1.p1, Shad_tr4055_c2_g1_i6.p1	Smer_tr39937_c0_g1_i1.p1
OG0000000	Shad_tr12981_c1_g2_i1.p1	Smer_tr22529_c2_g1_i7.p1, Smer_tr38144_c1_g1_i1.p1
OG0000000	Shad_tr90754_c0_g1_i1.p1	Smer_tr62506_c0_g1_i2.p1
OG0000000	Shad_tr11061_c0_g3_i1.p1	Smer_tr33052_c0_g1_i1.p1
OG0000000	Shad_tr2522_c0_g1_i28.p1	Smer_tr14080_c0_g1_i1.p2
OG0000000	Shad_tr65545_c0_g1_i1.p1, Shad_tr20995_c0_g1_i10.p1	Smer_tr81288_c0_g1_i2.p2
OG0000000	Shad_tr15666_c2_g1_i15.p1	Smer_tr46712_c0_g1_i1.p1
OG0000000	Shad_tr11278_c0_g1_i4.p1	Smer_tr5525_c1_g2_i3.p1
OG0000000	Shad_tr13465_c1_g1_i12.p1	Smer_tr11320_c1_g1_i4.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Smer_tr14192_c0_g1_i1.p1
OG0000000	Shad_tr29962_c0_g1_i2.p1	Smer_tr42439_c0_g1_i1.p1, Smer_tr42439_c0_g2_i1.p1
OG0000000	Shad_tr13994_c0_g1_i3.p1	Smer_tr32822_c0_g1_i1.p1, Smer_tr12846_c1_g1_i4.p1
OG0000000	Shad_tr8439_c0_g1_i5.p1	Smer_tr1159_c2_g1_i1.p1
OG0000000	Shad_tr61450_c0_g1_i1.p1	Smer_tr9351_c0_g1_i8.p1
OG0000000	Shad_tr47449_c0_g1_i2.p1	Smer_tr32890_c0_g1_i2.p1
OG0000000	Shad_tr98077_c0_g1_i1.p1	Smer_tr46343_c0_g1_i1.p1
OG0000000	Shad_tr19238_c1_g1_i4.p1	Smer_tr10201_c0_g1_i14.p1
OG0000000	Shad_tr11061_c0_g1_i2.p1	Smer_tr17411_c0_g1_i3.p1
OG0000000	Shad_tr50515_c0_g1_i7.p1	Smer_tr48637_c0_g1_i4.p1
OG0000000	Shad_tr14411_c0_g1_i2.p1	Smer_tr25314_c2_g1_i1.p1, Smer_tr25314_c1_g1_i11.p1
OG0000000	Shad_tr8644_c2_g1_i1.p1	Smer_tr41195_c0_g5_i1.p1
OG0000000	Shad_tr24579_c6_g1_i1.p1	Smer_tr44331_c0_g1_i1.p1
OG0000001	Shad_tr96939_c0_g1_i1.p1, Shad_tr35115_c2_g1_i1.p1	Smer_tr20716_c0_g1_i1.p1
OG0000001	Shad_tr34745_c1_g1_i1.p1	Smer_tr17287_c2_g1_i2.p1
OG0000001	Shad_tr76209_c0_g1_i1.p1, Shad_tr35209_c0_g1_i19.p1, Shad_tr35209_c1_g1_i1.p1, Shad_tr56097_c0_g1_i1.p1	Smer_tr11564_c0_g1_i6.p1
OG0000001	Shad_tr36534_c0_g3_i1.p1	Smer_tr23863_c1_g3_i1.p1
OG0000001	Shad_tr20453_c0_g2_i1.p1	Smer_tr93823_c0_g1_i1.p1, Smer_tr85205_c0_g1_i1.p1, Smer_tr39114_c0_g1_i1.p1
