Orthogroup	Stichodactyla_haddoni_longest_pep	Cyanea_capillata_longest_pep
OG0000000	Shad_tr29962_c0_g1_i2.p1, Shad_tr10964_c1_g1_i1.p1, Shad_tr10964_c0_g2_i1.p1, Shad_tr13994_c0_g1_i3.p1, Shad_tr39176_c0_g1_i2.p1, Shad_tr27752_c0_g1_i2.p1, Shad_tr44773_c0_g1_i14.p2, Shad_tr8439_c0_g1_i5.p1	Cyca_DN32673_c0_g1_i1.p1
OG0000001	Shad_tr19219_c0_g1_i3.p1	Cyca_DN12841_c0_g2_i1.p1
OG0000001	Shad_tr49780_c0_g1_i1.p1, Shad_tr44734_c4_g1_i1.p1	Cyca_DN30114_c0_g1_i1.p1
OG0000001	Shad_tr62603_c0_g1_i1.p1, Shad_tr108137_c0_g1_i1.p1	Cyca_DN30115_c0_g1_i1.p1
OG0000002	Shad_tr8207_c0_g1_i3.p1, Shad_tr37739_c0_g1_i1.p1	Cyca_DN33972_c0_g1_i1.p1
OG0000002	Shad_tr86756_c0_g1_i1.p1, Shad_tr41945_c0_g1_i3.p1	Cyca_DN28428_c0_g1_i1.p1, Cyca_DN20745_c0_g1_i1.p1
OG0000002	Shad_tr25036_c0_g1_i5.p1	Cyca_DN29288_c0_g2_i2.p1
OG0000003	Shad_tr22800_c0_g1_i2.p1, Shad_tr36243_c0_g1_i1.p1	Cyca_DN21603_c0_g1_i1.p1
OG0000003	Shad_tr12353_c0_g1_i3.p1	Cyca_DN19692_c0_g1_i2.p1
OG0000003	Shad_tr17006_c0_g1_i19.p1, Shad_tr1233_c10_g1_i4.p1	Cyca_DN34130_c0_g1_i1.p1
OG0000003	Shad_tr3554_c0_g1_i19.p1, Shad_tr5139_c0_g1_i6.p1	Cyca_DN14332_c0_g1_i1.p1
OG0000007	Shad_tr114196_c0_g1_i1.p1, Shad_tr112002_c0_g1_i1.p1, Shad_tr16025_c0_g1_i1.p1, Shad_tr9482_c0_g1_i10.p1, Shad_tr57168_c0_g1_i1.p1, Shad_tr86959_c0_g1_i1.p1, Shad_tr27395_c0_g1_i1.p1, Shad_tr2749_c1_g2_i1.p1, Shad_tr2749_c1_g1_i1.p1, Shad_tr35237_c0_g2_i1.p1, Shad_tr87403_c0_g1_i1.p1, Shad_tr8688_c0_g2_i3.p1, Shad_tr51167_c0_g1_i1.p1, Shad_tr28462_c2_g1_i1.p1, Shad_tr11126_c0_g1_i4.p1, Shad_tr36106_c0_g2_i2.p1, Shad_tr36106_c5_g1_i1.p1, Shad_tr29986_c3_g1_i1.p1, Shad_tr100866_c0_g1_i1.p1, Shad_tr79679_c0_g1_i1.p1, Shad_tr17542_c0_g1_i1.p1, Shad_tr18436_c0_g1_i2.p1, Shad_tr36106_c0_g1_i2.p1, Shad_tr4677_c2_g1_i1.p1, Shad_tr36106_c2_g1_i2.p1, Shad_tr36106_c0_g3_i1.p1, Shad_tr85359_c0_g1_i1.p1, Shad_tr54756_c0_g1_i1.p1, Shad_tr69242_c0_g1_i1.p1, Shad_tr9775_c0_g1_i1.p1, Shad_tr64130_c0_g1_i1.p1, Shad_tr15166_c2_g1_i2.p1, Shad_tr87301_c0_g1_i1.p1, Shad_tr38195_c0_g1_i1.p1, Shad_tr36595_c0_g1_i1.p1, Shad_tr17402_c0_g1_i2.p1	Cyca_DN11485_c0_g3_i1.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Cyca_DN10557_c0_g1_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Cyca_DN33864_c0_g1_i1.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Cyca_DN5396_c0_g1_i1.p1
