Orthogroup	Stichodactyla_haddoni_longest_pep	Macrodactyla_doreensis_longest_pep
OG0000000	Shad_tr27300_c0_g2_i4.p1, Shad_tr62331_c0_g1_i1.p1, Shad_tr22431_c0_g4_i1.p1	Macdac_DN60428_c0_g1_i1.p1
OG0000000	Shad_tr85677_c0_g1_i1.p1, Shad_tr4055_c2_g1_i6.p1	Macdac_DN12838_c1_g1_i1.p1
OG0000000	Shad_tr71370_c0_g1_i1.p1	Macdac_DN5626_c0_g2_i5.p1
OG0000000	Shad_tr12981_c1_g2_i1.p1	Macdac_DN38472_c0_g1_i1.p1, Macdac_DN10930_c0_g1_i3.p1
OG0000000	Shad_tr98444_c0_g1_i1.p1	Macdac_DN24993_c0_g1_i1.p1
OG0000000	Shad_tr44491_c1_g1_i1.p1	Macdac_DN40011_c0_g1_i8.p1
OG0000000	Shad_tr61_c2_g1_i1.p2	Macdac_DN25707_c2_g1_i1.p1
OG0000000	Shad_tr105198_c0_g1_i1.p1, Shad_tr73798_c0_g1_i1.p1	Macdac_DN19661_c0_g1_i1.p1
OG0000000	Shad_tr98431_c0_g1_i1.p1	Macdac_DN11930_c0_g3_i2.p1, Macdac_DN47609_c0_g1_i1.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Macdac_DN10838_c0_g1_i5.p1
OG0000000	Shad_tr72626_c0_g1_i1.p1	Macdac_DN26443_c0_g1_i1.p1
OG0000000	Shad_tr29962_c0_g1_i2.p1	Macdac_DN20342_c0_g1_i1.p1
OG0000000	Shad_tr10964_c1_g1_i1.p1	Macdac_DN10293_c0_g1_i4.p1
OG0000000	Shad_tr13994_c0_g1_i3.p1	Macdac_DN1074_c1_g1_i1.p1
OG0000000	Shad_tr39176_c0_g1_i2.p1, Shad_tr27752_c0_g1_i2.p1, Shad_tr44773_c0_g1_i14.p2	Macdac_DN15247_c0_g4_i1.p1, Macdac_DN6863_c0_g1_i1.p1
