Orthogroup	Stichodactyla_haddoni_longest_pep	Actinia_tenebrosa_longest_pep
OG0000000	Shad_tr3487_c2_g1_i7.p1	Acte_DN39294_c0_g1_i1.p1
OG0000000	Shad_tr27300_c0_g2_i4.p1, Shad_tr62331_c0_g1_i1.p1, Shad_tr22431_c0_g4_i1.p1	Acte_DN729_c2_g1_i1.p1
OG0000000	Shad_tr71370_c0_g1_i1.p1	Acte_DN25618_c0_g1_i1.p1
OG0000000	Shad_tr12981_c1_g2_i1.p1	Acte_DN17391_c0_g1_i2.p1
OG0000000	Shad_tr90754_c0_g1_i1.p1	Acte_DN1552_c0_g2_i10.p1
OG0000000	Shad_tr49221_c0_g2_i1.p1	Acte_DN36885_c0_g1_i1.p1
OG0000000	Shad_tr13726_c0_g1_i1.p1, Shad_tr11278_c0_g1_i4.p1, Shad_tr13465_c1_g1_i12.p1	Acte_DN38608_c0_g1_i1.p1
OG0000000	Shad_tr73236_c0_g1_i1.p1	Acte_DN11248_c0_g2_i1.p1
OG0000000	Shad_tr39176_c0_g1_i2.p1, Shad_tr27752_c0_g1_i2.p1, Shad_tr44773_c0_g1_i14.p2	Acte_DN22755_c0_g1_i1.p1
OG0000000	Shad_tr34516_c0_g1_i2.p1	Acte_DN17529_c0_g1_i2.p1
OG0000000	Shad_tr15581_c0_g1_i1.p1	Acte_DN4633_c0_g1_i1.p1
OG0000000	Shad_tr19238_c1_g1_i4.p1	Acte_DN7704_c1_g1_i5.p1
OG0000000	Shad_tr29519_c0_g2_i1.p1	Acte_DN29884_c0_g1_i1.p1
OG0000000	Shad_tr11061_c0_g1_i2.p1, Shad_tr74833_c0_g1_i1.p1, Shad_tr80135_c0_g1_i1.p1	Acte_DN16338_c0_g1_i1.p1
OG0000000	Shad_tr29962_c0_g2_i1.p1	Acte_DN30487_c0_g1_i1.p1
OG0000000	Shad_tr43628_c5_g1_i1.p1	Acte_DN6120_c0_g1_i1.p1
OG0000000	Shad_tr8644_c2_g1_i1.p1, Shad_tr94573_c0_g1_i1.p1	Acte_DN6703_c1_g2_i4.p1
OG0000000	Shad_tr24579_c6_g1_i1.p1	Acte_DN2214_c0_g5_i1.p2
OG0000001	Shad_tr19219_c0_g1_i3.p1	Acte_DN1543_c1_g3_i5.p1
OG0000001	Shad_tr36534_c0_g3_i1.p1	Acte_DN20931_c0_g1_i1.p1
OG0000001	Shad_tr64127_c0_g1_i1.p1	Acte_DN27330_c0_g1_i1.p1
OG0000001	Shad_tr49780_c0_g1_i1.p1, Shad_tr44734_c4_g1_i1.p1	Acte_DN5171_c0_g1_i10.p1
OG0000001	Shad_tr105103_c0_g1_i1.p1	Acte_DN27229_c0_g1_i2.p1
OG0000001	Shad_tr42064_c0_g1_i1.p1	Acte_DN13988_c0_g2_i3.p1
OG0000001	Shad_tr2154_c10_g1_i10.p1	Acte_DN3176_c0_g1_i4.p1
OG0000001	Shad_tr46277_c0_g1_i1.p1	Acte_DN5477_c0_g1_i2.p1, Acte_DN1006_c0_g1_i1.p1
OG0000001	Shad_tr42064_c0_g2_i1.p1, Shad_tr727_c0_g1_i1.p1, Shad_tr62603_c0_g1_i1.p1, Shad_tr108137_c0_g1_i1.p1	Acte_DN24066_c0_g1_i1.p1
OG0000001	Shad_tr17040_c1_g1_i3.p1	Acte_DN5269_c0_g1_i1.p1
