Orthogroup	Stichodactyla_haddoni_longest_pep	Chrysaora_fuscescens_longest_pep
OG0000000	Shad_tr3487_c2_g1_i7.p1, Shad_tr27300_c0_g2_i4.p1, Shad_tr62331_c0_g1_i1.p1, Shad_tr22431_c0_g4_i1.p1, Shad_tr85677_c0_g1_i1.p1, Shad_tr4055_c2_g1_i6.p1, Shad_tr114826_c0_g1_i1.p1, Shad_tr71370_c0_g1_i1.p1, Shad_tr12981_c1_g2_i1.p1, Shad_tr90754_c0_g1_i1.p1, Shad_tr11061_c0_g3_i1.p1, Shad_tr98444_c0_g1_i1.p1, Shad_tr4468_c0_g1_i2.p1, Shad_tr2522_c0_g1_i28.p1, Shad_tr65545_c0_g1_i1.p1, Shad_tr20995_c0_g1_i10.p1, Shad_tr44491_c1_g1_i1.p1, Shad_tr31637_c0_g1_i2.p1, Shad_tr61_c2_g1_i1.p2, Shad_tr39952_c0_g2_i1.p1, Shad_tr15666_c2_g1_i15.p1, Shad_tr105198_c0_g1_i1.p1, Shad_tr73798_c0_g1_i1.p1, Shad_tr49221_c0_g2_i1.p1, Shad_tr98431_c0_g1_i1.p1, Shad_tr13726_c0_g1_i1.p1, Shad_tr11278_c0_g1_i4.p1, Shad_tr13465_c1_g1_i12.p1, Shad_tr3985_c0_g3_i1.p1	Chfu_DN16731_c0_g1_i1.p1
OG0000000	Shad_tr34516_c0_g1_i2.p1	Chfu_DN7588_c0_g1_i1.p1
OG0000001	Shad_tr96939_c0_g1_i1.p1, Shad_tr35115_c2_g1_i1.p1, Shad_tr34745_c1_g1_i1.p1, Shad_tr40070_c0_g1_i3.p1, Shad_tr92094_c0_g1_i1.p1	Chfu_DN2820_c0_g2_i1.p1
OG0000001	Shad_tr37417_c0_g2_i1.p1	Chfu_DN16204_c0_g1_i1.p1
OG0000001	Shad_tr16600_c0_g1_i2.p1, Shad_tr4273_c0_g1_i6.p1, Shad_tr8639_c1_g1_i2.p1, Shad_tr107275_c0_g1_i1.p1, Shad_tr91148_c0_g1_i1.p1, Shad_tr93625_c0_g1_i1.p1, Shad_tr50579_c0_g1_i1.p1, Shad_tr66985_c0_g1_i1.p1, Shad_tr59851_c0_g1_i1.p1, Shad_tr6848_c2_g2_i1.p1, Shad_tr16866_c2_g1_i16.p1, Shad_tr12332_c0_g1_i14.p1, Shad_tr27881_c0_g1_i1.p1, Shad_tr3453_c0_g1_i10.p1, Shad_tr40605_c0_g2_i1.p1, Shad_tr98115_c0_g1_i1.p1	Chfu_DN16443_c0_g1_i1.p1
OG0000002	Shad_tr47644_c0_g1_i1.p2	Chfu_DN3189_c0_g2_i2.p1
OG0000002	Shad_tr88468_c0_g1_i1.p1, Shad_tr47726_c0_g2_i1.p1, Shad_tr12531_c1_g1_i2.p1, Shad_tr8741_c0_g1_i2.p1, Shad_tr95979_c0_g1_i1.p1, Shad_tr3107_c0_g1_i15.p1, Shad_tr50306_c0_g1_i2.p1, Shad_tr20877_c0_g1_i2.p1, Shad_tr12484_c0_g1_i21.p1, Shad_tr8304_c0_g1_i14.p1, Shad_tr12774_c0_g2_i2.p1, Shad_tr72127_c0_g1_i1.p1, Shad_tr39260_c0_g2_i1.p1, Shad_tr5174_c0_g1_i1.p1, Shad_tr100500_c0_g1_i3.p1, Shad_tr53113_c1_g1_i1.p1, Shad_tr22233_c0_g1_i6.p1, Shad_tr20065_c0_g1_i14.p1, Shad_tr19797_c0_g1_i13.p1, Shad_tr5653_c0_g1_i3.p1, Shad_tr34023_c0_g1_i1.p1, Shad_tr33251_c1_g1_i2.p1, Shad_tr9407_c0_g1_i12.p1, Shad_tr32353_c0_g1_i1.p1, Shad_tr17594_c1_g1_i1.p1, Shad_tr17594_c0_g1_i9.p1, Shad_tr16225_c0_g1_i1.p1, Shad_tr34051_c0_g1_i3.p1, Shad_tr12274_c0_g2_i3.p1, Shad_tr25036_c0_g1_i5.p1, Shad_tr23414_c2_g2_i2.p1, Shad_tr23414_c2_g1_i2.p1, Shad_tr3482_c0_g2_i5.p1, Shad_tr50646_c2_g1_i1.p1, Shad_tr50646_c2_g2_i1.p1, Shad_tr7064_c0_g1_i4.p1, Shad_tr30264_c1_g2_i6.p1, Shad_tr34248_c0_g2_i1.p1, Shad_tr82702_c0_g1_i1.p1, Shad_tr86016_c0_g1_i1.p1, Shad_tr47022_c0_g1_i5.p1, Shad_tr38889_c0_g1_i5.p1, Shad_tr50422_c0_g1_i2.p1, Shad_tr94789_c0_g1_i1.p1, Shad_tr83401_c0_g1_i1.p1, Shad_tr47726_c0_g1_i1.p1, Shad_tr15359_c0_g2_i1.p1, Shad_tr51628_c1_g1_i1.p1, Shad_tr79701_c0_g1_i1.p1	Chfu_DN6002_c0_g1_i1.p1
OG0000002	Shad_tr48482_c0_g2_i1.p1, Shad_tr34416_c2_g1_i1.p1, Shad_tr32976_c0_g1_i4.p1, Shad_tr2725_c1_g1_i2.p1, Shad_tr24968_c2_g1_i4.p1, Shad_tr28069_c0_g1_i5.p1	Chfu_DN768_c0_g1_i4.p1
OG0000002	Shad_tr44395_c0_g1_i1.p1	Chfu_DN6728_c0_g1_i1.p1
OG0000003	Shad_tr22800_c0_g1_i2.p1	Chfu_DN7273_c0_g1_i1.p1
OG0000003	Shad_tr1184_c0_g1_i5.p1, Shad_tr8902_c1_g1_i4.p1, Shad_tr31539_c0_g1_i4.p1, Shad_tr3966_c0_g5_i2.p1, Shad_tr25371_c0_g1_i5.p1	Chfu_DN2942_c0_g1_i15.p1
OG0000003	Shad_tr17006_c0_g1_i19.p1, Shad_tr1233_c10_g1_i4.p1	Chfu_DN10322_c0_g1_i2.p1
OG0000005	Shad_tr47378_c0_g1_i1.p1, Shad_tr10187_c0_g2_i1.p1	Chfu_DN306_c0_g1_i1.p1, Chfu_DN7808_c0_g1_i1.p1
OG0000008	Shad_tr16028_c0_g1_i7.p1	Chfu_DN3868_c0_g2_i1.p1, Chfu_DN19844_c0_g1_i1.p1, Chfu_DN8991_c0_g2_i1.p1, Chfu_DN4818_c0_g2_i1.p1
OG0000008	Shad_tr15555_c1_g3_i1.p1	Chfu_DN11591_c0_g1_i1.p1
OG0000008	Shad_tr7402_c3_g1_i2.p1	Chfu_DN9511_c0_g1_i1.p1
OG0000008	Shad_tr8884_c0_g3_i3.p1	Chfu_DN2682_c0_g1_i2.p1
OG0000008	Shad_tr31034_c0_g1_i3.p1	Chfu_DN2815_c0_g1_i1.p1
OG0000008	Shad_tr8884_c0_g2_i5.p1	Chfu_DN2158_c0_g5_i1.p1
OG0000008	Shad_tr6342_c0_g1_i3.p1	Chfu_DN3033_c0_g1_i2.p1
OG0000009	Shad_tr18647_c0_g1_i1.p1	Chfu_DN9255_c0_g2_i1.p1, Chfu_DN1429_c0_g1_i7.p1, Chfu_DN713_c0_g1_i11.p1, Chfu_DN713_c0_g2_i1.p1
OG0000010	Shad_tr30253_c0_g1_i1.p1, Shad_tr50345_c0_g1_i2.p1	Chfu_DN4539_c0_g1_i1.p1
OG0000010	Shad_tr54979_c0_g1_i1.p1	Chfu_DN13480_c0_g2_i1.p1
OG0000010	Shad_tr2839_c0_g2_i2.p1	Chfu_DN11946_c0_g1_i1.p1
OG0000010	Shad_tr75584_c0_g1_i1.p1, Shad_tr60004_c0_g1_i1.p1, Shad_tr23640_c0_g1_i1.p1	Chfu_DN5687_c0_g1_i1.p1
OG0000010	Shad_tr3961_c0_g1_i1.p1	Chfu_DN3225_c0_g2_i1.p1
OG0000010	Shad_tr2916_c6_g1_i8.p1	Chfu_DN16864_c0_g1_i1.p1, Chfu_DN19005_c0_g1_i1.p1
OG0000010	Shad_tr31771_c0_g1_i3.p1, Shad_tr1427_c5_g1_i2.p1	Chfu_DN10491_c0_g1_i1.p1, Chfu_DN1108_c0_g2_i3.p1
OG0000010	Shad_tr23864_c0_g1_i1.p1	Chfu_DN8558_c0_g1_i1.p1, Chfu_DN3603_c0_g3_i1.p1
OG0000011	Shad_tr21291_c0_g1_i1.p1	Chfu_DN3557_c0_g1_i5.p1
OG0000011	Shad_tr19076_c0_g2_i11.p1	Chfu_DN9495_c0_g1_i2.p1
OG0000011	Shad_tr32278_c0_g1_i2.p1	Chfu_DN3571_c0_g1_i2.p1
OG0000011	Shad_tr11490_c0_g1_i3.p1	Chfu_DN378_c0_g1_i2.p1
OG0000011	Shad_tr2031_c0_g1_i6.p1	Chfu_DN10480_c0_g1_i2.p1
OG0000011	Shad_tr40287_c0_g1_i1.p1, Shad_tr2992_c1_g5_i1.p1	Chfu_DN3040_c0_g1_i1.p1
OG0000011	Shad_tr6064_c1_g1_i1.p1, Shad_tr3847_c0_g1_i2.p1, Shad_tr12213_c0_g1_i1.p1, Shad_tr11801_c0_g1_i5.p1	Chfu_DN8385_c0_g1_i1.p1
OG0000011	Shad_tr2219_c0_g2_i1.p1, Shad_tr216_c0_g1_i7.p1, Shad_tr6003_c0_g1_i16.p1, Shad_tr3827_c0_g1_i11.p1, Shad_tr28266_c0_g1_i1.p1, Shad_tr1481_c2_g1_i1.p1	Chfu_DN6731_c0_g2_i1.p1
OG0000014	Shad_tr34282_c1_g1_i2.p1	Chfu_DN2501_c0_g1_i3.p1, Chfu_DN12208_c0_g1_i2.p1
OG0000014	Shad_tr30525_c0_g1_i1.p1	Chfu_DN2794_c0_g2_i2.p1
OG0000014	Shad_tr4904_c3_g1_i1.p1	Chfu_DN789_c0_g1_i1.p2, Chfu_DN1346_c0_g1_i2.p1
OG0000014	Shad_tr55866_c0_g2_i1.p1	Chfu_DN6339_c0_g1_i1.p1
OG0000014	Shad_tr86159_c0_g1_i1.p1	Chfu_DN4673_c0_g2_i1.p2, Chfu_DN4673_c0_g1_i1.p2, Chfu_DN14909_c0_g1_i1.p1
OG0000015	Shad_tr91068_c0_g1_i1.p1	Chfu_DN16080_c0_g1_i1.p1, Chfu_DN15482_c0_g1_i1.p1, Chfu_DN10628_c0_g2_i1.p1, Chfu_DN9278_c0_g1_i1.p1
OG0000016	Shad_tr36090_c0_g1_i7.p1	Chfu_DN280_c0_g1_i5.p1
OG0000016	Shad_tr30195_c0_g1_i1.p1	Chfu_DN8044_c0_g1_i1.p1
OG0000018	Shad_tr33408_c0_g1_i1.p1, Shad_tr4944_c1_g1_i16.p1, Shad_tr27589_c1_g1_i2.p1, Shad_tr27589_c0_g4_i1.p1, Shad_tr27589_c0_g1_i2.p1, Shad_tr22586_c2_g3_i1.p1, Shad_tr42991_c0_g1_i10.p1, Shad_tr28733_c0_g3_i3.p1, Shad_tr28733_c0_g1_i2.p1, Shad_tr41369_c0_g1_i3.p1, Shad_tr40675_c0_g1_i2.p1, Shad_tr40314_c0_g1_i1.p1, Shad_tr59276_c0_g1_i1.p1, Shad_tr36296_c0_g1_i3.p1, Shad_tr37725_c0_g2_i1.p1, Shad_tr21895_c0_g1_i19.p1, Shad_tr4352_c1_g1_i6.p1, Shad_tr108593_c0_g1_i1.p1, Shad_tr84814_c0_g1_i1.p1, Shad_tr34599_c1_g1_i2.p1, Shad_tr34599_c0_g1_i12.p1, Shad_tr97856_c0_g1_i1.p1, Shad_tr40347_c0_g1_i1.p1, Shad_tr44625_c0_g1_i1.p1, Shad_tr34599_c0_g2_i1.p1, Shad_tr177_c0_g1_i2.p1	Chfu_DN1091_c0_g1_i4.p1, Chfu_DN4737_c0_g2_i1.p1, Chfu_DN8059_c0_g2_i1.p1, Chfu_DN15683_c0_g1_i1.p1
